,aika,ala,alamainen,alku,entinen,eri,etu,euroopan,hallitus,herttua,hetki,historia,hyöty,ihminen,jakaa,julkaista,julkinen,jäsen,kannattaa,kansa,kansallinen,kartta,keisari,kenraali,keski-,keskustella,kieli,kirjoitus,kotimaan,koulu,kruunu,kuningas,kunta,kysymys,laatu,laki,lehti,luku,luonto,maakunta,muuttaa,napoleon,oikeus,osa,perustaa,pietari,puhe,puolustaa,päätös,raha,ruotsalainen,ruotsi,sanomalehti,senaatti,suojella,suomi,synnyttää,syntyä,sääntö,sääty,tiede,tuottaa,vanha,yhdistää,yhteys,yleinen,lääni,nyky,oikeudet,raja,rauha,sota,suomalainen,valta,voima
aika,1.0,-0.12002848833799362,-0.1358225792646408,0.4105989933013916,0.07901255786418915,-0.05575329437851906,0.28021666407585144,0.04605583846569061,-0.04462626948952675,-0.009853663854300976,0.5877901315689087,0.0017958744429051876,0.22003106772899628,0.20551346242427826,-0.017274631187319756,-0.04864151030778885,0.17315180599689484,-0.06587429344654083,0.1708241105079651,0.1939883977174759,0.3244677484035492,-0.02677486650645733,0.036600951105356216,-0.1104506328701973,-0.12664897739887238,-0.12019096314907074,0.2635739743709564,0.14580431580543518,-0.13494247198104858,0.2327488660812378,0.06802341341972351,0.036644767969846725,0.14786405861377716,0.2635350525379181,0.19055278599262238,0.2211364507675171,0.2195897251367569,0.12421566992998123,0.35311365127563477,0.17924147844314575,0.17331863939762115,0.03408295288681984,0.12059575319290161,-0.004008205141872168,0.0509176142513752,-0.031532496213912964,0.28310930728912354,-0.07073064893484116,0.029085930436849594,0.26994383335113525,0.041856225579977036,0.12094249576330185,0.01611696556210518,-0.037255313247442245,0.04294350743293762,0.17162072658538818,0.14861291646957397,0.19893167912960052,0.15058280527591705,0.04513842239975929,-0.028985368087887764,0.12510333955287933,0.2964091897010803,-0.09423422068357468,0.2273523360490799,0.3599555194377899,-0.17176851630210876,0.10068404674530029,-0.06119363754987717,0.16487880051136017,0.337022989988327,0.14532724022865295,0.1436879187822342,0.059605445712804794,0.25610053539276123
ala,-0.12002848833799362,1.0,0.28605642914772034,0.04777946323156357,0.1809106171131134,0.23889991641044617,0.13979409635066986,0.0730728805065155,0.12469497323036194,0.05168265849351883,-0.14022429287433624,0.04613189771771431,0.13337555527687073,-0.15682469308376312,0.07336786389350891,-0.20553703606128693,0.09582287818193436,0.202824667096138,0.020314956083893776,0.045426491647958755,0.053779590874910355,0.11906205862760544,0.09728013724088669,0.08911781013011932,0.3739617168903351,0.053259409964084625,0.13056105375289917,0.05758054554462433,-0.04651767760515213,0.1952325850725174,0.2886078953742981,-0.01801667921245098,0.21887516975402832,0.15165311098098755,0.19952501356601715,0.1666940450668335,-0.055709660053253174,0.24247513711452484,-0.007787357084453106,0.19095191359519958,0.04696832224726677,0.022326305508613586,0.29361775517463684,0.2247808426618576,0.010863733477890491,0.13702216744422913,-0.04707694426178932,-0.08945043385028839,0.2056622952222824,0.049451567232608795,0.049126435071229935,0.1255955696105957,0.0009401836432516575,0.2045009583234787,-0.025863828137516975,-0.01250147819519043,-0.03943997249007225,-0.04666158929467201,0.1602819859981537,0.29826319217681885,0.1976979374885559,0.023161618039011955,0.07334514707326889,0.23505738377571106,0.1290179193019867,0.054360996931791306,0.5389312505722046,-0.03904338553547859,0.13817423582077026,0.3757922053337097,-0.07134254276752472,0.07991471886634827,-0.049581680446863174,0.28321826457977295,0.13235417008399963
alamainen,-0.1358225792646408,0.28605642914772034,1.0,0.013111963868141174,0.5976510643959045,-0.14629994332790375,-0.07407567650079727,0.15390603244304657,0.4370424151420593,0.5211132764816284,-0.1016925498843193,0.40811535716056824,-0.03413696959614754,-0.18805089592933655,-0.09655436873435974,-0.1447496861219406,0.35643768310546875,0.501861572265625,-0.16390231251716614,0.3131779730319977,0.20504768192768097,0.36631321907043457,0.40611156821250916,0.47703075408935547,0.18695519864559174,0.1427975296974182,0.2637729346752167,0.26014867424964905,0.08776605874300003,0.12223745137453079,0.3352426290512085,0.5442960858345032,0.3209993839263916,0.1058732122182846,-0.035058047622442245,0.22046270966529846,0.0492505207657814,-0.16441595554351807,-0.06354118883609772,0.23994378745555878,-0.04287104681134224,0.5038008689880371,0.2728855013847351,0.04334856942296028,0.2042098045349121,0.4319533705711365,0.24375401437282562,0.13092009723186493,0.24044349789619446,-0.015691855922341347,0.4674932360649109,0.41701868176460266,0.41019412875175476,0.46161118149757385,-0.0019631441682577133,0.25962236523628235,-0.14552494883537292,-0.12813201546669006,0.3153212070465088,0.38508743047714233,0.38875308632850647,0.005338020622730255,0.08966720849275589,0.19041003286838531,0.3271733820438385,0.170469731092453,0.3517882525920868,-0.026569483801722527,0.23160871863365173,0.2724800109863281,0.25674521923065186,0.3181127905845642,0.3081337809562683,0.38381072878837585,0.017972424626350403
alku,0.4105989933013916,0.04777946323156357,0.013111963868141174,1.0,0.10493578761816025,0.11852636188268661,0.24907098710536957,0.235421821475029,0.0014565751189365983,0.004586615599691868,0.3234595060348511,0.2538146376609802,0.24626240134239197,0.07283055037260056,-0.21229994297027588,-0.06483383476734161,0.3543451428413391,0.005828987807035446,0.06660639494657516,0.12425709515810013,0.4000743329524994,0.24668669700622559,-0.03493132069706917,-0.10331345349550247,0.11770305037498474,-0.33736369013786316,0.33125799894332886,0.43097999691963196,0.034664202481508255,0.17788773775100708,-0.133004292845726,0.048753734678030014,0.13453690707683563,0.2929157018661499,0.45774033665657043,0.24165482819080353,0.36234909296035767,0.3465336859226227,0.42443549633026123,0.10702510923147202,-0.045683618634939194,0.04484505578875542,0.06860616058111191,0.06481025367975235,0.027362434193491936,-0.08345927298069,0.49637678265571594,-0.1498025357723236,0.22375118732452393,0.07761836796998978,0.28050723671913147,0.1900365799665451,0.27684617042541504,0.043313901871442795,-0.12324191629886627,0.36981841921806335,0.1217992827296257,0.2004827857017517,0.1738881915807724,0.11976760625839233,0.18314282596111298,0.11858168989419937,0.1779986470937729,-0.03414316102862358,0.3243257701396942,0.45319467782974243,0.03824404999613762,0.3438461422920227,0.03824290633201599,0.2928514778614044,0.3129868507385254,0.035191312432289124,0.23519444465637207,0.06276258081197739,0.34082257747650146
entinen,0.07901255786418915,0.1809106171131134,0.5976510643959045,0.10493578761816025,0.9999999403953552,-0.19127559661865234,-0.02273637428879738,-0.06885655224323273,0.19181014597415924,0.3912152349948883,0.07727597653865814,0.10540331155061722,0.03530306741595268,-0.07648316025733948,-0.2960844933986664,-0.3401990532875061,0.33308547735214233,0.40828588604927063,-0.19590242207050323,0.1847168356180191,0.18562106788158417,0.22982549667358398,0.24460028111934662,0.24542851746082306,0.06242070347070694,-0.04328565299510956,0.10156664997339249,0.10905345529317856,-0.25309544801712036,0.157188281416893,0.2793559730052948,0.344551682472229,0.22122454643249512,0.04248861223459244,-0.02693404071033001,0.2029673308134079,0.10789542645215988,-0.060777582228183746,-0.0034304731525480747,0.14327074587345123,-0.13252541422843933,0.28213152289390564,0.2558487355709076,0.1311262547969818,-0.09472494572401047,0.4358941316604614,0.2112407237291336,-0.16559714078903198,0.2501780390739441,0.11120565980672836,0.4511289596557617,0.1876603364944458,0.2313126176595688,0.3191802203655243,-0.25670215487480164,0.16788625717163086,-0.21472765505313873,-0.29154178500175476,0.17876848578453064,0.24062973260879517,0.16994643211364746,-0.16499406099319458,0.30369043350219727,-0.12308283150196075,0.2713753283023834,0.17964842915534973,0.17415733635425568,-0.015820126980543137,0.14259368181228638,0.1568848192691803,0.23007233440876007,0.16938698291778564,0.27304017543792725,0.0888913944363594,0.06196141615509987
eri,-0.05575329437851906,0.23889991641044617,-0.14629994332790375,0.11852636188268661,-0.19127559661865234,1.0,0.25324538350105286,0.5027478933334351,0.06340330839157104,-0.18477943539619446,-0.1590147763490677,0.10777781158685684,0.13803541660308838,0.04164977744221687,0.38077396154403687,0.11389611661434174,0.07143669575452805,0.042386651039123535,0.1632380336523056,-0.005441039334982634,0.2184479683637619,0.18080835044384003,-0.18794594705104828,-0.20099857449531555,0.151912122964859,0.158909872174263,0.09001050889492035,0.20460139214992523,0.27051910758018494,0.24303892254829407,0.11399746686220169,-0.15675267577171326,0.28112703561782837,0.11521916091442108,0.325076162815094,0.2559812664985657,0.16802898049354553,0.19901883602142334,0.03360624983906746,0.21640637516975403,0.24711574614048004,-0.07742912322282791,0.17033548653125763,0.19426140189170837,0.2869056165218353,-0.22760310769081116,-0.03300929442048073,0.09185876697301865,0.06829922646284103,0.1779535710811615,0.11014119535684586,0.15978382527828217,0.04186893254518509,0.03216603025794029,0.13621389865875244,-0.042553383857011795,0.1935167908668518,0.17928315699100494,0.21756766736507416,0.3021588623523712,0.21816109120845795,0.0526331402361393,-0.1536853313446045,0.3714798390865326,0.305368572473526,0.18466313183307648,0.2260761708021164,0.1340399533510208,0.27589473128318787,0.16456866264343262,-0.19202691316604614,-0.07045992463827133,0.09053124487400055,0.2188214361667633,0.05063547194004059
etu,0.28021666407585144,0.13979409635066986,-0.07407567650079727,0.24907098710536957,-0.02273637428879738,0.25324538350105286,1.0,0.2584938108921051,0.12325470894575119,-0.08130554109811783,0.21793301403522491,0.09987699240446091,0.7863066792488098,0.3213596045970917,0.1798703372478485,0.012359131127595901,0.08680757880210876,0.07183429598808289,0.508881151676178,0.31876763701438904,0.49398571252822876,0.14507432281970978,0.0005330891581252217,-0.09124187380075455,0.02645513229072094,0.050010792911052704,0.37287160754203796,0.13599981367588043,0.11412618309259415,0.31480395793914795,0.20448951423168182,-0.05282863602042198,0.1631140559911728,0.37123608589172363,0.5167502164840698,0.33356523513793945,0.27554959058761597,0.2660406231880188,0.4696028530597687,0.5190981030464172,0.19200938940048218,0.03388078510761261,0.2800496518611908,0.3453506827354431,0.20306921005249023,-0.2400476038455963,0.29138174653053284,0.15247590839862823,0.1588917225599289,0.399703711271286,-0.01685274951159954,0.22759246826171875,0.10672813653945923,-0.03144242241978645,0.31092140078544617,0.0738406702876091,0.4020730257034302,0.31861671805381775,0.3987417221069336,0.34799444675445557,0.19418862462043762,0.3787868022918701,0.02656945027410984,0.21914294362068176,0.42880621552467346,0.570796012878418,0.03741849586367607,-0.005406806245446205,0.11127738654613495,0.18638035655021667,0.18531614542007446,0.11541922390460968,0.18879351019859314,0.22139611840248108,0.5199170708656311
euroopan,0.04605583846569061,0.0730728805065155,0.15390603244304657,0.235421821475029,-0.06885655224323273,0.5027478933334351,0.2584938108921051,1.0,0.16956105828285217,0.046650245785713196,-0.08219020813703537,0.2733040750026703,0.14715315401554108,-0.02047523856163025,0.07832421362400055,0.052389174699783325,0.1448608785867691,0.007274283561855555,0.26714998483657837,0.3267819881439209,0.4822215437889099,0.4292181432247162,0.007356138434261084,-0.036282822489738464,0.4079993963241577,0.027886565774679184,0.4244305193424225,0.19679757952690125,0.47135117650032043,0.09921331703662872,0.08680243790149689,0.03752371668815613,0.23670627176761627,0.055527202785015106,0.3250270187854767,0.22611446678638458,0.1825709491968155,0.19122418761253357,0.33634454011917114,0.4764103591442108,0.1755550056695938,0.15897895395755768,-0.091923788189888,0.1369411051273346,0.3362763524055481,-0.19158004224300385,0.2764701545238495,0.1962372362613678,-0.15421085059642792,0.1484457105398178,0.19878940284252167,0.5647397637367249,0.18543532490730286,0.0448644682765007,0.21699516475200653,0.33125919103622437,0.34215667843818665,0.3780786991119385,0.2111811488866806,0.4343787729740143,0.38349902629852295,0.2041870355606079,-0.16311879456043243,0.5491974353790283,0.5097814202308655,0.5126614570617676,0.1457504779100418,0.3602956235408783,0.23789261281490326,0.40610426664352417,0.1851806491613388,0.21925514936447144,0.3042547404766083,0.2762218415737152,0.1317693293094635
hallitus,-0.04462626948952675,0.12469497323036194,0.4370424151420593,0.0014565751189365983,0.19181014597415924,0.06340330839157104,0.12325470894575119,0.16956105828285217,1.0000001192092896,0.4154198169708252,-0.10402118414640427,0.1251191347837448,0.011448271572589874,0.05487287789583206,0.22592464089393616,0.1279435157775879,0.13305723667144775,0.19650545716285706,0.04690923914313316,0.3740626573562622,0.20102348923683167,0.07796202600002289,0.5322015881538391,0.46883702278137207,0.08809689432382584,0.1962275505065918,0.14896120131015778,0.10729918628931046,0.15574395656585693,0.13973037898540497,0.5998069643974304,0.5524276494979858,0.41115546226501465,0.17187325656414032,0.045072831213474274,0.44963324069976807,0.06754179298877716,0.15358924865722656,0.14995020627975464,0.4371068477630615,0.20152276754379272,0.5539270043373108,0.4396454691886902,0.032186221331357956,0.2828389108181,0.026872290298342705,0.1305772364139557,0.33798497915267944,0.13310343027114868,0.2841326892375946,0.05890175700187683,0.4526846706867218,0.3266358971595764,0.5483615398406982,0.32884275913238525,0.1669742465019226,-0.031079750508069992,0.017346752807497978,0.4697396457195282,0.26136016845703125,0.30951422452926636,0.14884895086288452,-0.12896758317947388,0.16928182542324066,0.43733248114585876,0.28295865654945374,0.24037495255470276,0.01607397384941578,0.3280925154685974,0.16450859606266022,0.34377267956733704,0.480536550283432,0.1068437248468399,0.5408362150192261,0.10329971462488174
herttua,-0.009853663854300976,0.05168265849351883,0.5211132764816284,0.004586615599691868,0.3912152349948883,-0.18477943539619446,-0.08130554109811783,0.046650245785713196,0.4154198169708252,1.0,0.14908283948898315,0.05840317904949188,-0.21610485017299652,0.006830372381955385,-0.1379835456609726,-0.21510274708271027,0.0451209656894207,0.32736098766326904,-0.29010385274887085,0.19062238931655884,0.10879620909690857,-0.004557579290121794,0.6253113150596619,0.7508953213691711,-0.0010878562461584806,0.042847372591495514,-0.005766754969954491,0.17663556337356567,-0.14016471803188324,-0.06429696828126907,0.14187273383140564,0.7900440692901611,0.16661523282527924,0.0016728946939110756,-0.18644672632217407,0.10025428235530853,-0.03692127764225006,-0.09902465343475342,-0.042612411081790924,0.2366522252559662,-0.08378056436777115,0.738459050655365,0.0951988473534584,-0.03675610572099686,-0.002251995261758566,0.6556484699249268,0.29224666953086853,0.20308029651641846,0.19922122359275818,-0.03128977119922638,0.31199389696121216,0.3248119652271271,0.2880363464355469,0.1958642154932022,0.1595447063446045,0.1896124631166458,-0.23009927570819855,-0.1280832290649414,0.1661447137594223,0.13925562798976898,0.16095538437366486,-0.21975119411945343,0.3104289770126343,0.06025613844394684,0.21796466410160065,0.07995440065860748,0.09233944118022919,-0.21698534488677979,0.1530974805355072,0.26538795232772827,0.4552413523197174,0.46030351519584656,0.17923857271671295,0.3754676580429077,0.19784730672836304
