,politiikka,valtioviisaus,suuriruhtinaskunta,ruhtinaskunta,herttuakunta,suomi,valtio,osavaltio,suomalainen,kansakunta,kansa,raja,nyky,venäjä,venäläinen,keisarikunta,valtakunta,perustuslaki,valtiosääntö,rauha,maakunta,ruotsi,dynastinen,yhteiskunta,yhteiskunnallinen,sosiaalinen,kulttuuri,sivistys,valta,voima,mahti,toimivalta,oikeus,suurvalta,edustajisto,edustus,kansanedustus,hallitsija,hallinto,pohjoismainen,yhteisö,oikeudet,keisarilinen,monarkki,valtias,suvereeni,itsenäinen,kuninkaallinen,provinssi,lääni,koskemattomuus,loukkaamattomuus,vaihtoehto,järjestelmä,suvereenius,sota,kuningaskunta,isänmaa,valtiosääty,sääty,valtiomuoto,hallintojärjestelmä,hallitus,valtionjohto,ministeristö,eduskunta,parlamentti,valtiopäivät,laki,sääntö,rajaseutu,tasa-arvo,liberaali,kuningas,tsaari,keisari,senaatti,alamainen,kansalainen,sopimus,demokratia,historia,konsepti,euroopan,eurooppalainen,yliopisto,vuosisata,luku,maa-alue,alue,seutu,muuttaa,vaihtaa,historiallinen,historian-,ruotsalainen,sisäinen,sisä-,kotimaan,kotimainen,eurooppa,käsitellä,tarkastella,keskustella,aikainen,varhainen,varhais,alku,kysymys,osallistua,status,asema,muodostaa,muodostua,muotoutua,syntyä,perustaa,ala,traktaatti,osa,kolkka,kulmakunta,kunta,erottaa,erkaantua,jakautua,jakaa,herttua,ihminen,ihmis-,inhimillinen,julkinen,yleinen,kehittynyt,edistynyt,korkeatasoinen,retoriikka,puhe,tarkoitushakuinen,aika,ajanjakso,aikakausi,ajankohta,hetki,kiisttanalainen,riitainen,riidanalainen,kieli,aikaväli,kausi,vaihe,periodi,eri,erilainen,kannattaa,tukea,avustaa,rahoittaa,yhdistää,liittää,assosioida,vastalause,mielenilmaus,lausunto,arkisto,arkistoida,historiankirjoitus,johtaja,vallanpitäjä,irrottaa,irtautua,hallinnallinen,tiede,tuottaa,aiheuttaa,synnyttää,esittää,sanomalehti,lehti,riski,vaara,uhka,historioitsija,historiankirjoittaja,julkaista,painattaa,yhteistoiminta,yhteistyö,komento,hallitusaika,määräys,päätös,ratkaisu,periaate,moraali,keskiaika,vanha,entinen,aikaisempi,mobilisaatio,luonto,luonne,laatu,älyllinen,intellektuelli,älykkö,idea,käsitys,mielikuva,paikallinen,paikallis-,alueellinen,pietari,oppilaitos,koulu,akatemia,eheys,luoda,luovutettu,luovuttaa,artikkeli,kirjoitus,artikla,pykälä,res publika,karjalainen,jäsen,keski-,keskus-,keskitetty,hallitusmuoto,virallinen,muodollinen,virkamies,myytti,uskomus,intressi,etu,hyöty,napoleon,yhdistyä,vertailu,yleis-,kenraali,neuvotella,asukas,raja-,kartta,skandinavia,puolustaa,suojella,talous,maantieteellinen,yhteys,yksimielisyys,raha,valuutta,markka,kruunu,kansallinen,itsellisyys,agitatsiooni,itsemääräys,year
1820,0,0,0,0,0,20,0,0,152,0,162,13,0,0,1,0,13,0,0,45,82,0,0,0,0,0,0,0,2,1,3,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,59,0,0,0,0,0,63,0,4,0,5,0,0,24,0,0,0,1,0,19,4,0,0,0,157,0,43,5,0,0,0,0,7,0,0,6,0,0,30,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,46,1,0,0,0,0,0,0,14,13,18,0,100,0,0,5,10,0,0,21,13,103,0,0,2,0,0,0,0,0,30,0,273,0,0,0,1,0,0,0,117,0,3,0,0,10,0,4,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,5,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,4,43,0,0,28,0,8,0,0,0,0,0,0,1,0,0,0,0,31,0,0,20,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,36,4,0,0,0,0,3,0,38,0,3,0,0,11,1,0,1,0,69,0,2,2,0,0,0,0,1820
1821,0,0,0,0,0,11,0,0,70,0,167,15,0,0,0,0,20,1,0,16,59,4,0,0,0,0,0,0,1,0,2,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,67,0,0,0,0,0,83,0,4,0,68,0,0,27,0,0,0,0,0,16,5,0,0,0,92,0,79,8,1,1,0,0,8,0,0,3,0,0,23,0,0,0,22,0,0,0,19,0,0,0,0,0,0,0,4,4,0,0,37,3,0,0,0,0,0,0,24,4,81,0,102,0,0,6,14,0,0,12,2,119,0,0,4,0,0,0,0,0,12,0,262,0,0,0,6,0,0,0,57,0,0,0,0,14,0,1,3,0,0,14,1,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,4,20,0,0,24,0,8,0,0,0,0,1,0,0,0,0,0,0,61,0,0,18,0,0,2,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,31,4,0,0,0,0,0,2,60,0,13,0,0,6,3,0,2,1,54,0,2,44,0,0,0,0,1821
1822,0,0,0,0,0,10,0,0,27,0,88,7,0,0,0,0,6,0,0,16,42,3,0,0,0,0,0,0,0,2,2,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,0,0,0,0,0,62,0,1,0,13,0,0,20,0,0,0,2,0,25,6,0,0,0,90,0,52,11,1,0,0,0,8,0,0,15,0,0,11,0,0,1,18,0,0,0,13,0,0,0,0,0,0,0,2,4,0,0,26,2,0,0,0,0,0,0,9,18,7,0,89,1,0,3,7,0,0,4,0,76,0,0,2,1,0,0,0,0,27,0,198,0,0,0,3,0,0,0,71,0,4,0,0,15,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,5,26,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,78,1,0,11,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,2,1,0,12,14,1,0,1,0,0,0,0,38,0,1,0,0,2,1,0,0,0,178,0,12,23,0,0,0,0,1822
1823,0,0,0,0,0,4,0,0,45,4,86,4,0,0,0,0,4,0,0,7,7,1,0,0,0,0,0,0,0,0,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,75,0,0,0,0,0,7,0,0,0,5,0,0,7,0,0,0,0,0,12,1,0,0,0,40,0,14,6,3,0,0,0,1,0,0,0,0,0,15,0,0,0,14,0,0,0,28,0,0,0,0,0,0,0,0,2,0,0,20,2,0,0,1,0,0,0,27,15,3,0,149,0,0,6,9,0,0,21,0,134,0,0,5,0,0,0,0,0,10,0,194,0,0,0,10,0,0,0,37,0,10,0,0,10,1,2,3,0,0,4,5,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,26,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,41,9,0,2,0,0,0,6,0,0,0,1,34,0,0,0,0,0,0,4,0,0,5,4,25,0,3,0,0,5,0,12,0,1,0,0,2,0,0,2,0,90,0,4,12,0,0,0,0,1823
1824,0,0,0,0,0,3,0,0,65,1,67,7,0,0,1,0,36,0,0,20,22,4,0,0,0,0,0,0,4,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,39,0,1,0,7,0,0,34,0,0,0,0,0,17,1,0,0,0,56,0,45,10,0,0,0,0,5,0,0,3,0,0,11,0,0,0,32,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,27,9,0,0,0,0,0,0,19,10,4,0,62,0,0,8,4,2,0,9,0,120,0,0,8,0,0,0,0,0,8,0,198,0,0,0,15,0,0,0,18,0,5,0,0,4,0,1,21,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,36,0,0,13,0,7,0,0,0,0,4,0,0,0,0,0,0,42,0,0,6,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,1,0,0,8,7,2,0,5,0,0,1,0,25,0,0,0,0,3,0,0,1,0,49,0,2,7,1,0,0,0,1824
1825,0,0,0,0,0,1,0,0,59,1,82,2,0,0,0,0,27,0,0,24,23,0,0,0,0,0,0,0,0,10,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,28,0,3,0,9,0,0,36,0,0,0,0,0,29,2,0,0,0,22,0,19,0,0,0,0,0,6,0,0,0,0,2,8,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,16,10,0,0,1,0,0,0,2,5,4,0,56,0,0,0,5,0,0,6,0,96,0,0,5,0,0,0,0,0,21,0,138,0,0,0,24,0,0,0,4,0,7,0,0,4,0,0,21,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,13,24,0,0,21,0,3,0,0,0,0,5,0,0,0,0,0,0,25,0,1,10,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,2,0,0,9,7,1,0,5,0,0,0,0,10,0,0,0,0,0,0,0,1,0,35,0,0,14,1,0,0,0,1825
1826,0,0,0,0,0,5,0,0,72,3,59,2,0,0,0,1,8,0,0,11,6,0,0,0,0,0,0,0,1,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58,0,0,0,0,0,9,0,3,0,9,0,0,11,0,0,0,0,0,25,1,0,0,0,30,0,104,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,30,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,19,2,0,0,0,0,0,0,2,3,4,0,64,0,0,1,2,1,0,2,3,90,0,0,4,1,0,0,0,0,15,0,78,0,0,0,20,0,0,0,20,0,1,0,0,0,0,1,30,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,5,21,0,0,17,0,4,0,0,0,0,4,0,0,0,0,0,0,28,0,0,7,0,0,0,4,0,0,0,1,18,0,0,0,0,0,0,1,0,0,9,4,0,0,1,0,0,3,0,2,0,0,0,0,1,0,0,1,0,35,0,1,12,1,0,0,0,1826
1827,0,0,0,0,0,2,0,0,36,1,29,4,0,0,0,0,8,0,0,5,5,1,0,0,0,0,0,0,1,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,4,0,0,6,0,0,0,0,0,11,2,0,0,0,18,2,22,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,11,4,0,0,0,0,0,0,8,2,3,0,24,0,0,2,1,1,0,2,0,73,0,0,5,2,0,0,0,0,5,0,63,0,0,0,12,0,0,0,15,0,2,0,0,3,0,1,25,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,12,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,19,1,0,10,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,3,0,2,0,0,2,0,1,0,0,0,0,0,0,0,4,0,18,0,0,5,0,0,0,0,1827
1829,0,0,0,0,0,7,0,0,115,16,235,14,0,0,0,1,8,0,0,61,21,0,0,0,0,0,0,0,0,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,54,0,0,0,0,0,119,0,19,0,8,0,0,26,0,0,0,0,0,45,10,0,0,0,42,0,114,2,8,0,0,0,4,0,0,0,0,0,21,0,6,0,46,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,33,9,0,0,3,0,0,0,21,10,23,0,91,0,0,4,11,5,0,18,5,137,0,0,7,0,0,0,0,0,39,0,265,0,0,0,21,0,1,0,65,0,5,1,0,40,0,0,11,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,4,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,101,0,0,57,4,27,0,0,0,0,0,0,0,0,0,0,0,20,26,0,14,0,0,0,8,0,0,0,1,13,0,0,0,0,0,0,1,0,0,7,34,3,0,5,0,0,40,0,24,0,5,0,0,12,11,0,12,0,145,0,2,22,0,0,0,0,1829
1830,0,0,0,0,0,14,0,0,182,24,260,21,0,3,2,1,14,0,0,20,30,0,0,0,0,0,0,0,1,1,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,133,0,0,0,0,0,42,0,0,0,19,0,0,28,0,0,0,0,0,37,5,0,0,0,50,2,159,6,16,0,0,0,5,0,0,0,0,0,13,0,6,0,32,0,0,0,1,0,0,0,0,0,0,0,12,5,0,0,21,15,0,0,0,0,0,0,19,11,9,0,170,2,2,6,6,1,0,10,3,212,0,0,43,0,0,0,0,0,43,0,253,0,0,0,35,0,0,0,51,0,6,0,0,27,0,5,7,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,5,97,0,0,46,6,21,0,0,0,0,2,0,0,0,0,0,0,69,1,0,16,0,0,0,28,0,0,0,1,36,0,0,0,0,0,0,1,0,0,14,30,4,0,1,0,0,14,0,30,0,1,0,0,2,32,0,2,0,112,0,0,34,0,0,0,0,1830
