,politiikka,valtioviisaus,suuriruhtinaskunta,ruhtinaskunta,herttuakunta,suomi,valtio,osavaltio,suomalainen,kansakunta,kansa,raja,nyky,venäjä,venäläinen,keisarikunta,valtakunta,perustuslaki,valtiosääntö,rauha,maakunta,ruotsi,dynastinen,yhteiskunta,yhteiskunnallinen,sosiaalinen,kulttuuri,sivistys,valta,voima,mahti,toimivalta,oikeus,suurvalta,edustajisto,edustus,kansanedustus,hallitsija,hallinto,pohjoismainen,yhteisö,oikeudet,keisarilinen,monarkki,valtias,suvereeni,itsenäinen,kuninkaallinen,provinssi,lääni,koskemattomuus,loukkaamattomuus,vaihtoehto,järjestelmä,suvereenius,sota,kuningaskunta,isänmaa,valtiosääty,sääty,valtiomuoto,hallintojärjestelmä,hallitus,valtionjohto,ministeristö,eduskunta,parlamentti,valtiopäivät,laki,sääntö,rajaseutu,tasa-arvo,liberaali,kuningas,tsaari,keisari,senaatti,alamainen,kansalainen,sopimus,demokratia,historia,konsepti,euroopan,eurooppalainen,yliopisto,vuosisata,luku,maa-alue,alue,seutu,muuttaa,vaihtaa,historiallinen,historian-,ruotsalainen,sisäinen,sisä-,kotimaan,kotimainen,eurooppa,käsitellä,tarkastella,keskustella,aikainen,varhainen,varhais,alku,kysymys,osallistua,status,asema,muodostaa,muodostua,muotoutua,syntyä,perustaa,ala,traktaatti,osa,kolkka,kulmakunta,kunta,erottaa,erkaantua,jakautua,jakaa,herttua,ihminen,ihmis-,inhimillinen,julkinen,yleinen,kehittynyt,edistynyt,korkeatasoinen,retoriikka,puhe,tarkoitushakuinen,aika,ajanjakso,aikakausi,ajankohta,hetki,kiisttanalainen,riitainen,riidanalainen,kieli,aikaväli,kausi,vaihe,periodi,eri,erilainen,kannattaa,tukea,avustaa,rahoittaa,yhdistää,liittää,assosioida,vastalause,mielenilmaus,lausunto,arkisto,arkistoida,historiankirjoitus,johtaja,vallanpitäjä,irrottaa,irtautua,hallinnallinen,tiede,tuottaa,aiheuttaa,synnyttää,esittää,sanomalehti,lehti,riski,vaara,uhka,historioitsija,historiankirjoittaja,julkaista,painattaa,yhteistoiminta,yhteistyö,komento,hallitusaika,määräys,päätös,ratkaisu,periaate,moraali,keskiaika,vanha,entinen,aikaisempi,mobilisaatio,luonto,luonne,laatu,älyllinen,intellektuelli,älykkö,idea,käsitys,mielikuva,paikallinen,paikallis-,alueellinen,pietari,oppilaitos,koulu,akatemia,eheys,luoda,luovutettu,luovuttaa,artikkeli,kirjoitus,artikla,pykälä,res publika,karjalainen,jäsen,keski-,keskus-,keskitetty,hallitusmuoto,virallinen,muodollinen,virkamies,myytti,uskomus,intressi,etu,hyöty,napoleon,yhdistyä,vertailu,yleis-,kenraali,neuvotella,asukas,raja-,kartta,skandinavia,puolustaa,suojella,talous,maantieteellinen,yhteys,yksimielisyys,raha,valuutta,markka,kruunu,kansallinen,itsellisyys,agitatsiooni,itsemääräys,year
1820,0,0,0,0,0,0,0,0,7,0,49,4,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,2,7,1,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,82,0,10,0,0,0,0,0,2,0,34,2,0,0,22,0,0,0,6,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,59,0,0,0,3,0,0,407,12,9,1,0,2,0,0,0,0,0,3,0,23,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,3,0,0,4,0,6,0,0,0,0,0,0,1,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,14,2,2,0,0,0,2,0,0,4,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1820
1821,0,0,0,0,0,0,0,0,8,0,35,1,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,4,5,0,0,15,0,0,0,0,0,0,0,0,2,14,0,0,0,0,1,0,5,0,0,0,0,0,32,0,0,0,13,0,0,6,0,0,0,0,0,1,2,0,0,0,41,0,16,4,0,0,0,0,4,0,34,0,0,1,13,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,6,2,0,0,0,0,0,0,3,1,3,0,53,0,0,1,6,0,0,355,0,18,0,0,2,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,6,1,0,8,0,4,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6,1,11,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,2,0,0,5,0,0,0,0,1821
1822,0,0,0,0,0,0,0,0,3,0,17,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,12,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,3,0,0,12,0,0,0,0,0,3,2,0,0,0,41,0,20,5,0,0,0,0,3,0,14,3,0,0,9,0,0,0,4,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,41,0,0,0,2,0,0,335,0,5,0,0,2,0,0,0,0,0,4,0,14,0,0,0,1,0,0,0,1,0,0,0,0,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,9,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,16,0,1,9,0,0,0,0,1822
1823,0,0,0,0,0,0,0,0,3,0,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,5,3,0,0,0,0,0,0,2,0,0,0,12,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,2,0,3,0,46,0,0,0,1,0,0,346,0,14,0,0,3,0,0,0,0,0,1,0,21,0,0,0,4,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,6,1,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1823
1824,0,0,0,0,0,0,0,0,2,0,26,1,0,0,0,0,4,0,0,3,0,2,0,0,0,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,0,0,36,0,20,5,0,0,0,0,1,0,12,2,0,0,6,0,0,0,6,0,0,1,0,0,6,0,0,0,0,0,0,2,0,0,2,5,0,0,0,2,0,0,0,3,4,0,29,0,0,1,1,1,0,416,0,28,0,0,3,0,0,0,0,0,2,0,26,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,3,0,3,0,0,0,0,2,0,0,0,0,20,0,4,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1824
1825,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,60,0,10,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,3,0,0,0,0,0,0,0,0,4,0,17,0,0,0,2,0,0,379,0,16,0,0,1,0,0,0,0,0,1,0,18,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,1825
1826,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,25,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,53,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,1,1,0,372,5,10,0,0,1,1,0,0,0,0,4,0,10,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,1,0,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1826
1827,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25,0,12,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,248,0,18,0,0,0,1,0,0,0,0,2,0,11,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1827
1829,0,0,0,0,0,0,0,0,8,1,148,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,6,2,2,0,7,0,0,0,0,0,0,0,0,4,10,0,0,0,0,3,0,3,0,0,0,0,0,54,0,1,0,0,0,0,4,0,0,0,0,0,17,1,0,0,0,33,0,41,0,0,0,0,0,3,0,6,0,0,0,12,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,4,2,0,0,0,5,0,0,1,0,19,0,45,3,0,0,1,2,0,776,4,24,0,0,0,0,0,0,0,0,2,0,34,0,0,0,6,0,0,0,0,0,0,1,0,39,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,5,0,0,8,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,37,0,2,0,0,0,0,2,0,0,2,0,12,0,0,1,0,0,0,0,1829
1830,0,0,0,0,0,0,0,0,8,4,139,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,1,6,0,0,10,0,0,0,0,0,0,0,0,0,23,0,0,0,0,9,0,5,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,32,2,77,1,4,0,0,0,1,0,9,0,0,0,7,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,4,1,0,0,8,2,0,0,0,1,0,0,0,0,10,0,62,1,0,0,1,1,0,662,4,39,0,0,5,0,0,0,0,0,2,0,35,0,0,0,2,0,0,0,0,0,0,1,0,25,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,21,0,0,10,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,6,0,0,0,0,5,5,1,0,0,0,0,1,0,0,2,5,0,2,1,0,0,7,2,1,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1830
