,agitatsiooni,aiheuttaa,aika,aikainen,aikaisempi,aikakausi,aikaväli,ajanjakso,ajankohta,akatemia,ala,alamainen,alku,alue,alueellinen,arkisto,arkistoida,artikkeli,artikla,asema,assosioida,asukas,avustaa,demokratia,edistynyt,eduskunta,eheys,entinen,eri,erilainen,erkaantua,erottaa,esittää,etu,euroopan,eurooppa,eurooppalainen,hallinnallinen,hallintojärjestelmä,hallitus,hallitusaika,hallitusmuoto,herttua,hetki,historia,historiallinen,historian-,historiankirjoittaja,historiankirjoitus,historioitsija,hyöty,idea,ihminen,ihmis-,inhimillinen,intellektuelli,intressi,irrottaa,irtautua,isänmaa,itsellisyys,itsemääräys,jakaa,jakautua,johtaja,julkaista,julkinen,jäsen,kannattaa,kansa,kansalainen,kansallinen,karjalainen,kartta,kausi,kehittynyt,keisari,kenraali,keski-,keskiaika,keskitetty,keskus-,keskustella,kieli,kiisttanalainen,kirjoitus,kolkka,komento,konsepti,korkeatasoinen,kotimaan,kotimainen,koulu,kruunu,kulmakunta,kuningas,kunta,kysymys,käsitellä,käsitys,laatu,laki,lausunto,lehti,liberaali,liittää,luku,luoda,luonne,luonto,luovutettu,luovuttaa,maa-alue,maakunta,maantieteellinen,markka,mielenilmaus,mielikuva,ministeristö,mobilisaatio,moraali,muodollinen,muodostaa,muodostua,muotoutua,muuttaa,myytti,määräys,napoleon,neuvotella,oikeus,oppilaitos,osa,osallistua,paikallinen,paikallis-,painattaa,parlamentti,periaate,periodi,perustaa,pietari,puhe,puolustaa,pykälä,päätös,raha,rahoittaa,raja-,rajaseutu,ratkaisu,res publica,retoriikka,riidanalainen,riitainen,riski,ruotsalainen,ruotsi,sanomalehti,senaatti,seutu,sisä-,sisäinen,skandinavia,sopimus,status,suojella,suomi,synnyttää,syntyä,sääntö,sääty,talous,tarkastella,tarkoitushakuinen,tasa-arvo,tiede,traktaatti,tsaari,tukea,tuottaa,uhka,uskomus,vaara,vaihe,vaihtaa,vallanpitäjä,valtiomuoto,valtionjohto,valtiopäivät,valtiosääty,valuutta,vanha,varhainen,varhais,vastalause,venäjä,vertailu,virallinen,virkamies,vuosisata,yhdistyä,yhdistää,yhteistoiminta,yhteistyö,yhteys,yksimielisyys,yleinen,yleis-,yliopisto,dynastinen,edustajisto,edustus,hallinto,hallitsija,herttuakunta,itsenäinen,järjestelmä,kansakunta,kansanedustus,keisarikunta,keisarilinen,koskemattomuus,kulttuuri,kuningaskunta,kuninkaallinen,loukkaamattomuus,lääni,mahti,monarkki,nyky,oikeudet,osavaltio,perustuslaki,pohjoismainen,politiikka,provinssi,raja,rauha,ruhtinaskunta,sivistys,sosiaalinen,sota,suomalainen,suuriruhtinaskunta,suurvalta,suvereeni,suvereenius,toimivalta,vaihtoehto,valta,valtakunta,valtias,valtio,valtiosääntö,valtioviisaus,venäläinen,voima,yhteiskunnallinen,yhteiskunta,yhteisö,älykkö,älyllinen,year
1820,0,0,273,3,0,0,0,0,0,0,18,0,46,0,0,0,0,0,0,0,0,38,0,0,0,0,0,43,10,0,0,10,0,36,0,0,6,0,0,24,0,0,13,1,7,0,0,0,0,0,4,0,103,0,0,0,0,0,0,4,0,0,21,0,1,0,2,12,4,162,0,0,6,3,3,0,43,3,0,0,0,0,3,117,0,0,0,0,0,0,0,0,31,2,0,157,5,1,0,0,8,19,0,2,0,2,30,20,0,28,0,0,0,82,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,12,0,100,0,1,0,1,1,0,0,13,0,30,0,0,6,69,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,11,20,5,14,4,5,1,0,0,0,0,0,0,3,11,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59,3,0,0,0,0,0,0,0,0,13,45,0,0,0,63,152,0,0,0,0,0,0,2,13,0,0,0,0,1,1,0,0,0,0,0,1820
1821,0,0,262,4,0,0,0,0,0,0,81,1,37,0,0,0,0,2,0,0,0,60,0,0,0,0,0,20,14,0,0,14,0,31,0,0,3,0,0,27,0,0,2,6,8,0,0,0,0,0,4,0,119,0,0,0,0,0,0,4,0,0,12,0,0,0,4,6,1,167,1,0,1,13,0,0,79,0,0,0,0,0,4,57,0,0,0,2,0,0,0,0,61,44,0,92,6,3,0,1,8,16,4,2,0,1,23,18,0,24,0,0,0,59,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,2,43,0,102,0,0,0,0,0,0,0,4,0,12,0,0,3,54,0,0,0,0,0,0,0,0,0,19,4,0,8,0,0,0,0,0,0,6,11,2,24,5,68,3,0,0,0,0,0,0,3,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,2,1,0,0,0,1,0,0,0,15,16,0,0,0,83,70,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1821
1822,0,0,198,4,0,0,0,0,0,1,7,1,26,0,0,0,0,18,0,0,0,38,0,0,0,0,0,26,15,2,0,7,0,14,0,0,15,0,0,20,0,0,0,3,8,0,0,0,0,0,1,0,76,0,0,0,12,0,0,1,0,0,4,0,0,0,2,20,0,88,0,0,0,1,4,0,52,0,0,0,0,0,2,71,0,0,1,1,0,0,0,0,78,23,0,90,3,2,0,0,3,25,0,5,0,1,11,11,0,15,0,0,0,42,0,12,0,0,0,0,0,0,0,0,0,18,1,0,0,0,51,0,89,0,0,0,0,2,0,0,18,0,27,0,0,11,178,0,0,0,0,0,0,0,0,0,13,3,0,11,1,0,0,0,0,0,2,10,2,9,6,13,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,2,0,0,0,0,0,0,0,0,7,16,0,0,0,62,27,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1822
1823,0,0,194,2,0,0,0,0,0,9,3,3,20,0,0,0,0,0,0,1,0,12,0,0,0,0,0,26,10,1,0,9,0,4,0,0,0,0,0,7,0,0,0,10,1,0,0,0,0,0,25,0,134,0,0,0,5,0,0,0,0,0,21,0,4,0,5,34,2,86,0,0,1,1,10,0,14,5,0,0,0,0,0,37,0,6,0,0,0,0,0,0,41,12,0,40,6,2,0,0,12,12,0,8,0,5,15,2,0,8,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,45,0,149,0,0,0,0,0,0,0,15,0,10,0,0,6,90,0,0,0,0,0,0,0,0,0,28,1,0,6,0,0,0,0,0,0,2,4,2,27,1,5,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,75,3,0,0,0,0,0,0,0,0,4,7,0,0,0,7,45,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1823
1824,0,0,198,8,0,0,0,0,0,0,4,0,27,0,0,0,0,0,0,0,0,25,0,0,0,0,0,36,4,0,2,4,0,7,0,0,3,0,0,34,0,0,0,15,5,0,0,0,0,0,2,0,120,0,0,0,8,0,0,1,0,0,9,0,0,0,8,8,1,67,0,1,0,0,5,0,45,1,0,0,0,0,0,18,0,7,0,0,0,0,0,0,42,7,0,56,8,9,0,4,7,17,0,5,0,1,11,6,0,13,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,33,0,62,0,0,0,0,0,0,0,10,0,8,0,0,10,49,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,0,0,0,0,3,3,14,19,1,7,0,0,0,0,0,0,0,21,11,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,7,20,0,0,0,39,65,0,0,0,0,0,0,4,36,0,0,0,0,1,4,0,0,0,0,0,1824
1825,0,0,138,1,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,1,0,10,0,0,0,0,1,24,4,0,0,5,0,7,0,0,0,0,0,36,0,0,0,24,6,0,0,0,0,0,1,0,96,0,0,0,9,0,0,3,0,0,6,0,0,0,5,11,0,82,0,1,0,0,7,0,19,0,0,0,0,0,2,4,0,10,0,0,0,0,0,0,25,14,0,22,0,10,0,5,3,29,0,1,0,1,8,10,0,21,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,45,0,56,0,0,0,0,0,0,0,5,0,21,0,0,19,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,9,0,0,0,0,0,0,0,21,16,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,2,5,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,2,24,0,0,0,28,59,0,0,0,0,0,0,0,27,0,0,0,0,0,10,0,0,0,0,0,1825
1826,0,0,78,3,0,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,0,0,1,2,0,4,0,0,0,0,0,11,0,0,3,20,0,0,0,0,0,0,0,0,90,0,0,0,9,0,0,3,0,0,2,0,0,0,4,18,1,59,0,1,1,0,1,0,104,3,0,0,0,0,0,20,0,4,0,0,0,0,0,0,28,12,0,30,1,2,1,4,4,25,0,0,0,2,6,7,0,17,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,29,0,64,0,0,0,2,0,0,0,3,0,15,0,0,10,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,14,2,1,9,0,0,0,0,0,0,0,30,9,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,2,11,0,0,0,9,72,0,0,0,0,0,0,1,8,1,0,0,0,0,4,0,0,0,0,0,1826
1827,0,0,63,1,0,0,0,0,0,1,3,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,3,0,1,1,0,4,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,3,0,73,0,0,0,0,0,0,0,0,0,2,0,0,0,5,11,1,29,0,0,0,0,2,0,22,2,0,0,0,0,4,15,0,5,0,0,0,0,0,0,19,5,0,18,2,4,1,0,2,11,0,2,0,2,7,10,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,24,0,0,0,0,0,0,0,2,0,5,0,0,9,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,8,2,4,0,0,0,0,0,0,2,25,5,1,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,2,11,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5,36,0,0,0,0,0,0,1,8,0,0,0,0,0,3,0,0,0,0,0,1827
1829,0,0,265,1,0,0,0,0,0,26,23,8,33,6,0,0,0,0,0,3,0,24,0,0,0,0,0,101,40,0,5,11,0,34,0,0,0,0,0,26,0,0,5,21,4,0,0,0,0,0,3,0,137,0,0,0,7,0,0,19,0,0,18,0,0,0,7,13,0,235,0,0,1,5,5,0,114,40,0,0,0,0,11,65,0,8,0,0,0,0,0,0,20,22,0,42,4,9,0,0,27,45,1,38,0,2,21,14,4,57,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,46,0,0,0,0,47,0,91,0,0,0,0,0,0,0,10,0,39,0,0,19,145,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,12,7,4,21,10,8,11,0,0,0,0,0,0,11,16,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,4,0,54,3,0,0,0,0,0,0,0,0,14,61,0,0,0,119,115,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1829
1830,0,0,253,5,0,0,0,0,0,1,9,16,21,6,0,0,0,0,0,0,0,30,0,0,0,0,0,97,27,0,1,6,0,30,0,0,0,0,0,28,0,0,3,35,5,0,0,0,0,0,4,0,212,0,0,0,14,0,0,0,0,0,10,0,0,0,43,36,5,260,0,0,1,1,6,0,159,14,0,0,0,0,12,51,0,28,2,0,0,0,0,0,69,34,2,50,6,15,0,2,21,37,1,30,0,1,13,16,6,46,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,67,0,170,0,0,0,0,0,0,0,11,0,43,0,0,36,112,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,2,14,6,19,5,19,32,0,0,0,0,0,2,7,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,1,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,8,0,133,1,0,0,0,0,0,0,0,0,21,20,0,0,0,42,182,0,0,0,0,0,0,1,14,0,0,0,0,2,1,0,0,0,0,0,1830
