,demokratia,year
1820,0,1820
1821,0,1821
1822,0,1822
1823,0,1823
1824,0,1824
1825,0,1825
1826,0,1826
1827,0,1827
1829,0,1829
1830,0,1830
1831,0,1831
1832,0,1832
1833,0,1833
1834,0,1834
1835,0,1835
1836,0,1836
1837,0,1837
1838,0,1838
1839,0,1839
1840,0,1840
1841,0,1841
1842,0,1842
1844,0,1844
1845,0,1845
1846,0,1846
1847,0,1847
1848,0,1848
1849,0,1849
1850,0,1850
1851,0,1851
1852,0,1852
1853,0,1853
1854,0,1854
1855,0,1855
1856,0,1856
1857,0,1857
1858,0,1858
1859,0,1859
1860,0,1860
1861,0,1861
1862,0,1862
1863,0,1863
1864,0,1864
1865,0,1865
1866,0,1866
1867,0,1867
1868,0,1868
1869,1,1869
1870,1,1870
1871,0,1871
1872,1,1872
1873,0,1873
1874,0,1874
1875,0,1875
1876,0,1876
1877,0,1877
1878,2,1878
1879,2,1879
1880,10,1880
1881,5,1881
1882,2,1882
1883,5,1883
1884,18,1884
1885,5,1885
1886,4,1886
1887,1,1887
1888,12,1888
1889,1,1889
1890,17,1890
1891,11,1891
1892,2,1892
1893,0,1893
1894,3,1894
1895,8,1895
1896,1,1896
1897,2,1897
1898,4,1898
1899,4,1899
1900,1,1900
1901,9,1901
1902,13,1902
1903,30,1903
1904,12,1904
1905,17,1905
1906,80,1906
1907,228,1907
1908,126,1908
1909,100,1909
1910,134,1910
