,words,politik,storfurstendöme,furstendöme,hertigdöme,Finland,Historia,historie-,koncept,begrepp,stat,delstat,europeisk,finsk,finländsk,finne,finländare,finska,nation,folk,universitet,sekel,talet,århundrade,gräns,modern,nutida,område,landområde,territorium,växla,förändring,byta,ryss,ryska,historisk,swensk,kejsardöme,rike,imperium,intern,inre,inrikes,Europa,diskutera,tidig,författning,konstitution,grundlag,fråga,delta,ställning,status,fred,utforma,bilda,form,gestalt,region,Fördrag,avtal,Sverige,svenska,del,skilja,dela,dynastisk,hertig,human,offentlig,allmän,utvecklad,retorik,retorisk,social,kultur,tid,skede,period,epok,era,ifrågasatta,kontroversiell,omtvistad,tvistig,språk,tidstrogen,Ryssland,makt,olik,annorlunda,stötta,stödja,backa upp,associera,representation,protest,invändning,gensaga,folkpresentation,arkiv,historieskrivning,hävdateckning,historiogaf,härskare,styresman,dela upp,skilja åt,sära på,administrativ,vetenskap,ta fram,dagstidning,nyhetstidning,nordiska,risk,historiker,publicera,samarbete,styre,välde,regel,allmänna,samhället,princip,rättighet,rätt-,medeltid,kejserlig,förbi,förra,tidigare,mobilisering,nature,kynne,intellectuell,föreställning,åsikt,idé,lokal,orts-,Petersburg,akademi,samfund,monark,regent,suverän,provins,samhällelig,samhälls-,integritet,alternativ-,annan,system,gränslinje,suveränitet,självbestemmanderätt,autonomi,självstyrelse,skapa,överlåta,krig,artikel,paragraf,land,trakt,Res Publica,karelsk,karelare,medlem,stånd,gemensam,central,huvud-,statsform,statsskick,samhällsform,regeringsform,förvaltningssystem,marskalk,befattningshavare,ämbets-,tjänste-,officiell,myt,gudasaga,intresse,regering,Napoleon,förena,slå ihop,kombinera,jämförelse,riksdag,parlament,landtag,lag,general,förhandla,utverka,få still stånd,invånare,allmoge,gränslandet,jämlikhet,liberal,kung,tsar,kejsare,forskningsfält,kartta,Skandinavien,försvara,föra ngns talan,Ekonomi,ekonomisk,finans,geografisk,senat,samband,underståte,medborgare,överenskommelse,demokrati,valuta,sedel,mynt,slant,penning,pengar,year
1627-1632,65311,0,0,1,0,25,1,0,2,0,22,0,0,2,0,49,0,2,9,54,0,0,0,0,0,0,0,0,0,0,1,1,0,34,0,1,0,0,63,0,0,0,0,0,0,3,0,0,0,5,0,0,1,100,0,0,10,0,0,2,0,65,4,713,0,5,0,8,0,2,3,0,0,0,0,0,112,0,0,0,605,0,0,0,1,0,0,0,2,0,6,0,0,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,2,0,0,3,0,2,0,2,1,0,0,0,10,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,134,0,0,626,0,0,0,0,0,202,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,175,8,2,0,0,0,19,0,0,2,1,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,36,0,1627
1633-1638,203960,0,0,2,0,85,5,0,18,0,106,0,0,3,0,189,0,2,56,84,0,0,27,1,4,0,0,0,0,0,1,16,4,100,8,0,8,0,202,1,4,5,13,1,0,17,3,0,1,104,10,15,6,248,0,1,214,0,0,25,0,150,14,2284,1,51,0,34,0,4,25,0,0,0,0,0,364,11,1,0,2197,1,0,0,2,21,0,24,38,17,22,0,1,0,0,0,24,0,0,0,95,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,15,0,37,2,5,8,0,1,19,0,0,0,61,51,4,0,0,0,0,1,0,9,0,0,0,1,0,0,10,0,11,0,0,0,0,126,0,0,0,0,0,0,0,0,360,0,2,2241,10,0,0,0,16,800,12,0,0,0,0,0,54,0,599,0,0,0,0,0,0,4,663,0,4,0,0,1,145,0,0,687,33,8,0,0,0,78,0,0,2,36,0,12,0,0,0,14,0,0,0,2,0,6,0,0,0,0,0,0,3,57,0,68,10,1633
1640-1644,110219,0,0,1,0,18,0,0,13,0,19,0,0,0,0,118,0,0,15,63,1,0,27,0,0,0,0,0,0,0,0,3,1,2,0,0,1,0,79,0,0,0,3,2,0,3,0,0,0,16,0,1,0,93,0,0,51,0,0,3,0,40,1,1327,0,18,0,10,0,1,10,0,0,0,0,0,156,3,0,0,1444,0,0,0,4,2,0,1,8,0,12,0,0,0,0,0,6,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,4,0,0,9,1,0,0,41,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,205,1,0,1211,2,0,0,0,0,302,0,0,0,0,0,0,5,0,555,0,0,0,0,0,0,0,459,0,0,0,0,0,31,0,0,452,21,0,0,0,0,54,0,0,5,11,0,1,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,3,56,0,83,0,1640
1645-1651,210607,0,1,5,2,24,1,0,0,0,122,0,0,3,1,173,0,0,48,75,0,0,63,0,3,0,0,0,0,0,1,10,1,12,2,0,35,0,101,0,0,7,1,2,1,11,2,0,0,97,0,3,1,304,0,0,59,0,0,11,0,9,0,2187,0,45,0,81,2,5,20,0,0,0,0,0,392,12,0,0,3178,0,0,0,0,5,0,4,4,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,22,0,6,0,1,0,0,10,14,0,0,0,72,70,0,0,6,1,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,173,0,0,0,0,0,0,1,0,363,5,0,2141,3,0,0,0,2,517,0,0,0,0,0,0,0,0,519,0,0,0,0,1,0,1,20,0,1,0,0,0,34,0,0,938,64,8,0,0,0,56,0,0,1,8,0,2,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,3,39,0,173,0,1645
1652-1655,243374,1,1,1,0,41,0,0,0,0,162,0,0,10,0,149,0,0,96,8,0,0,22,0,14,0,0,0,0,0,0,14,7,33,0,0,7,0,58,0,2,5,1,4,0,5,14,0,0,227,0,3,5,117,0,0,51,0,0,8,0,10,0,1715,6,39,0,13,1,1,13,0,0,0,0,0,321,2,0,0,3447,0,0,0,1,4,0,12,3,0,10,0,2,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,8,0,2,0,0,11,10,0,0,0,75,29,0,0,7,0,0,0,0,21,0,0,0,0,0,0,10,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,168,7,0,2204,0,0,0,0,0,519,0,0,0,0,0,0,1,0,950,0,0,0,0,0,0,4,63,0,2,0,0,0,15,0,0,1072,58,2,0,0,0,24,0,0,1,18,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,218,0,1652
1656-1658,118934,0,3,3,2,13,0,0,0,0,86,0,0,1,0,73,0,0,36,77,2,0,22,0,1,0,0,0,0,0,1,5,0,64,0,1,14,0,18,1,3,0,0,2,0,2,2,0,0,39,0,6,2,92,0,0,54,0,0,7,0,9,1,751,1,18,0,11,0,5,8,0,0,0,0,0,37,1,0,0,2396,0,0,0,0,2,0,1,20,3,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,9,1,0,0,0,31,13,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,168,1,0,971,1,0,0,0,0,220,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,3,1,0,5,0,0,0,12,1,0,384,64,1,0,0,0,49,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,26,0,85,0,1656
1660,177132,0,0,0,0,34,0,0,0,0,178,0,0,4,0,133,0,3,87,19,0,0,5,0,1,0,0,0,0,1,0,25,0,57,2,0,91,0,89,1,1,1,1,8,0,2,6,0,0,34,0,1,8,361,0,1,209,0,2,18,0,13,1,1564,0,36,0,38,1,8,12,0,0,0,0,0,268,17,0,0,3705,0,0,0,0,4,0,6,1,2,7,0,0,0,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,7,0,14,0,2,0,0,16,5,0,0,0,33,13,0,0,6,0,0,0,0,14,0,0,0,0,0,0,2,0,2,0,0,0,0,122,0,0,0,0,0,0,0,0,145,2,0,1361,0,0,0,0,0,447,0,0,0,0,0,0,78,0,368,0,0,0,0,1,0,0,481,0,1,0,0,0,36,10,0,729,94,3,0,0,0,9,0,0,1,8,1,0,0,0,0,2,0,0,0,0,0,31,0,0,0,0,0,0,2,27,0,64,0,1660
1664,145985,0,0,0,6,33,1,0,32,0,68,0,0,1,0,118,0,0,39,60,0,0,7,0,0,0,0,0,0,0,3,8,1,58,0,0,0,0,71,0,0,1,2,2,0,15,2,0,0,47,0,1,3,72,0,0,143,0,0,21,0,127,7,1519,0,22,0,183,2,9,9,0,0,0,0,0,270,7,0,0,3161,0,0,0,1,0,0,4,2,5,9,0,0,0,2,1,16,0,0,0,29,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,25,0,7,2,0,1,0,5,2,0,0,0,59,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,107,0,0,0,0,0,0,1,0,145,2,0,1066,2,0,0,0,0,365,0,0,0,0,0,0,23,0,454,0,0,0,0,0,0,0,433,0,9,0,0,1,30,0,0,736,36,3,0,0,2,12,0,0,4,3,0,1,0,0,0,7,0,0,0,0,0,32,0,0,0,0,0,0,4,80,0,102,0,1664
1668,190482,0,1,3,1,47,1,0,19,0,101,0,0,17,0,79,0,5,37,28,0,0,11,0,0,0,0,0,0,3,5,9,6,8,0,2,0,0,11,0,0,0,0,11,0,0,11,0,0,161,0,2,5,90,0,0,213,0,0,4,0,90,9,2345,0,16,0,9,1,2,6,0,0,0,0,0,165,21,1,0,5454,0,0,0,3,0,0,4,4,0,3,0,0,0,0,0,15,1,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,18,0,6,1,4,1,0,6,2,0,0,0,30,84,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,168,0,0,0,0,0,0,0,0,174,2,0,1952,1,0,0,0,0,419,1,0,0,0,0,0,7,0,1025,0,0,0,1,0,0,0,161,0,1,0,0,0,16,0,0,1169,78,1,0,0,0,17,0,0,0,12,1,0,0,0,0,22,0,0,0,0,0,43,0,0,0,0,0,0,1,165,0,171,0,1668
1672,147260,0,0,0,4,15,0,0,27,0,76,0,0,2,0,117,0,1,14,21,0,0,3,0,4,0,0,0,0,0,1,6,0,2,0,0,0,0,30,3,0,0,8,13,0,2,4,0,1,73,0,1,0,41,0,0,145,0,0,3,0,139,4,1834,0,25,0,9,0,2,22,0,0,0,0,0,32,4,0,0,3093,0,0,0,3,1,0,1,4,3,21,0,0,0,0,1,8,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,0,16,0,0,3,0,6,8,0,0,0,28,63,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,132,0,0,0,0,0,0,4,0,92,0,0,1275,3,0,0,0,2,332,3,0,0,0,0,0,12,0,30,0,0,0,0,0,0,0,141,0,5,0,0,0,14,0,0,610,22,2,0,0,0,41,0,0,0,14,0,1,0,0,0,18,0,0,0,0,0,131,0,0,0,0,0,0,0,97,0,36,0,1672
