,words,absolutism,administrativ,akademi,allmoge,allmän,allmänna,alternativ,amerikanism,anakronism,anarkism,annan,annorlunda,antagonism,antisemitism,arkiv,artikel,assosiera,ateism,autonomi,avtal,barbarism,befattningshavare,begrepp,bilda,bonapartism,byråkratism,byta,central,cesarism,chauvinism,dagstidning,del,dela,delstat,delta,demokrati,demokratism,despotism,diskutera,dogmatism,dynastisk,ekonomi,ekonomisk,epok,era,europa,europeisk,fanatism,fatalism,federalism,fennicism,finans,finland,finlandism,finländare,finländsk,finne,finsk,finska,folk,folkrepresentation,form,formalism,fred,fråga,furstendöme,förbi,fördrag,förena,föreställning,författning,förhandla,förra,försvara,förvaltningssystem,förändring,gemensam,general,gensaga,geografisk,gestalt,grundlag,gräns,gränslandet,gränslinje,gudasaga,hertig,hertigdöme,hisoriograf,historia,historie-,historieskrivning,historiker,historisk,human,humanism,huvud,härskare,hävdateckning,idea,idealism,ifrågasatta,imperialism,imperium,indifferentism,individualism,inre,inrikes,integritet,intellectual,intern,intresse,invändning,invånare,jämförelse,jämlikhet,karelare,karelen,karelsk,karta,katolicism,kejsardöme,kejsare,kejserling,klerikalism,knutpatriotism,kombinera,kommunism,koncept,konservatism,konstitution,konstitutionalism,kontroversiell,kosmopolitism,krig,kultur,kung,kynne,lag,land,landområde,landtag,liberal,liberalism,lokal,lokalpatriotism,makt,marskalk,materialism,medborgare,medeltid,medlem,militarism,mobilisering,modern,monark,mynt,myt,napoleon,nation,naturalism,nature,nepotism,nihilism,nordiska,nutida,nyhetstidning,offentlig,officiell,olik,område,omtvistad,orts-,panslavism,paragraf,parlament,parlamentarianism,parlamentarisk_regering,partifanatism,partikularism,patriotism,pengar,penning,period,pest,pietism,polism,politik,positivism,princip,protektionism,protest,provins,publicera,radikalism,rationalism,realism,regel,regent,regering,regeringsform,region,representation,republikanism,res_publica,retorik,retorisk,rike,riksdag,risk,ryska,ryss,ryssland,rätt-,rättighet,samarbete,samband,samfund,samhällelig,samhället,samhällsform,sankt_petersburg,schism,sedel,sekel,sekterism,senat,separatismen,servilism,självstyrelse,skandinavien,skandinavism,skapa,skede,skepticism,skilja,slant,social,socialism,språk,språkdualism,språkfanatism,stat,statsform,statsorganism,statsskick,status,storfurstendöme,styre,styresman,ställning,stånd,stödja,stötta,suverän,suveränitet,svenska,sverige,swensk,system,talet,territorium,terrorism,tid,tidig,tidigare,tidstrogen,tjänsteman,trakt,tsar,tvistig,underståte,universitet,utforma,utilitarism,utvecklad,utverka,valuta,vandalism,vaxlä,vetenskap,välde,ämbetsman,århundrade,åsikt,överenskommelse,överlåta,year
1627-1632,152599,0,0,0,88,38,11,0,0,0,0,66,11,0,0,60,0,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0,1954,94,0,20,0,0,0,0,0,0,1,1,0,1286,1,1,0,0,0,0,0,62,0,0,0,121,7,4,118,0,29,0,209,54,2,74,9,4,2,0,11,25,23,0,12,11,17,0,0,0,0,4,0,0,0,23,3,0,11,3,0,0,2,0,0,95,0,0,724,0,0,0,0,0,0,14,0,0,0,46,2,2,0,0,0,0,7,0,0,0,0,35,0,0,0,0,0,6,0,0,0,0,0,333,0,3,0,446,1508,0,0,4,0,0,0,35,486,0,0,0,12,0,0,0,0,41,1,0,23,0,2,0,0,0,0,0,8,0,10,0,0,52,0,0,0,0,0,0,0,0,23,112,0,0,0,0,0,0,3,0,10,1,3,0,0,0,0,2,19,0,0,1,0,0,0,0,167,186,80,0,160,1,282,16,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,12,3,0,1,0,0,0,15,0,0,284,0,0,1,1,0,13,0,10,994,0,0,0,0,21,155,46,0,6,0,0,348,12,1,0,0,30,26,2,0,0,0,0,1,0,0,0,1,1,39,0,1,0,0,0,1627
1633-1638,203960,0,0,1,89,27,8,0,0,0,0,127,24,0,0,95,0,0,0,0,0,0,0,3,1,0,0,10,0,0,0,0,2515,105,0,14,0,0,0,0,0,0,0,0,0,2214,1,0,0,0,0,0,2,85,0,0,0,189,3,2,84,0,214,0,251,112,2,85,25,4,1,3,8,51,24,0,22,12,33,0,0,0,1,4,0,0,0,34,0,0,5,1,0,0,0,0,0,72,0,0,916,0,1,0,1,0,0,6,13,0,0,37,4,0,0,1,0,0,21,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,360,0,36,0,735,2251,0,0,2,0,0,0,44,599,0,0,0,16,0,0,0,0,57,0,0,56,0,0,0,0,0,0,0,4,1,17,0,0,87,0,2,0,0,0,0,0,0,10,83,1,5,0,0,0,0,1,0,24,11,15,0,0,0,5,10,663,54,0,0,0,0,0,0,202,145,80,8,200,24,608,19,0,0,0,0,0,0,0,0,37,0,0,6,0,0,0,0,0,39,13,0,1,0,0,0,21,0,0,442,0,0,0,6,0,50,1,15,1438,1,0,0,0,20,258,37,0,27,0,0,369,17,4,0,0,39,28,3,0,0,0,0,0,0,0,0,2,0,16,0,1,0,0,0,1633
1640-1644,110219,0,0,0,66,14,4,0,0,0,0,71,12,0,0,68,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1439,37,0,1,0,0,0,0,0,0,0,0,0,1453,2,0,0,0,0,0,0,18,0,0,0,118,0,0,63,0,51,0,94,17,1,56,3,0,0,0,0,34,14,0,4,0,21,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,59,0,0,490,0,0,0,0,0,0,8,3,0,0,2,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,205,0,11,0,475,1212,0,3,5,0,0,0,21,555,0,0,0,0,0,0,0,0,56,0,0,15,0,1,0,0,0,0,0,1,0,3,0,0,47,0,0,0,0,0,0,0,0,0,105,0,1,0,0,0,0,0,0,6,0,4,0,0,0,3,3,459,5,0,0,0,0,0,0,79,31,94,0,49,1,249,9,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,216,0,0,0,0,0,4,0,1,475,0,0,0,0,1,41,2,0,27,0,0,161,3,0,0,0,27,14,4,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1640
1645-1651,210607,0,0,0,107,25,0,0,0,0,0,186,9,0,0,0,5,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,2310,65,0,0,0,0,0,1,0,0,0,0,0,3221,2,0,0,0,0,0,0,24,0,0,1,173,3,0,75,0,59,0,304,102,5,105,11,1,0,2,8,70,20,0,20,0,64,0,0,0,0,3,0,0,0,81,2,0,1,1,0,0,0,5,0,41,0,0,777,0,0,0,0,0,0,28,1,0,0,35,1,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,363,0,8,1,969,2159,0,3,1,0,0,0,11,519,0,0,0,3,0,0,0,0,40,1,0,48,0,6,0,0,0,0,0,5,0,3,0,0,56,0,0,0,0,0,0,0,0,0,180,0,4,0,0,0,0,10,0,5,0,22,0,0,0,1,6,20,0,2,0,0,0,0,0,102,34,61,2,24,4,800,14,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,1,12,0,0,0,0,0,5,0,0,498,0,0,0,1,1,16,0,5,1099,0,0,0,0,6,112,35,0,63,0,0,400,11,0,0,0,47,11,2,0,0,0,0,0,0,0,0,4,0,27,0,0,0,0,0,1645
1652-1655,243374,0,0,0,40,25,0,0,0,0,0,291,10,0,0,0,7,1,0,0,0,0,0,11,0,0,0,8,0,0,0,0,1898,68,0,0,0,0,0,0,0,0,0,0,0,3501,4,0,0,0,0,0,0,41,0,0,0,149,10,0,8,0,51,0,117,229,1,90,8,2,0,15,2,31,30,0,35,0,58,0,0,0,0,14,0,0,0,13,0,0,0,2,0,0,0,2,0,62,0,0,876,0,0,0,0,0,0,15,1,0,0,7,4,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,168,0,18,0,1093,2216,0,1,1,0,0,0,7,950,0,0,0,0,0,0,0,0,19,0,0,96,0,7,0,0,0,0,0,1,0,0,0,0,53,0,0,0,0,0,0,0,0,0,253,0,5,0,0,1,0,12,0,23,0,8,0,0,0,2,10,63,1,0,0,0,0,0,0,59,15,70,0,39,12,955,10,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,6,0,0,0,4,0,0,487,0,0,0,5,1,31,0,5,950,2,0,0,0,1,112,7,0,22,0,0,332,5,0,0,0,40,11,5,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,1652
1656-1658,118934,0,0,0,64,13,0,1,0,0,0,118,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,866,35,0,0,0,0,0,0,0,0,0,0,0,2447,2,0,0,0,0,0,0,13,0,0,0,73,1,0,77,0,54,0,92,42,3,42,7,5,0,2,1,13,7,0,9,0,65,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,1,0,0,60,0,0,308,0,0,0,1,0,0,9,0,0,0,16,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,2,0,398,976,0,0,0,0,0,0,20,29,0,0,0,0,0,0,1,0,26,0,0,36,0,2,0,0,0,0,0,5,1,3,0,0,27,0,0,1,0,0,0,0,0,0,87,0,1,0,0,0,0,9,0,17,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,18,12,67,0,77,1,301,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,307,0,0,0,2,3,6,0,7,505,0,0,0,0,4,89,16,0,22,0,0,48,2,0,0,0,7,11,0,0,2,0,0,0,0,0,0,3,0,4,0,0,0,0,0,1656
1660,177132,0,0,0,19,24,0,0,0,0,0,130,7,0,0,0,2,1,0,0,0,0,0,4,1,0,0,9,0,0,0,0,1707,65,0,3,0,0,0,0,0,0,0,0,0,3774,8,0,0,0,0,0,0,34,0,0,0,133,4,3,19,0,209,0,373,35,0,56,18,1,0,6,3,13,10,0,38,0,94,0,0,0,0,1,0,0,0,38,0,0,0,1,0,0,0,1,0,25,0,0,656,0,0,0,1,0,0,14,1,0,0,95,0,1,2,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,8,0,768,1374,0,0,1,0,0,0,3,368,0,0,0,0,0,0,0,0,27,1,0,87,0,6,0,0,0,0,0,8,0,3,0,0,54,0,0,11,0,0,0,0,0,0,70,0,11,0,0,0,0,16,0,25,2,7,0,0,0,2,2,481,78,2,0,0,0,0,0,89,36,124,27,141,6,730,5,0,0,0,0,0,0,0,0,2,0,0,31,0,0,0,0,0,2,17,0,0,0,0,0,4,0,0,595,0,0,0,8,0,35,0,2,730,0,0,0,0,7,230,95,0,5,1,0,304,2,0,0,0,19,15,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,1660
1664,145985,0,0,0,30,15,1,1,0,0,0,109,9,0,0,29,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1664,46,0,5,0,0,0,0,0,0,2,0,0,3222,2,0,0,0,0,0,0,33,0,0,0,118,1,0,60,0,143,0,73,47,0,66,21,9,0,2,3,20,7,0,10,0,36,0,0,0,0,0,0,0,0,183,6,0,1,2,0,0,0,2,0,54,0,0,599,0,0,0,0,0,0,13,2,3,0,31,0,0,2,1,0,0,2,0,5,0,0,1,0,0,0,0,0,34,0,0,0,0,0,145,0,3,0,778,1072,0,0,4,0,0,0,3,454,0,0,0,0,0,0,0,0,80,0,0,39,0,2,0,0,0,0,0,9,0,6,0,0,49,0,0,0,0,0,0,0,0,0,102,0,4,0,0,0,0,5,0,16,1,25,0,0,0,0,2,433,23,0,1,0,0,0,0,71,30,147,0,73,4,576,2,0,0,0,0,0,0,0,0,5,0,0,32,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,333,0,0,0,3,0,16,0,1,556,0,0,0,0,7,128,31,0,7,0,0,296,15,0,0,0,73,13,1,0,0,0,0,0,0,0,0,3,2,12,0,0,0,0,0,1664
1668,190482,0,0,0,22,6,1,0,0,0,0,176,3,0,0,23,2,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,2516,24,0,0,0,0,0,0,0,0,3,0,0,5518,11,0,0,0,0,0,0,47,0,0,0,79,17,5,28,0,213,0,90,163,3,47,4,1,0,12,2,84,22,0,14,1,78,0,0,0,0,0,0,0,0,9,1,0,3,1,0,0,2,1,0,39,0,0,736,0,0,0,0,0,0,5,0,0,0,39,0,1,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,19,0,0,0,0,0,174,0,12,0,1192,1960,0,0,0,0,0,0,8,1025,0,0,0,0,0,0,0,0,165,1,0,37,0,3,0,0,0,0,0,2,1,0,0,0,47,0,0,0,0,0,0,0,0,0,173,1,8,0,0,0,0,6,0,15,0,18,0,0,0,4,0,161,7,0,0,0,0,0,0,11,16,121,0,10,4,884,2,0,0,0,1,0,0,0,0,3,0,0,43,0,0,0,0,0,3,21,0,0,0,0,0,1,0,0,422,0,0,0,5,1,9,0,3,628,0,0,0,0,10,90,39,0,11,3,0,188,0,0,0,0,131,34,3,0,0,0,0,0,0,0,0,5,4,22,0,0,0,0,0,1668
1672,147260,0,0,0,42,23,3,0,0,0,0,135,21,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1917,45,0,0,0,0,0,0,0,0,0,0,0,3119,13,0,0,0,0,0,0,15,0,0,0,117,2,1,21,0,145,0,42,75,0,53,3,5,0,5,2,63,19,0,12,3,22,0,0,0,1,4,0,0,0,9,4,0,0,5,0,0,0,0,0,17,0,0,453,0,0,0,3,0,0,17,8,1,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,92,0,14,0,615,1276,0,0,0,0,0,0,4,30,0,0,0,2,0,0,0,0,97,0,0,14,0,7,0,0,0,0,0,2,0,3,0,0,45,0,0,0,0,0,0,0,0,0,36,0,8,0,0,0,0,6,0,8,1,13,0,0,0,0,2,141,12,0,1,0,0,0,0,30,14,63,1,4,1,599,8,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,6,4,0,0,0,0,0,1,0,0,286,0,0,0,0,0,29,0,1,687,0,0,0,0,5,140,18,0,3,0,0,41,2,0,0,0,34,18,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,1672
