,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,legislative,0.683,functionaries,0.628,ministrative,0.663,nistrative,0.872,istrative,0.905,adminstrative,0.867,trative,0.792,ministrative,0.791,trative,0.849
1,administrations,0.658,municipal,0.616,executive,0.65,ministrative,0.828,nistrative,0.878,trative,0.852,istrative,0.785,istrative,0.771,ministrative,0.792
2,constituted,0.657,tribunals,0.614,judiciary,0.616,istrative,0.798,adminstrative,0.86,istrative,0.85,ministrative,0.759,trative,0.704,strative,0.789
3,municipal,0.643,departmental,0.606,attributions,0.614,governmental,0.775,ministrative,0.824,administrativo,0.839,adminis,0.605,administra,0.664,istrative,0.781
4,adminiftrative,0.637,commissaries,0.606,judicial,0.6,organization,0.759,adminiatrative,0.824,ministrative,0.823,strative,0.604,administration,0.639,administra,0.697
5,commissaries,0.622,cantonal,0.604,legislative,0.597,orgauisation,0.755,administrativo,0.819,adminiatrative,0.821,administrate,0.597,admin,0.625,admini,0.668
6,constituent,0.583,bunals,0.601,organization,0.594,organisation,0.754,trative,0.799,admninistrative,0.785,administra,0.592,strative,0.622,adminis,0.661
7,provisionary,0.58,prefects,0.592,organisation,0.563,centralising,0.753,admninistrative,0.794,nistrative,0.775,admini,0.588,adminis,0.617,admin,0.606
8,municipalities,0.569,convoking,0.573,functionaries,0.554,refoim,0.749,tactical,0.705,governmental,0.77,admin,0.58,administrate,0.607,administration,0.604
9,bunals,0.568,executive,0.571,governmental,0.553,reform,0.748,administra,0.701,electoral,0.73,county,0.569,supervisory,0.597,administrate,0.589
10,consulate,0.563,provisionally,0.57,communal,0.55,reforn,0.742,departmental,0.699,centralised,0.727,istration,0.55,admini,0.594,managerial,0.58
11,legiflative,0.561,prevotal,0.569,governing,0.541,retorm,0.74,organization,0.684,coordinating,0.726,councils,0.548,governmental,0.579,supervisory,0.569
12,direilory,0.555,legislative,0.567,personnel,0.532,legislative,0.738,localisation,0.679,subordinate,0.724,decentralisation,0.548,administratis,0.577,istration,0.541
