,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,genera,0.547,general,0.568,genera,0.475,centrical,0.532,centra,0.645,cential,0.704,ceutral,0.916,ceutral,0.937,cential,0.942,centra,0.777,centra,0.854,centra,0.79
1,general,0.523,ceneral,0.519,geneial,0.464,centra,0.49,centrical,0.584,centra,0.687,cential,0.906,cential,0.925,ceutral,0.933,oentral,0.77,oentral,0.827,tral,0.787
2,geneial,0.518,gcneral,0.514,gcneral,0.455,departmentof,0.466,centre,0.457,ceutral,0.684,ceatral,0.844,centril,0.908,centril,0.924,centrai,0.758,cential,0.81,entral,0.704
3,genetal,0.496,generat,0.51,genrral,0.45,thedepartment,0.454,center,0.453,entral,0.647,centrsl,0.843,ceatral,0.894,ceniral,0.909,tral,0.744,centrai,0.79,centrai,0.676
4,generil,0.481,eneral,0.506,genetal,0.445,depirtment,0.454,situation,0.438,tral,0.619,centril,0.838,cantral,0.893,centrai,0.908,centraj,0.74,ceutral,0.775,antral,0.673
5,gcneral,0.478,genetal,0.499,general,0.443,departmental,0.44,populous,0.43,cetitral,0.58,centra,0.837,centrai,0.892,csntral,0.905,entral,0.737,entral,0.773,ntral,0.666
6,gereral,0.475,gencral,0.497,ceneral,0.441,diftria,0.437,centri,0.427,cenitral,0.568,entral,0.836,csntral,0.884,centtal,0.903,ontral,0.706,antral,0.768,cential,0.658
7,gencral,0.471,generl,0.492,gentral,0.437,letourneur,0.436,junta,0.426,southern,0.519,ccntral,0.828,ceitral,0.882,cantral,0.901,cential,0.686,ontral,0.762,oentral,0.637
8,eneral,0.464,grneral,0.486,eneral,0.435,department,0.435,centrically,0.418,southwestern,0.503,oentral,0.824,centrnl,0.874,ventral,0.887,antral,0.684,ceniral,0.759,rentral,0.62
9,gentral,0.448,gtneral,0.479,gtneral,0.433,commune,0.429,ccntre,0.418,southeastern,0.49,ceitral,0.824,certral,0.872,ccntral,0.885,oentraj,0.68,tral,0.739,ontral,0.583
10,ceneral,0.447,generai,0.467,geral,0.432,centre,0.427,centrally,0.41,northern,0.477,contral,0.82,centrsl,0.868,ctntral,0.883,ceniral,0.68,centraj,0.737,cen,0.564
11,generai,0.445,geneal,0.463,generai,0.431,genezal,0.42,erection,0.407,eastern,0.464,cntral,0.816,contral,0.864,ceitral,0.883,centril,0.661,cntral,0.732,cenral,0.556
12,gener,0.435,genral,0.457,gencial,0.429,departmient,0.419,supreme,0.406,western,0.461,centrai,0.805,ctntral,0.859,uentral,0.883,centtal,0.653,ntral,0.721,ccntral,0.544
13,qeneral,0.432,gentral,0.456,centra,0.425,morbihan,0.417,thoroughfare,0.394,wvestern,0.457,ceotral,0.797,cntral,0.858,certral,0.881,ntral,0.645,tentral,0.7,jentral,0.513
14,geperal,0.432,gcncral,0.451,geaeral,0.417,interior,0.415,cantonal,0.394,ntral,0.454,cenltral,0.796,ccntral,0.857,cintral,0.88,contral,0.644,centtal,0.696,centr,0.503
15,neral,0.43,generil,0.447,generaf,0.416,geueral,0.41,eligible,0.392,nortliern,0.451,centtal,0.796,oentral,0.854,tentral,0.868,csntral,0.637,cenral,0.689,ntra,0.474
16,generl,0.422,gneral,0.441,jeneral,0.416,departmnent,0.41,centte,0.388,centri,0.45,tral,0.793,jentral,0.845,coutral,0.867,oentrai,0.631,cemtral,0.68,ventral,0.467
17,genral,0.422,neral,0.44,geneal,0.411,setion,0.409,stuation,0.387,centrical,0.447,cantral,0.786,centrd,0.845,centraj,0.866,tentral,0.625,contral,0.678,pentral,0.466
18,ncral,0.414,gereral,0.439,generat,0.411,syndic,0.409,salubrity,0.386,nothern,0.443,centrul,0.785,ceniral,0.833,ceatral,0.866,ceutral,0.623,centril,0.673,northern,0.462
19,gtneral,0.41,ageneral,0.439,gineral,0.41,partment,0.408,situa,0.385,populous,0.431,certral,0.78,centrl,0.828,contral,0.865,cemtral,0.622,ceatral,0.672,heating,0.435
20,generat,0.41,geneial,0.428,genual,0.409,municipalities,0.407,situatiou,0.381,northerin,0.429,cenitral,0.778,centrat,0.822,cntral,0.864,•central,0.616,centnl,0.668,—central,0.427
21,eclipses,0.409,genera,0.427,neial,0.407,seine,0.406,formin,0.38,centre,0.427,centrnl,0.777,tentral,0.822,ontral,0.862,lentral,0.612,centrsl,0.661,heatng,0.419
22,gneral,0.406,genieral,0.42,generil,0.404,municipality,0.406,centreof,0.379,contiguity,0.422,ceniral,0.775,entral,0.821,centrnl,0.861,ventral,0.61,oentrai,0.661,cental,0.408
23,genieral,0.404,geeral,0.415,ageneral,0.404,diftridt,0.405,centrc,0.377,noithern,0.42,centrat,0.762,centtal,0.821,centrtl,0.86,cntral,0.61,cantral,0.653,locality,0.401
24,ge,0.401,graphy,0.397,gereral,0.403,revolutionary,0.404,contiguity,0.377,southiern,0.42,centrl,0.754,cettral,0.818,cedtral,0.856,certral,0.603,lentral,0.645,cientral,0.397
25,geheral,0.401,gene,0.387,genral,0.401,administrations,0.402,vicinage,0.376,centrel,0.418,cesitral,0.751,ceotral,0.817,oentral,0.856,centml,0.602,certral,0.644,neating,0.394
