,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,eighth,0.452,galen,0.478,year,0.421,centuries,0.565,ccntury,0.76,centurv,0.747,centurv,0.787,centnry,0.928,centnry,0.939,centnry,0.943,oentury,0.853,tury,0.848,tury,0.804
1,centuries,0.441,year,0.416,centuries,0.401,tury,0.502,centurv,0.759,tury,0.61,ceutury,0.76,ceutury,0.927,ceutury,0.937,ceutury,0.932,centurv,0.839,centurv,0.811,centurv,0.783
2,dus,0.393,centuries,0.406,yeir,0.386,year,0.45,centur,0.652,centuries,0.609,centnry,0.758,centurv,0.924,oentury,0.92,centurv,0.924,centnry,0.819,oentury,0.801,centur,0.652
3,luther,0.388,lowcountries,0.403,tury,0.386,centu,0.429,centuries,0.626,turies,0.476,tury,0.743,eentury,0.883,centary,0.916,centary,0.915,oenturv,0.774,centuiy,0.766,centuries,0.631
4,wars,0.383,tury,0.402,ytar,0.374,empire,0.401,tury,0.556,centu,0.469,centuiy,0.737,oentury,0.874,centuiy,0.916,centuiy,0.912,ceutury,0.764,centurj,0.762,jgngall,0.561
5,declension,0.381,charlemagne,0.4,period,0.374,ycar,0.401,yeaf,0.429,flourished,0.419,cenitury,0.664,tury,0.872,contury,0.902,oentury,0.911,tury,0.741,ccntury,0.76,turies,0.551
6,hiffory,0.38,sixteenth,0.392,beginning,0.373,yeir,0.396,year,0.426,romans,0.413,centur,0.663,centary,0.862,centurv,0.888,entury,0.891,centuiy,0.737,centnry,0.75,xviiith,0.485
7,hiftory,0.379,volume,0.391,nation,0.372,pire,0.389,thereign,0.424,revolution,0.412,entury,0.644,entury,0.849,eentury,0.878,cntury,0.889,entury,0.728,ceutury,0.74,halfcentury,0.482
8,sixteenth,0.377,beginning,0.391,ycar,0.368,reign,0.388,centu,0.422,peridd,0.41,century—,0.628,contury,0.845,ceatury,0.871,eentury,0.885,contury,0.726,contury,0.723,xviith,0.479
9,year,0.373,æra,0.386,tranfadions,0.367,subverfion,0.386,divines,0.417,goths,0.403,centuries,0.62,centory,0.831,centuty,0.867,contury,0.884,ccntury,0.724,centuries,0.718,xvth,0.478
