,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,conspire,0.568,heavnly,0.509,confpire,0.629,unite,0.641,combining,0.619,combining,0.656,combiue,0.853,oombine,0.871,combiue,0.848,oombine,0.771,combining,0.582,harvesters,0.589
1,confpire,0.539,confpire,0.504,unite,0.592,harmonize,0.562,unite,0.609,combined,0.629,combino,0.756,combiue,0.841,oombine,0.838,combining,0.593,combino,0.565,combines,0.563
2,charms,0.537,powrs,0.496,combind,0.566,blend,0.54,combines,0.546,unite,0.601,combining,0.756,ombine,0.791,combino,0.802,combines,0.57,oombine,0.547,harvester,0.55
3,heavnly,0.518,afpiring,0.477,joind,0.554,impart,0.528,blend,0.538,bining,0.579,eombine,0.754,combino,0.784,eombine,0.758,amalgamate,0.551,combines,0.536,combining,0.532
4,shine,0.512,fmile,0.472,confpired,0.547,combind,0.526,bining,0.532,combin,0.56,oombine,0.744,eombine,0.775,comnbine,0.757,combino,0.526,amalgamate,0.523,16row,0.516
5,inspire,0.511,behold,0.469,wayward,0.522,uniting,0.525,uniting,0.484,uniting,0.545,combined,0.728,combining,0.758,conbine,0.718,oombining,0.515,cooperate,0.518,masseyharris,0.499
6,powr,0.508,fmiling,0.467,ftrive,0.522,confpire,0.524,confound,0.474,bined,0.545,combiued,0.717,comnbine,0.747,combining,0.713,unite,0.502,bining,0.496,selfbinders,0.489
7,genrous,0.504,adorns,0.463,itrive,0.515,infpire,0.508,improve,0.474,possess,0.541,ombine,0.717,conbine,0.728,cultivate,0.711,amalgamation,0.49,merger,0.491,baler,0.48
8,disclose,0.5,fway,0.455,infpire,0.511,confound,0.507,embrace,0.471,conspire,0.531,harmonise,0.688,comblne,0.726,possess,0.705,americanise,0.488,unite,0.488,15coulter,0.48
9,infpire,0.497,godlike,0.451,charms,0.511,joind,0.504,combined,0.47,blend,0.526,bining,0.679,combiniug,0.704,conibine,0.705,combin,0.479,evolve,0.482,13row,0.479
10,beauteous,0.494,glows,0.45,powr,0.506,infpirc,0.499,accomplifhment,0.465,combines,0.524,comnbine,0.676,conibine,0.7,unite,0.704,standardise,0.479,coordinate,0.481,massevharris,0.471
11,smile,0.491,throng,0.447,proudly,0.503,reanimate,0.498,unites,0.464,amalgamate,0.506,combin,0.675,combiuing,0.685,adaptability,0.703,promote,0.476,popularise,0.48,bined,0.464
12,tuneful,0.49,vernal,0.443,faftions,0.503,combining,0.491,connect,0.461,impart,0.502,ensure,0.664,comibine,0.672,harmonize,0.695,producers,0.475,merge,0.479,masseyharrls,0.463
13,favrite,0.49,fweets,0.443,ftrove,0.502,captivate,0.491,poftefs,0.458,blended,0.497,essentials,0.66,combinea,0.672,conmbine,0.694,develope,0.475,amalgamation,0.476,balers,0.462
14,mingle,0.487,flowrs,0.442,impart,0.497,unveil,0.486,cultivate,0.455,posess,0.488,adapt,0.66,combin,0.672,combiued,0.693,develop,0.474,cooperating,0.472,supplant,0.46
15,captivate,0.483,blefsd,0.438,crufh,0.495,unitc,0.485,conspire,0.454,possets,0.485,conibine,0.658,possess,0.672,strive,0.689,gamation,0.468,filmproducing,0.471,trussers,0.46
16,thy,0.481,powr,0.438,powrs,0.495,combin,0.482,promote,0.453,unites,0.48,harmonize,0.657,combiued,0.668,harmonise,0.686,stimulate,0.461,supplant,0.47,powerdrive,0.457
17,woe,0.479,flowr,0.436,paflions,0.494,uinite,0.48,embellish,0.452,nnite,0.475,oombined,0.656,comnbining,0.663,discriminate,0.679,bining,0.46,concerns,0.469,moline,0.454
18,unite,0.478,thine,0.434,invoke,0.494,conspire,0.48,embroil,0.451,harmonise,0.475,possess,0.651,oombining,0.662,comabine,0.675,create,0.454,00operate,0.465,hammermills,0.447
