,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,judges,0.391,law,0.524,humanity,0.395,mon,0.473,commnon,0.733,commnon,0.715,comnmon,0.805,comnmon,0.793,comnmon,0.763,commou,0.792,commou,0.931,commou,0.92,commou,0.913,oommon,0.836,oommon,0.799,ommon,0.532
1,civill,0.383,ancient,0.491,mon,0.386,infusion,0.367,conimon,0.722,comnmon,0.711,commnon,0.787,comnon,0.785,commnon,0.758,comnmon,0.764,conmon,0.809,conmon,0.849,cemmon,0.883,commou,0.79,ommon,0.715,wealths,0.485
2,divine,0.345,laws,0.477,publique,0.363,inseparable,0.364,comnmon,0.711,comrnon,0.681,comnon,0.771,conimon,0.783,comnion,0.749,commnon,0.756,commoi,0.808,oommon,0.842,conmon,0.873,ommon,0.785,commou,0.663,cops,0.462
3,yea,0.344,act,0.466,cheat,0.351,prayer,0.363,comnion,0.7,cornmon,0.676,conmon,0.727,conmmon,0.779,commou,0.745,ommon,0.754,cemmon,0.808,comnon,0.84,commoa,0.867,commoa,0.732,ccmmon,0.653,wealth,0.442
4,tle,0.339,judge,0.464,profess,0.348,phrase,0.348,cornmon,0.695,conmmon,0.654,cornmon,0.725,commnon,0.775,conmmon,0.724,comnon,0.749,oommon,0.8,cemmon,0.839,comnon,0.866,commoi,0.687,commoi,0.569,8lb,0.408
5,liberty,0.339,kingdom,0.457,popular,0.332,unruled,0.335,conmmon,0.691,ommon,0.575,comrnon,0.714,comnion,0.774,comnon,0.702,conimon,0.746,cummon,0.798,comnmon,0.838,conunon,0.865,comnion,0.684,eommon,0.539,sjd,0.392
6,cure,0.338,although,0.443,setup,0.305,law,0.332,comnon,0.686,mmon,0.487,conmmon,0.71,conmon,0.764,ommon,0.699,conmmon,0.726,comnon,0.797,commoa,0.827,comnion,0.85,cemmon,0.681,denominator,0.533,32309,0.383
7,ordinary,0.334,treason,0.441,fattion,0.305,libertys,0.328,ommon,0.668,mon,0.455,ccmmon,0.707,cornmon,0.732,conimon,0.693,commoa,0.72,commoa,0.781,conmmon,0.815,commoi,0.844,commcn,0.676,mmon,0.511,commonsense,0.381
8,corn,0.323,all,0.437,equity,0.3,tate,0.32,conmon,0.665,commn,0.406,cemmon,0.689,ommon,0.73,conmon,0.683,comnion,0.714,coinmou,0.778,conimon,0.814,commcn,0.843,ccmmon,0.672,commor,0.494,springgardens,0.372
9,commonwealth,0.319,enemy,0.431,contradiction,0.295,hangman,0.319,comrnon,0.661,hangman,0.383,commcn,0.684,comrnon,0.727,cornmon,0.677,commion,0.706,comnion,0.772,comnion,0.805,oommon,0.843,commor,0.667,—common,0.465,ropeedged,0.372
10,courts,0.317,such,0.429,honesty,0.295,wishes,0.319,commoa,0.619,sense,0.371,commnn,0.681,cominon,0.711,comrmon,0.665,conmon,0.692,ommon,0.761,cominon,0.804,cummon,0.842,conunon,0.66,common—,0.462,commonest,0.367
11,state,0.316,realm,0.428,asserted,0.294,tute,0.317,cmmon,0.613,stint,0.368,eommon,0.675,comimon,0.708,comtnon,0.65,comimon,0.688,comnmon,0.761,commnon,0.804,commnon,0.838,jommon,0.652,comon,0.452,bernadetteave,0.363
12,kings,0.314,justice,0.426,forms,0.294,christendom,0.317,thecommon,0.613,commoncouncil,0.367,commron,0.675,commori,0.703,commron,0.649,cornmon,0.68,eommon,0.749,ccmmon,0.802,eommon,0.837,conimon,0.649,edibe,0.43,humanity,0.362
13,laws,0.312,judges,0.425,useful,0.293,ruled,0.315,comon,0.605,pleas,0.352,cominon,0.668,cbmmon,0.702,thecommon,0.648,cemmon,0.677,conimon,0.744,comumon,0.802,comnnon,0.836,cominon,0.637,decency,0.425,fundamental,0.36
14,or,0.31,the,0.425,commonhall,0.289,cms,0.313,commnn,0.593,prudence,0.352,comnion,0.663,commou,0.699,commoa,0.647,coinmon,0.671,conmmon,0.744,ommon,0.798,conmmon,0.836,oommou,0.634,edble,0.423,s£d,0.359
15,tlhe,0.309,ought,0.423,ligion,0.285,stirring,0.312,commoni,0.591,fenfe,0.338,ommon,0.66,commoa,0.696,coimmon,0.644,cominon,0.667,commnon,0.738,eommon,0.796,comnmon,0.831,eommon,0.63,wealths,0.421,b§d,0.357
16,than,0.309,authority,0.421,ples,0.28,fusion,0.312,mmon,0.573,almanacks,0.331,commion,0.656,commion,0.694,ofcommon,0.644,conunon,0.662,commoo,0.738,icommon,0.787,conimon,0.831,rommon,0.629,abash,0.417,decency,0.354
17,bifhops,0.308,be,0.418,sense,0.279,civil,0.311,commion,0.571,deeping,0.328,cmmon,0.654,comrmon,0.694,cominon,0.642,cotnmon,0.655,commoii,0.738,conunon,0.786,icommon,0.827,comnon,0.627,sense,0.408,gaunts,0.353
18,thofc,0.306,condemned,0.416,reasoning,0.278,hooks,0.31,commn,0.539,senfc,0.327,comrmon,0.653,commoh,0.689,conamon,0.632,commton,0.644,comumon,0.737,commion,0.785,cornmon,0.825,tommon,0.624,ediblo,0.404,anothers,0.35
19,for,0.3,execution,0.413,multitude,0.276,statute,0.309,mon,0.512,aldermen,0.327,coinmon,0.652,cemmon,0.688,eommon,0.628,commor,0.642,tommon,0.736,sommon,0.783,cominon,0.818,oommoa,0.611,commonsense,0.402,gutch,0.349
20,ofthc,0.3,allowed,0.411,law,0.276,idleness,0.309,commun,0.442,difcernment,0.326,conimon,0.651,commcn,0.687,cormmon,0.625,commuon,0.64,comamon,0.726,cornmon,0.782,onmmon,0.813,conmon,0.608,commonable,0.401,tolerance,0.348
21,lawes,0.294,houses,0.409,wealth,0.275,lawbooks,0.308,councilman,0.428,equity,0.323,comnnon,0.637,coinmon,0.68,comnnon,0.621,tommon,0.638,comimon,0.726,conmnon,0.779,comrnon,0.813,gomroon,0.593,monsense,0.398,sense,0.346
22,writ,0.293,of,0.408,capital,0.275,bibles,0.305,statutelaw,0.423,senfe,0.322,comimon,0.63,conunon,0.676,comrnon,0.62,comumon,0.638,cormmon,0.725,commuon,0.778,comumon,0.812,caramon,0.588,declines—atchison,0.392,deepseated,0.342
23,priviledges,0.293,contrary,0.407,republican,0.274,dermen,0.305,picas,0.42,commen,0.32,commoa,0.63,comnnon,0.675,commor,0.618,ofcommon,0.637,conmnon,0.721,commoi,0.774,ccmmon,0.81,mmon,0.583,sanctified,0.392,colvilleave,0.341
