,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,musick,0.602,concert,0.529,concertt,0.776,concfrt,0.879,goncert,0.812,concert,0.692,concepts,0.606,conception,0.653
1,concert,0.574,oncert,0.496,coxcert,0.764,oncert,0.876,concfrt,0.808,ooncert,0.659,conception,0.592,doctrine,0.604
2,concrt,0.56,catalanis,0.464,concert,0.751,concert,0.851,oncert,0.808,conoert,0.635,conceit,0.575,humanism,0.595
3,concer,0.552,ncert,0.453,conceirt,0.74,concertt,0.84,concepts,0.805,conceit,0.631,concep,0.544,concepts,0.591
4,vocal,0.551,concep,0.448,conceri,0.726,concepts,0.839,concert,0.799,conccrt,0.63,funda,0.543,democracy,0.583
5,vocai,0.544,concer,0.446,concelt,0.722,concrrt,0.833,concertt,0.796,coneert,0.624,conceptions,0.533,beliefs,0.582
6,concerts,0.533,concertroom,0.445,conoerts,0.717,concertb,0.832,concet,0.793,oonoert,0.622,teachings,0.515,religion,0.578
7,oncert,0.527,festival,0.444,ooncert,0.713,iconcert,0.829,concekt,0.791,conceri,0.614,ooncert,0.511,concep,0.57
8,rauzzini,0.507,concerts,0.444,conoert,0.712,concrt,0.827,recital,0.785,recital,0.599,religion,0.509,materialist,0.567
9,ncert,0.494,grisis,0.443,oncert,0.709,coucert,0.827,recitai,0.783,concert—,0.589,reincarnation,0.501,conceptions,0.564
10,oratorio,0.49,concert—,0.442,concrt,0.708,conctrt,0.826,concirt,0.778,coxcert,0.58,conccrt,0.499,reality,0.557
11,harmonic,0.488,rubinis,0.44,concerit,0.708,conoert,0.826,conceri,0.775,concort,0.577,psychology,0.498,principles,0.554
12,concep,0.487,attrac,0.436,oncerts,0.708,concerit,0.826,conckrt,0.774,eoncert,0.574,reality,0.497,civilisation,0.552
13,conceit,0.487,conceit,0.436,cncert,0.706,conceri,0.825,concelt,0.773,oncert,0.572,spiritual,0.496,judaism,0.55
14,yaniewicz,0.485,rehearsal,0.436,conert,0.704,ooncert,0.822,concrt,0.772,ooneert,0.569,evolution,0.496,christianity,0.548
15,mozarts,0.483,mewhat,0.434,ncert,0.702,conceirt,0.819,concart,0.772,concekt,0.569,mechanistic,0.495,universe,0.545
16,fantasia,0.475,lablaches,0.431,vocai,0.7,conocrt,0.817,coincert,0.769,concepts,0.567,inusio,0.493,ideals,0.541
17,sinfonia,0.473,oratorio,0.425,conerts,0.7,concerlt,0.816,cncert,0.767,concerts,0.563,evolutionary,0.492,ethics,0.54
18,pucitta,0.471,sapios,0.425,concerts,0.697,matinee,0.81,conceut,0.766,corcert,0.563,coneert,0.492,sense,0.533
19,beperformed,0.469,societa,0.422,coscert,0.694,conceitt,0.81,joncert,0.766,coucert,0.556,concrt,0.492,capitalism,0.533
20,concet,0.467,conceri,0.421,philharmonic,0.692,coxcert,0.808,conceet,0.765,conceits,0.555,tianity,0.492,cracy,0.533
21,apollonicon,0.467,puzzis,0.421,conccrt,0.689,coscert,0.806,ncert,0.764,cencert,0.552,relativity,0.489,internationalism,0.532
22,onera,0.464,thalbergs,0.42,concertsthe,0.687,cncert,0.806,concrrt,0.764,conversazione,0.551,universe,0.488,idealism,0.532
23,conceri,0.459,caradoris,0.419,usic,0.687,concet,0.804,coscert,0.762,conceet,0.549,mystics,0.486,rebirth,0.529
24,brahams,0.457,kooms,0.418,perforimance,0.686,ncert,0.803,coacert,0.761,eoneert,0.549,sacred,0.486,restatement,0.525
25,oera,0.455,concerts—,0.413,m1usic,0.686,concest,0.802,coxcert,0.759,entertainment,0.548,pm—music,0.486,mentals,0.524
26,iusic,0.455,concet,0.412,anoversquare,0.685,conceiit,0.802,cuncert,0.758,eonoert,0.548,subjective,0.485,industrialism,0.521
27,instrumental,0.454,conception,0.412,misical,0.684,concirt,0.802,conicert,0.758,tainment,0.545,christianity,0.485,fundamental,0.52
28,weichsell,0.454,performances,0.41,ooncerts,0.682,concelt,0.801,corcert,0.756,concert—the,0.543,doctrine,0.485,funda,0.52
29,conceits,0.454,performance—,0.409,performanc,0.681,concekt,0.801,coincerts,0.756,concrt,0.54,mentals,0.482,democratic,0.52
30,proserpina,0.453,moscheles,0.409,coneert,0.68,cuncert,0.801,conoert,0.753,dansante,0.54,humanism,0.481,genius,0.519
31,siguor,0.453,furore,0.408,conicert,0.679,conccrt,0.8,concer1t,0.753,eutertainment,0.536,teligion,0.481,atheism,0.517
32,diplay,0.452,camidges,0.406,eoncert,0.679,toncert,0.798,coucert,0.752,entertainmeut,0.535,profounder,0.481,creation,0.516
33,scena,0.451,exhibitio,0.405,concerlt,0.679,rmonic,0.794,conlcert,0.75,conckrt,0.533,dogma,0.481,negation,0.515
34,operai,0.45,sicnor,0.403,miusic,0.678,coneert,0.792,concertr,0.75,concet,0.531,metaphysical,0.479,inviolable,0.512
35,clemenza,0.448,conceptions,0.402,concebt,0.677,conicert,0.792,conccrt,0.749,reoital,0.53,nonreligious,0.478,interpretation,0.507
36,theopera,0.447,spohrs,0.402,conceet,0.677,conckrt,0.792,concerit,0.748,enteitainment,0.527,folkmusic,0.478,glorification,0.507
37,usic,0.447,coucert,0.402,coneerts,0.675,conceut,0.791,conceirt,0.748,coacert,0.526,ideology,0.478,tianity,0.507
38,zaira,0.447,mendelssohns,0.401,concerta,0.675,ooncerts,0.789,coicert,0.747,chantant,0.523,subconscious,0.478,kultur,0.507
39,woelfl,0.447,malibrans,0.401,mdsic,0.674,coincert,0.789,concerlt,0.746,musicale,0.523,ianity,0.476,paganism,0.506
40,begrez,0.446,exhibi,0.399,rehearsal,0.674,concerts—,0.787,ooncert,0.746,dansant,0.522,concert,0.476,morality,0.505
41,performers—,0.446,benefii,0.399,concerits,0.674,cotcert,0.784,concerb,0.746,recitals,0.522,damnation,0.475,orthodoxy,0.505
42,opeia,0.446,estival,0.398,concet,0.674,oncerts,0.784,pestival,0.746,orchestral,0.522,ethical,0.475,presupposes,0.504
43,mozart,0.445,signoi,0.398,antlent,0.673,concertl,0.784,ioncert,0.746,entertaiument,0.519,beliefs,0.475,fundamentals,0.503
44,maccabeus,0.445,messiah,0.397,concerr,0.673,concertr,0.784,concert1,0.745,ncert,0.516,philosophy,0.473,civilisa,0.503
