,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,constitutions,0.533,consti,0.709,consti,0.781,germanic,0.562,conftitution,0.818,consti,0.783,consti,0.797,coustitution,0.768,constitntion,0.907,constitntion,0.924,oonstitution,0.926,constitntion,0.683,constitu,0.691,stitution,0.604
1,fundamental,0.5,tution,0.703,conftitution,0.745,conftitution,0.543,conflitution,0.777,constitu,0.773,constitu,0.766,constitution—,0.762,coustitution,0.893,coustitution,0.911,constitutiou,0.925,oonstitution,0.665,stitution,0.588,constitu,0.575
2,monarchy,0.472,constitu,0.693,constitu,0.736,conititution,0.504,conititution,0.768,constitutioni,0.77,stitution,0.693,constitntion,0.753,constitutiou,0.882,constitutiou,0.908,constitntion,0.922,onstitution,0.636,consti,0.587,convention,0.455
3,dottrine,0.472,stitution,0.638,stitution,0.716,conflitution,0.496,conltitution,0.749,conistitution,0.768,consitution,0.692,constitutiou,0.74,constitation,0.874,oonstitution,0.885,constitation,0.922,stitution,0.601,selfgovernment,0.474,doctrine,0.445
4,subversion,0.472,conflitution,0.619,conflitution,0.704,ftate,0.492,conllitution,0.748,stitution,0.757,conftitution,0.692,constitation,0.737,onstitution,0.866,coastitution,0.872,coustitution,0.919,constitu,0.595,reconstitution,0.464,reform,0.441
5,laws,0.458,conftitution,0.585,tution,0.698,incroachment,0.489,conilitution,0.736,conititution,0.756,constitutioni,0.688,onstitution,0.736,eonstitution,0.847,constitation,0.872,constitutioa,0.89,stitntion,0.506,reform,0.46,incorporation,0.436
6,government,0.456,unigenitus,0.565,conititution,0.695,conltitution,0.489,conifitution,0.728,theconstitution,0.748,tution,0.67,consti,0.733,constitutioa,0.846,conatitution,0.867,conatitution,0.887,consti,0.488,autonomy,0.459,polepark,0.435
7,establishment,0.448,palate,0.475,confitution,0.672,confti,0.482,contlitution,0.688,constitutionl,0.743,constitntion,0.669,constitutioni,0.727,contitution,0.837,contitution,0.859,contitution,0.884,etitution,0.466,constitutions,0.452,rule,0.427
8,foundations,0.447,weakest,0.464,confliturion,0.653,conffitution,0.481,conrtitution,0.676,conftitution,0.725,conflitution,0.659,contitution,0.724,consitution,0.835,constitutien,0.855,onstitution,0.872,leform,0.462,independence,0.45,63o—miss,0.426
9,dissolution,0.446,gallican,0.456,conltitution,0.65,confitution,0.478,conffitution,0.676,conltitution,0.715,constitution—,0.657,conistitution,0.703,consiitution,0.828,constituion,0.848,constitition,0.865,constitn,0.46,southampton—canute,0.448,posals,0.422
10,esta,0.446,subvert,0.446,conifitution,0.649,conftitu,0.473,contitution,0.675,tution,0.694,contitution,0.653,constitulion,0.702,constitutio,0.823,constituton,0.844,coastitution,0.847,refoim,0.455,legislature,0.445,selfgovern,0.418
