,en_1720,en_1720_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,tyranny,0.553,monarchy,0.611,cracy,0.711,republicanism,0.643,democratic,0.804,mocracy,0.873,republicanism,0.923,radicalism,0.891,militarism,0.768,socialism,0.775,cracy,0.782
1,anarchy,0.54,monarchical,0.596,democratic,0.706,despotism,0.617,republicanism,0.729,absolutism,0.872,licanism,0.903,constitutionalism,0.884,democracies,0.766,mocracy,0.773,democratic,0.78
2,monarchy,0.53,defpotifm,0.577,monarchy,0.695,aristocracy,0.612,cracy,0.728,republicanism,0.866,imperialism,0.881,demoeracy,0.874,autocracy,0.76,fascism,0.763,socialism,0.755
3,dependency,0.529,defpotifin,0.569,anarchy,0.651,oligarchy,0.603,cratic,0.727,constitutionalism,0.849,constitutionalism,0.879,democraoy,0.873,imperialism,0.749,democ,0.762,demo,0.741
4,commonwealth,0.524,defpotic,0.566,monarchical,0.646,monarchical,0.598,democratical,0.71,despotism,0.823,mocracy,0.876,toryism,0.864,cracy,0.742,imperialism,0.752,civilisation,0.739
5,pendency,0.521,delpotic,0.546,democratical,0.626,revolutionary,0.59,despotism,0.705,conservatism,0.82,radicalism,0.859,demooracy,0.854,socialism,0.736,capitalism,0.751,communism,0.731
6,whigs,0.513,fubverfion,0.546,ariftocracy,0.624,aristocratical,0.575,mocracy,0.7,liberalism,0.812,liberalism,0.853,democracv,0.854,mocracy,0.735,democratic,0.747,democ,0.716
7,independency,0.498,tyranny,0.542,defpotifm,0.609,monarchy,0.571,radicalism,0.679,demoeracy,0.805,clericalism,0.851,republicanism,0.852,democratic,0.733,communism,0.733,totalitarianism,0.715
8,constitutional,0.498,tyrannical,0.542,demagogues,0.602,lutionary,0.567,monarchy,0.672,demnocracy,0.804,communism,0.851,demnocracy,0.852,bolshevism,0.729,dictatorships,0.733,christianity,0.709
9,arbitrary,0.494,defpo,0.54,tyranny,0.6,anarchy,0.562,monarchical,0.671,communism,0.802,federalism,0.846,nationalism,0.85,civilisation,0.718,cracy,0.729,mocracy,0.709
10,abject,0.491,legillation,0.535,aristocracy,0.599,corruption,0.561,oligarchy,0.659,demo,0.801,socialism,0.845,liberalism,0.847,nationalism,0.714,dictatorship,0.726,ideals,0.704
11,whiggs,0.48,ufurpation,0.535,ariflocracy,0.597,jacobinical,0.561,jacobinism,0.659,imperialism,0.8,nationalism,0.842,democraey,0.844,proletariat,0.711,christianity,0.722,cracies,0.701
12,commonwealths,0.479,narchy,0.535,cratic,0.594,popery,0.557,toryism,0.657,licanism,0.796,democracy—,0.841,cracy,0.832,capitalism,0.708,liberalism,0.72,totalitarian,0.698
13,degenerate,0.474,flavifh,0.532,ariltocracy,0.591,democratical,0.555,liberalism,0.65,ultramontanism,0.796,ultramontanism,0.84,conservatism,0.829,despotism,0.701,internationalism,0.719,dictatorship,0.697
14,slavish,0.474,coniftitution,0.531,faftion,0.585,factious,0.55,demo,0.644,democratical,0.795,toryism,0.84,jingoism,0.828,internationalism,0.695,civilisation,0.719,tyranny,0.691
15,libeller,0.471,republican,0.53,anarchical,0.585,innovation,0.549,mocratic,0.64,toryism,0.79,absolutism,0.84,separatism,0.828,absolutism,0.694,bolshevism,0.709,liberalism,0.691
16,avowd,0.47,controul,0.527,narchy,0.584,hatred,0.549,licanism,0.639,papacy,0.79,canism,0.837,democracies,0.827,constitutionalism,0.685,nationalism,0.708,religion,0.688
17,degenerated,0.463,arbitrary,0.525,republicanifm,0.584,cracy,0.548,aristocratical,0.639,democracies,0.79,caesarism,0.837,socialism,0.826,nation,0.684,hitlerism,0.704,fascism,0.688
18,republican,0.462,component,0.525,innovation,0.581,tyrants,0.546,aristocracy,0.637,oligarchy,0.789,revolutionism,0.828,clericalism,0.826,demo,0.682,demo,0.704,capitalism,0.679
19,phrenzy,0.462,fyfiem,0.525,despotism,0.574,turbulence,0.545,revolutionary,0.633,radicalism,0.788,protectionism,0.823,militarism,0.823,prussianism,0.682,protestantism,0.691,cratic,0.677
20,defpotick,0.46,legiflature,0.525,ariftocratical,0.574,aristocratic,0.541,cratical,0.63,priestism,0.787,bonapartism,0.822,lberalism,0.822,materialism,0.679,militarism,0.688,nazism,0.677
21,monarchical,0.459,legiflation,0.524,jacobins,0.571,bigoted,0.541,chical,0.628,monarchy,0.786,ascendency,0.821,communism,0.821,radicalism,0.678,unionism,0.683,doctrine,0.673
22,uncorrupt,0.459,legifiature,0.522,jacobinifm,0.571,intolerance,0.541,popery,0.627,demagogy,0.786,democracies,0.819,plutocracy,0.819,socialistic,0.676,statesmanship,0.681,autocracy,0.671
23,factious,0.457,fyltem,0.521,republicanism,0.571,usurpation,0.539,democrats,0.622,democratic,0.785,democraoy,0.818,mobocracy,0.817,kaiserism,0.676,pacifism,0.681,nationalism,0.667
24,meanness,0.457,fyitem,0.518,defpotifin,0.569,domination,0.538,oligar,0.62,whiggery,0.783,demooracy,0.816,proletariat,0.812,militarist,0.675,nation,0.678,idealism,0.666
25,affume,0.457,civilization,0.516,aristo,0.568,confederacies,0.537,protestantism,0.619,chartism,0.78,whiggery,0.814,jingoes,0.81,democratisation,0.674,proletariat,0.676,imperialism,0.664
26,unlimited,0.455,abrogate,0.516,narchical,0.567,intolerant,0.536,absolutism,0.611,ascendancy,0.777,despotism,0.814,mocracy,0.809,toryism,0.673,materialism,0.676,internationalism,0.663
27,defines,0.454,uncontroulable,0.516,equality,0.561,despotic,0.533,oligarchical,0.61,propagandism,0.777,napoleonism,0.812,romanism,0.808,domination,0.672,humanity,0.675,ideology,0.662
28,tyrannical,0.453,controuling,0.514,oligarchy,0.56,bigotry,0.531,aristo,0.61,whiggism,0.775,montanism,0.811,democratic,0.807,liberalism,0.67,toryism,0.671,democracies,0.662
29,fubverted,0.452,exilting,0.51,revolution,0.557,jacobins,0.529,anarchy,0.609,cracy,0.775,legitimism,0.811,gladstonism,0.805,protestantism,0.669,tyranny,0.669,mankind,0.656
30,kingly,0.448,fenate,0.509,faaion,0.557,hierarchy,0.529,republican,0.609,monarchic,0.775,jacobinism,0.807,protectionism,0.801,unionism,0.669,anarchy,0.668,principles,0.652
31,licentioufnefs,0.448,discontent,0.508,faction,0.556,despo,0.527,aristocratic,0.606,individualism,0.772,cracy,0.807,licanism,0.801,junkerdom,0.668,patriotism,0.668,judaism,0.647
32,patriots,0.446,anarchy,0.507,demo,0.555,boroughmongers,0.527,depotism,0.605,monarchical,0.772,protestantism,0.805,vatism,0.801,mankind,0.665,conservatism,0.666,atheism,0.647
33,licentiousness,0.445,government,0.505,intolerance,0.553,factions,0.526,democra,0.604,depotism,0.771,ascendancy,0.805,liberalismn,0.8,solidarity,0.665,democracies,0.665,antichrist,0.646
34,narchy,0.445,barbarifm,0.504,tyrannical,0.553,monarchies,0.526,lutionary,0.598,potism,0.769,conservatism,0.8,badicalism,0.8,humanity,0.665,religion,0.664,bolshevism,0.645
35,modelled,0.445,mpire,0.504,usurpation,0.552,predominance,0.525,whiggism,0.597,oligarchical,0.767,catholicism,0.8,whiggery,0.799,statesmanship,0.665,politically,0.662,propertyowning,0.645
36,principle,0.444,irreconcileable,0.504,intolerant,0.552,democratic,0.525,anarchical,0.597,monarchial,0.767,monarchism,0.797,ascendency,0.799,cracies,0.663,solidarity,0.659,selfinterest,0.643
37,maxim,0.444,emnpire,0.504,tyrannies,0.552,fanaticism,0.524,jacobin,0.593,cratic,0.767,proletariat,0.797,protestantism,0.797,christianity,0.663,idealism,0.659,civilisa,0.643
38,existed,0.443,governing,0.503,ariftocratic,0.549,dogmas,0.522,whiggery,0.593,catholicism,0.766,abolitionism,0.797,sacerdotalism,0.797,republicanism,0.662,dictators,0.653,naziism,0.642
