,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,develope,0.601,disclosed,0.62,veloped,0.616,devoloped,0.782,devoloped,0.803,devoloped,0.884,veloped,0.764,veloped,0.77,veloped,0.783
1,difclofed,0.597,developing,0.62,develop,0.612,elaborated,0.77,doveloped,0.791,develoned,0.822,developing,0.622,develoned,0.597,deve,0.622
2,unveiled,0.57,developes,0.615,develope,0.601,exemplified,0.751,developod,0.747,doveloped,0.814,expanded,0.6,stimulated,0.591,develop,0.62
3,unfolded,0.542,develope,0.594,unfolded,0.598,deve,0.75,develoed,0.715,deveoped,0.813,develops,0.596,oped,0.581,developing,0.586
4,detailed,0.533,develop,0.592,developes,0.566,veloped,0.731,expanded,0.709,developod,0.789,develop,0.577,deve,0.58,veloping,0.557
5,deeplaid,0.519,unfolded,0.555,develops,0.553,develope,0.704,deveoped,0.706,veloped,0.785,veloping,0.563,develops,0.571,evolved,0.537
6,invelligated,0.518,veloped,0.534,demonstrated,0.551,expanded,0.7,eveloped,0.703,leveloped,0.771,deve,0.563,developing,0.556,loped,0.534
7,traced,0.515,explained,0.526,deve,0.55,develop,0.696,dereloped,0.702,dereloped,0.769,velop,0.541,develop,0.535,progressed,0.521
8,developing,0.513,developement,0.517,developing,0.548,portrayed,0.69,imparted,0.701,developad,0.768,stimulated,0.536,supervened,0.535,stimulated,0.521
9,unravel,0.496,difclofed,0.514,pourtrayed,0.537,developed—,0.689,developedl,0.695,deeloped,0.766,broadened,0.534,evolved,0.528,oped,0.521
10,developement,0.495,discloses,0.511,development,0.535,developing,0.687,veloped,0.686,develooed,0.764,progressed,0.533,broadened,0.515,devel,0.518
11,disclosed,0.491,detailed,0.508,exemplified,0.525,pourtrayed,0.682,permeated,0.685,develeped,0.763,accentuated,0.526,degenerated,0.512,characterised,0.511
12,unveil,0.49,matured,0.494,developement,0.521,demonstrated,0.677,nurtured,0.679,evolved,0.744,development,0.524,develope,0.509,intensified,0.506
13,evinced,0.488,pourtrayed,0.491,lopment,0.521,loped,0.668,developing,0.677,developel,0.733,develope,0.522,fostered,0.509,broadened,0.505
14,invefligated,0.487,falsified,0.488,matured,0.518,devel,0.667,diffused,0.675,stimulated,0.728,evolved,0.521,velop,0.508,begun,0.505
15,counteracted,0.487,derailed,0.486,elucidated,0.502,unfolded,0.666,absorbed,0.668,daveloped,0.728,fostered,0.519,manifested,0.502,development,0.502
16,explained,0.486,discussed,0.484,loped,0.498,manipulated,0.666,dwarfed,0.658,deveioped,0.725,strengthened,0.512,intensified,0.501,petered,0.502
17,frufirated,0.485,involved,0.48,portrayed,0.496,developement,0.666,developmont,0.657,developd,0.725,materialised,0.509,predisposed,0.5,fostered,0.5
18,difcufled,0.484,evinced,0.473,explained,0.494,predicated,0.664,differentiated,0.655,developedi,0.722,degenerated,0.508,veloping,0.493,subjected,0.5
19,unravelled,0.482,diabolical,0.473,lopement,0.494,lopement,0.664,developea,0.654,develoed,0.72,maintained,0.493,panded,0.49,terised,0.496
20,veloped,0.478,investigated,0.472,disclosed,0.493,matured,0.663,receptive,0.654,developedl,0.718,supervened,0.49,progressed,0.488,markedly,0.495
21,implicated,0.477,prominent,0.471,velopement,0.491,development,0.662,fostered,0.654,demonstrated,0.711,velopment,0.49,engendered,0.486,maintained,0.49
