,en_1620,en_1620_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,princes,0.576,countries,0.65,pire,0.609,pire,0.642,theempire,0.694,emnpire,0.712,emnpire,0.708,empirc,0.804,emnpire,0.748,empiie,0.731,empiro,0.875,empiro,0.899,emoire,0.91,empiro,0.816,emnire,0.818,emoire,0.714
1,emperor,0.562,emperor,0.647,emperor,0.562,cmpire,0.635,pire,0.637,pire,0.686,empirc,0.694,emnpire,0.778,ernpire,0.719,emnpire,0.716,emnpire,0.862,empiie,0.888,empiie,0.909,kmpire,0.763,empiro,0.805,kmpire,0.703
2,law,0.536,princes,0.634,westphalia,0.557,gmpire,0.561,empirc,0.636,germanick,0.644,mpire,0.666,enmpire,0.756,lmpire,0.719,emipire,0.707,empiie,0.856,enpire,0.885,emnire,0.896,emnire,0.757,kmpire,0.792,emnire,0.63
3,warres,0.506,brandenburg,0.627,circles,0.52,westphalia,0.558,empires,0.607,germanic,0.64,nation,0.614,ernpire,0.724,enipire,0.704,empire—,0.707,enpire,0.826,emnpire,0.85,enpire,0.876,empir,0.743,lmpire,0.783,empir,0.629
4,prouinces,0.504,imperial,0.617,suabia,0.513,emperor,0.552,ottoman,0.587,saxony,0.621,dominions,0.607,enipire,0.722,fmpire,0.686,kmpire,0.698,empir,0.825,empireand,0.839,emuire,0.869,emoire,0.735,fmpire,0.768,pire,0.617
5,honour,0.502,troops,0.61,nimeguen,0.512,circles,0.542,republick,0.578,germany,0.599,pire,0.597,empite,0.719,enpire,0.678,enipire,0.669,enipire,0.822,empir,0.838,empiro,0.863,lmpire,0.718,emoire,0.739,empre,0.544
6,neither,0.48,forces,0.606,franconia,0.511,emperour,0.541,provinces,0.566,electorate,0.599,republic,0.581,emipire,0.718,dominions,0.665,enspire,0.652,emnire,0.816,enmpire,0.826,enmpire,0.857,rmpire,0.691,hmpire,0.716,commonwealth,0.492
7,tion,0.473,treaty,0.59,princes,0.497,electorate,0.538,republic,0.562,auftria,0.597,ottoman,0.573,empiie,0.715,kmpire,0.661,empir,0.644,emipire,0.792,emnire,0.825,emdire,0.856,pire,0.69,empir,0.713,monwealth,0.452
8,emperour,0.473,denmark,0.568,provinces,0.494,germany,0.537,emnpire,0.559,bavaria,0.596,provinces,0.572,enpire,0.71,enmpire,0.66,enpire,0.642,empirethat,0.786,empira,0.816,emnpire,0.854,bmpire,0.686,pire,0.699,—opp,0.448
9,matters,0.469,cologne,0.568,treaty,0.49,electors,0.534,germanick,0.558,ruffian,0.584,poland,0.569,theempire,0.7,empite,0.657,emapire,0.638,emupire,0.786,kmpire,0.814,ermpire,0.853,fmpire,0.682,empiie,0.69,picturedrome,0.445
10,concerning,0.467,security,0.554,empe,0.486,christendom,0.512,poland,0.546,emperor,0.58,enpire,0.554,germanic,0.693,empire—,0.654,dominions,0.622,enmpire,0.785,monarchy,0.813,eimpire,0.852,empira,0.681,empira,0.666,empire—,0.443
11,fecing,0.465,ces,0.553,emperour,0.479,neutrality,0.507,states,0.542,circles,0.576,ruffian,0.552,mpire,0.685,empirc,0.651,enmpire,0.609,empireand,0.784,emoire,0.812,empira,0.848,empiie,0.677,empre,0.655,colonial,0.441
12,kingdome,0.464,points,0.55,allies,0.475,italy,0.504,monarchy,0.536,republic,0.574,indoftan,0.551,einpire,0.683,empiie,0.644,empire—the,0.606,emapire,0.777,empirethe,0.811,kmpire,0.845,empre,0.638,fmnire,0.643,mpire,0.438
13,religion,0.46,quarters,0.547,peror,0.475,trality,0.503,emperor,0.535,dominions,0.568,ruilian,0.548,pire,0.659,mpire,0.643,empirethe,0.598,empite,0.777,emipire,0.807,empir,0.838,hmpire,0.633,bmpire,0.634,plcturedrome,0.432
14,bohemia,0.455,elector,0.54,austria,0.468,peror,0.498,dominions,0.535,bohemia,0.566,territories,0.546,emrpire,0.657,monarchy,0.631,pire,0.579,empire—,0.775,emapire,0.806,fmpire,0.836,empite,0.628,impire,0.629,—empire,0.432
15,em,0.454,enemies,0.536,saxony,0.468,austria,0.498,repubhck,0.534,ruflian,0.566,army,0.545,fmpire,0.657,emipire,0.629,nation,0.579,empirea,0.773,ernpire,0.803,elmpire,0.835,empirs,0.625,rmpire,0.624,85721,0.429
16,ces,0.453,deputies,0.527,circle,0.467,emperors,0.498,palatinate,0.531,eledorate,0.561,monarchy,0.545,ermpire,0.652,germanic,0.628,europe,0.578,empire—that,0.771,enipire,0.803,emapire,0.835,mpire,0.625,kinpire,0.615,empi,0.422
17,coun,0.45,suedes,0.524,states,0.466,circle,0.495,franconia,0.525,anterior,0.558,continent,0.543,eimpire,0.651,republic,0.627,mpire,0.571,emrpire,0.76,theempire,0.799,emrpire,0.834,smpire,0.62,empirt,0.592,hippodrome,0.42
18,betweene,0.44,sueden,0.516,munster,0.46,princes,0.492,repubiick,0.523,brandenbourg,0.554,subverfion,0.542,empre,0.642,empir,0.621,empires,0.57,empire—and,0.757,natiou,0.794,ernpire,0.834,emptre,0.613,tmpire,0.587,englishspeaking,0.415
