,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,generall,0.565,governor,0.523,genera,0.669,geneial,0.796,geneial,0.847,gencral,0.814,gencral,0.778,genera,0.843,geneial,0.842,geneial,0.839,geneial,0.899,geneial,0.919,generil,0.916,genera,0.797,geneial,0.875,generai,0.795
1,major,0.539,lieutenant,0.509,neral,0.647,genera,0.714,genera,0.77,gcneral,0.764,gcneral,0.767,geneial,0.837,genera,0.809,geueral,0.824,ceneral,0.893,generai,0.917,geperal,0.9,generai,0.771,geueral,0.836,genera,0.783
2,earl,0.505,minister,0.482,gene,0.556,neral,0.698,gcneral,0.767,genetal,0.714,genera,0.765,gencral,0.824,geueral,0.78,generai,0.803,geueral,0.888,genoral,0.916,genoral,0.897,geneial,0.764,generai,0.827,geneial,0.744
3,gen,0.505,sieur,0.478,generals,0.552,gene,0.598,gencral,0.744,eneral,0.71,geneial,0.751,genetal,0.799,neral,0.778,gencral,0.798,jeneral,0.871,gereral,0.907,gsneral,0.897,generaj,0.746,generaj,0.826,reneral,0.701
4,tbis,0.487,hague,0.472,ge,0.528,qeneral,0.582,gereral,0.735,neral,0.7,neral,0.738,gcneral,0.799,generai,0.775,genetal,0.792,generai,0.861,generil,0.903,generai,0.896,jeneral,0.743,genera,0.819,ceneral,0.701
5,lieutenant,0.459,resolution,0.469,staremberg,0.524,generai,0.578,neral,0.732,generai,0.7,genetal,0.731,generai,0.793,gencral,0.771,genera,0.787,genersl,0.856,gensral,0.899,geneial,0.894,ueneral,0.742,ceneral,0.807,jeneral,0.688
6,collonel,0.451,monsieur,0.459,caraffa,0.512,ge,0.571,genetal,0.707,geneal,0.697,geneal,0.717,generat,0.781,gneral,0.765,ceneral,0.782,oeneral,0.853,geueral,0.899,geheral,0.892,ceneral,0.734,oeneral,0.805,oeneral,0.672
7,governour,0.44,ap,0.455,caprara,0.456,lieutenantgeneral,0.564,generai,0.691,gentral,0.693,eneral,0.711,generl,0.767,eneral,0.758,eneral,0.771,gereral,0.846,gtneral,0.897,genetal,0.892,genoral,0.73,generil,0.792,ueneral,0.667
8,fairfax,0.43,paris,0.45,puties,0.443,gen,0.55,generil,0.689,gtneral,0.69,gneral,0.706,geneal,0.766,genetal,0.749,generil,0.771,generil,0.845,jeneral,0.897,gpneral,0.889,goneral,0.724,ueneral,0.784,ieneral,0.662
9,rh,0.427,brandenburg,0.449,lieutenantgeneral,0.439,gneral,0.538,generl,0.674,gereral,0.684,generat,0.704,gneral,0.765,ceneral,0.739,neral,0.766,ueneral,0.843,generaj,0.89,ceneral,0.889,ieneral,0.712,geneal,0.781,gneral,0.66
10,ibe,0.425,envoy,0.445,majorgeneral,0.427,gencral,0.537,geheral,0.671,generil,0.682,generil,0.704,genieral,0.754,geieral,0.735,geaeral,0.753,grneral,0.843,genaral,0.889,geueral,0.889,oeneral,0.709,gneral,0.779,generaj,0.658
11,ana,0.42,command,0.441,viena,0.423,majorgeneral,0.528,gneral,0.665,gneral,0.679,generl,0.698,generil,0.754,generil,0.735,reneral,0.742,genernl,0.839,ueneral,0.887,gtneral,0.883,generil,0.707,jeneral,0.774,geneal,0.657
12,viz,0.412,states,0.44,mareschal,0.42,gcneral,0.522,ceneral,0.664,geneial,0.676,gereral,0.69,geieral,0.749,generat,0.73,jeneral,0.74,genoral,0.838,ceneral,0.886,goneral,0.88,reneral,0.699,genetal,0.774,qeneral,0.651
13,td,0.409,com,0.438,count,0.418,generil,0.522,eneral,0.656,generl,0.641,gentral,0.687,gtneral,0.745,gentral,0.727,genieral,0.739,reneral,0.833,gsneral,0.886,gereral,0.879,gereral,0.698,genoral,0.768,neral,0.647
14,anid,0.407,affairs,0.434,grana,0.416,generals,0.52,gentral,0.645,ceneral,0.638,generai,0.676,gencial,0.744,gereral,0.708,oeneral,0.737,gtneral,0.828,genersl,0.885,greneral,0.879,genetal,0.693,reneral,0.764,eral,0.637
15,lord,0.404,concerning,0.433,vpper,0.408,geneal,0.509,gtneral,0.641,grneral,0.638,gcncral,0.674,geueral,0.742,gcneral,0.705,genersl,0.735,goneral,0.827,seneral,0.885,geieral,0.878,geueral,0.681,geaeral,0.764,—general,0.632
16,ba,0.399,excellency,0.431,sicur,0.406,heister,0.499,geneal,0.64,genral,0.624,ceneral,0.667,gereral,0.737,oeneral,0.704,gneral,0.733,generul,0.823,generul,0.885,genertl,0.878,ganeral,0.677,ieneral,0.763,peneral,0.616
17,writ,0.395,emperor,0.425,statesgeneral,0.405,ral,0.481,ageneral,0.623,genera,0.617,genral,0.666,neral,0.735,gene,0.694,geieral,0.731,treneral,0.822,leneral,0.884,igeneral,0.875,peneral,0.675,goneral,0.753,eneral,0.611
18,oa,0.393,coun,0.424,emperor,0.405,collonel,0.469,genieral,0.622,genieral,0.612,gene,0.659,genral,0.733,genernl,0.693,geoeral,0.727,generaf,0.82,ganeral,0.883,genexal,0.873,gtneral,0.675,gereral,0.752,genral,0.6
19,tle,0.389,ambassadors,0.421,governor,0.404,count,0.466,gcncral,0.621,geieral,0.606,genieral,0.658,eneral,0.73,generl,0.69,generat,0.727,peneral,0.82,reneral,0.88,generad,0.872,leneral,0.673,genral,0.75,seneral,0.594
20,treat,0.383,expected,0.419,monsieur,0.402,genetal,0.464,qeneral,0.619,generat,0.6,geheral,0.655,geheral,0.728,genral,0.688,goneral,0.725,genera,0.82,goneral,0.879,guneral,0.872,geaeral,0.67,eeneral,0.747,feneral,0.575
