,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,geography,0.578,cards,0.512,graphical,0.597,graphical,0.591,graphical,0.62,geogra,0.676,graphical,0.725,geographi,0.741,geographi,0.902,geogra,0.877,geogra,0.902,graphical,0.75,graphical,0.713,graphical,0.575
1,description,0.568,description,0.49,hiltorical,0.582,hiftorical,0.564,geogra,0.61,index,0.635,phical,0.664,geogra,0.739,geogra,0.893,ethnological,0.841,phical,0.868,geographi,0.721,geographi,0.712,geographi,0.574
2,index,0.554,geography,0.479,hiflorical,0.549,hiflorical,0.558,phical,0.574,biographical,0.63,geogra,0.649,phical,0.71,phical,0.84,phical,0.832,geographi,0.854,phical,0.712,geogra,0.701,geographic,0.558
3,historical,0.552,map,0.472,hifiorical,0.545,hifforical,0.558,hiftorical,0.573,graphical,0.603,topographical,0.616,graphical,0.689,geological,0.794,geographioal,0.812,geological,0.838,geogra,0.68,phical,0.701,geological,0.551
4,map,0.539,mathematical,0.464,hillorical,0.544,geogra,0.558,dictionary,0.569,chrono,0.596,chronological,0.606,topogra,0.641,graphical,0.791,geographi,0.806,geographioal,0.827,geological,0.646,geographic,0.654,torical,0.52
5,maps,0.538,moxon,0.455,nealogical,0.543,hiltorical,0.544,biographical,0.555,phical,0.595,statistical,0.599,topographical,0.63,topographical,0.773,geographica,0.806,anthropological,0.822,geographic,0.616,anthropological,0.629,sociological,0.497
6,sculptures,0.52,hiftorical,0.442,geogra,0.533,hillorical,0.539,hiltorical,0.554,geography,0.573,geography,0.59,biblical,0.626,geographic,0.762,geological,0.796,geograpbical,0.822,ethnological,0.6,geological,0.628,historical,0.493
7,geometry,0.515,chronological,0.439,hiftorical,0.527,hiforical,0.533,compendious,0.548,chronology,0.566,index,0.587,statistical,0.625,geologi,0.759,anthropological,0.781,ethnological,0.82,ethnographical,0.586,sociological,0.579,juridical,0.475
8,hewing,0.512,historical,0.428,hifforical,0.526,claflical,0.517,hiflorical,0.536,maps,0.565,graphy,0.578,geological,0.618,ethnological,0.746,archseological,0.763,ethnographical,0.811,philosophical,0.568,philosophical,0.569,logical,0.471
9,introduction,0.508,genealogical,0.426,korea,0.521,claffical,0.508,difionary,0.528,diionary,0.56,explanatory,0.576,astronomical,0.609,ethnographical,0.734,archreological,0.759,ideographical,0.808,archaeological,0.564,sophical,0.563,explorations,0.469
10,anatomy,0.505,lineating,0.412,historical,0.518,phical,0.504,hitlorical,0.527,topographical,0.557,historical,0.575,geography,0.603,topogra,0.724,geographic,0.75,eographical,0.793,anthropological,0.547,archaeological,0.555,affinities,0.468
11,cards,0.494,proverbs,0.41,phical,0.518,etymological,0.502,accurate,0.527,biogra,0.552,genealogical,0.569,pographical,0.593,mineralogical,0.722,ethno,0.746,pological,0.789,statistical,0.543,topographical,0.548,strategical,0.464
12,compendium,0.469,maps,0.409,maps,0.511,historical,0.502,defcription,0.52,chronolo,0.55,history,0.557,graphy,0.592,topographic,0.72,archaeological,0.741,archieological,0.787,historical,0.533,anthropo,0.543,biological,0.446
13,treatise,0.448,storical,0.407,hiforical,0.505,chronological,0.482,guthries,0.519,chronological,0.549,problems,0.553,compendious,0.579,ethnology,0.72,ethnographical,0.735,archaological,0.787,archaeo,0.529,ethnographical,0.54,geographically,0.446
14,survey,0.44,defcription,0.404,hiftori,0.504,nores,0.481,agronomical,0.514,graphy,0.547,biographical,0.549,historical,0.575,ethno,0.717,ethnology,0.73,geographic,0.781,topographical,0.528,juridical,0.54,saltire,0.441
15,arithmetick,0.437,gical,0.4,histori,0.501,map,0.479,hillorical,0.514,indcx,0.545,chronology,0.546,nological,0.565,geograph,0.712,graphical,0.727,biological,0.779,archaological,0.528,ethnological,0.535,linguistic,0.439
16,shewing,0.432,geographer,0.395,crirical,0.5,maps,0.465,histo,0.513,dictionary,0.543,compendious,0.542,philological,0.559,histori,0.71,archaological,0.726,archeological,0.778,archaeology,0.526,psychological,0.533,economic,0.438
17,history,0.428,proverbial,0.389,storical,0.496,mapi,0.464,dicionary,0.51,synopsis,0.543,hitory,0.54,geographic,0.558,geology,0.702,archaeo,0.716,graphical,0.777,sociological,0.522,historical,0.533,similarity,0.433
18,containing,0.419,tical,0.383,genealogical,0.495,didlionary,0.464,description,0.508,histori,0.538,zoological,0.537,astronomy,0.557,hydrography,0.702,geologioal,0.714,geologi,0.771,topography,0.522,prehistory,0.531,archaeo,0.432
19,metals,0.419,accurate,0.377,alaps,0.491,ditionary,0.462,grammar,0.506,explanatory,0.533,maps,0.535,astro,0.555,topography,0.699,archteological,0.713,geograph,0.77,oceanography,0.518,archaeo,0.531,topographical,0.431
20,europe,0.419,political,0.376,nological,0.484,difionary,0.459,system,0.503,comprchenfive,0.532,biogra,0.534,topo,0.555,geogr,0.695,anthropology,0.705,archmological,0.761,antarctic,0.509,geology,0.528,topography,0.43
