,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,brandenburg,0.696,impe,0.714,impe,0.712,impe,0.772,impe,0.688,perial,0.728,impeiial,0.761,perial,0.762,perial,0.814,impeiial,0.874,inperial,0.896,imnerial,0.919,perial,0.793,perial,0.791,perial,0.828
1,emperor,0.652,perial,0.641,perial,0.711,perial,0.77,perial,0.687,emprefs,0.639,iniperial,0.754,iniperial,0.755,impeiial,0.805,imperiai,0.871,imprial,0.896,impeiial,0.898,imperii,0.758,imperii,0.755,imoerial,0.698
2,ambassadors,0.646,rial,0.64,prussian,0.637,impeiial,0.733,hungarian,0.63,pruflian,0.632,impcrial,0.746,inmperial,0.744,mperial,0.762,inperial,0.864,imperia,0.893,imoerial,0.897,mperial,0.741,imoerial,0.746,imperii,0.661
3,nimeguen,0.626,polish,0.563,imperi,0.574,mperial,0.73,emprefs,0.618,pruffian,0.598,perial,0.741,lmperial,0.731,imnperial,0.715,imperia,0.861,imnerial,0.89,imprial,0.889,impenal,0.739,imnerial,0.742,mperial,0.659
4,empire,0.617,emperor,0.563,rial,0.568,rial,0.706,rial,0.606,impe,0.578,inperial,0.733,mperial,0.73,inperial,0.71,imierial,0.844,imierial,0.882,imderial,0.885,imperia,0.716,imperal,0.713,imperia,0.585
5,denmark,0.608,caprara,0.546,emperor,0.559,imperiai,0.692,pruffian,0.589,emprels,0.575,irnperial,0.729,impeiial,0.715,inmperial,0.698,imnerial,0.841,impeiial,0.876,imierial,0.884,imoerial,0.712,mperial,0.705,tmperial,0.509
6,poland,0.604,emperors,0.532,pruffian,0.546,imperal,0.691,pruflian,0.584,vienna,0.564,lmperial,0.729,imiperial,0.679,iniperial,0.697,imperisl,0.833,imporial,0.871,impsrial,0.884,imnerial,0.694,impeiial,0.701,britishamerican,0.457
7,treaty,0.602,czars,0.529,imp,0.523,impetial,0.687,pruilian,0.558,berlin,0.564,impetial,0.728,imnperial,0.677,imperia,0.688,imperlal,0.831,imderial,0.868,imperal,0.871,imperal,0.683,impenal,0.692,chemical,0.426
8,ministers,0.589,empe,0.521,czarian,0.523,lmperial,0.682,emprels,0.556,ruffias,0.561,imnperial,0.726,imperil,0.677,imiperial,0.686,imperal,0.825,impenal,0.868,impenal,0.869,imperiaj,0.669,imperiaj,0.675,—imperial,0.415
9,ambassador,0.58,elector,0.505,czarish,0.522,inperial,0.681,sardinian,0.556,electoral,0.559,inmperial,0.715,inperial,0.673,iperial,0.68,imprial,0.824,imoerial,0.867,imperia,0.866,imperiai,0.668,imperiai,0.65,52691,0.408
10,elector,0.58,bavaria,0.504,danish,0.518,iniperial,0.668,eleftoral,0.554,prullian,0.557,iperial,0.711,imperal,0.669,imprial,0.678,impsrial,0.822,imparial,0.866,imuerial,0.863,impeiial,0.664,imprial,0.642,imp,0.396
11,sueden,0.579,ottoman,0.501,swedish,0.505,czarian,0.657,eledoral,0.554,ruffian,0.556,imperia,0.699,impe,0.659,limperial,0.675,impenal,0.82,imperinl,0.859,inperial,0.858,imprial,0.663,imporial,0.612,colonial,0.391
