,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,narellan,0.84,yathodaya,0.646,estremadura,0.744,isthmus,0.853
1,watermint,0.806,munita,0.644,jarama,0.711,ladoga,0.791
2,albertns,0.783,chantemerle,0.643,salla,0.701,leningrad,0.765
3,icelander,0.782,kilmein,0.641,insurgents,0.701,smolensk,0.754
4,kilgrain,0.78,martynia,0.638,dniester,0.695,ilmen,0.747
5,rustieus,0.773,paderno,0.637,surgents,0.695,viborg,0.74
6,millcog,0.757,donogliue,0.637,guadarrama,0.695,kuban,0.732
7,boughside,0.756,marchetta,0.636,petsamo,0.693,kerch,0.731
8,kngaddi,0.754,morisa,0.636,karahissar,0.692,volkhov,0.729
9,baystone,0.752,woorton,0.636,tembien,0.682,taipale,0.729
10,bookdale,0.752,fizzer,0.635,ogaden,0.678,perekop,0.729
11,mespilns,0.749,corinnus,0.635,teruel,0.673,crimea,0.726
12,cbicard,0.749,modubeagh,0.635,warndt,0.67,viipuri,0.72
13,pasquinette,0.749,berretta,0.634,changkufeng,0.669,staraya,0.719
14,nunthorp,0.747,sulphanine,0.633,kiangwan,0.667,kiev,0.718
15,sweetmart,0.747,zoara,0.632,counterattacks,0.665,vyazma,0.715
16,hagiolite,0.746,campag,0.631,liuho,0.661,voronezh,0.71
17,senarupa,0.746,greencap,0.63,peipinghankow,0.661,briansk,0.709
18,wauehs,0.745,revach,0.629,insurgent,0.661,mannerheim,0.709
19,kentshole,0.743,murla,0.628,gorahai,0.66,kalinin,0.707
20,baldersund,0.742,chucklehead,0.626,suchow,0.659,sebastopol,0.706
21,brockmanton,0.742,sherboro,0.625,alagi,0.659,russa,0.705
22,popposa,0.742,jerpoint,0.623,takkaze,0.657,kursk,0.705
23,kuocklayd,0.742,postulus,0.623,manchuli,0.656,finns,0.704
24,zuline,0.742,marcavis,0.622,brunete,0.655,taganrog,0.704
25,glenchoran,0.741,villeroy,0.622,dnieper,0.653,vitebsk,0.701
26,sweetbnar,0.74,marquetta,0.622,adigrat,0.652,peipus,0.698
27,mespiius,0.74,chirdon,0.62,ismid,0.651,izyum,0.697
28,badius,0.74,pregador,0.62,oviedo,0.649,kexholm,0.697
29,glenqnoich,0.739,doncghue,0.619,asturian,0.648,chuguyev,0.696
30,stronaclachar,0.739,harriakka,0.619,surgent,0.647,melitopol,0.694
31,dromonbv,0.739,suncloud,0.617,modlin,0.646,rzhev,0.693
32,rosamene,0.738,banovallum,0.617,ajdir,0.646,rostov,0.692
33,kerannos,0.738,olvidada,0.617,pirmasens,0.645,donetz,0.691
34,albertua,0.738,duralium,0.614,enzeli,0.645,velikie,0.691
