,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,doth,0.54,crown,0.436,demand,0.526,kmg,0.622,kmg,0.765,kirg,0.811,kirg,0.728,xing,0.747,xing,0.834,xing,0.784,kiug,0.843,kiug,0.908,kirg,0.922,kiug,0.904,kinj,0.754,kiug,0.786,kng,0.636
1,state,0.518,states,0.426,emperor,0.502,theking,0.582,kirg,0.646,kng,0.785,xing,0.728,theking,0.719,kiing,0.8,kiug,0.781,kiig,0.802,kidg,0.872,kiug,0.898,kidg,0.869,kinsr,0.743,kinsr,0.785,kmg,0.626
2,kings,0.511,dome,0.423,elector,0.497,kingof,0.547,kiug,0.616,kmg,0.779,kng,0.68,kiing,0.709,lking,0.793,kiing,0.761,kiing,0.798,kiog,0.871,kiog,0.879,kirg,0.843,kinp,0.732,kinc,0.775,hellenes,0.606
3,pro,0.509,france,0.416,denmark,0.494,sador,0.519,theking,0.612,xing,0.76,kiing,0.658,kiig,0.681,kirg,0.769,kiig,0.734,kiog,0.782,kying,0.858,kidg,0.873,kimg,0.826,kinc,0.717,kmg,0.774,haakon,0.605
4,true,0.509,the,0.415,sueden,0.494,queen,0.507,xing,0.605,kiog,0.735,kinig,0.653,kirg,0.678,kiig,0.765,kiag,0.724,lking,0.773,kiing,0.841,kisg,0.86,kiag,0.823,kiug,0.706,kintr,0.755,kinp,0.551
5,the,0.508,parlia,0.39,ambassador,0.493,kjng,0.489,kjng,0.592,theking,0.717,theking,0.645,kng,0.67,theking,0.761,kig,0.722,kinr,0.767,kirg,0.833,kiag,0.857,kincr,0.809,xing,0.704,kincr,0.741,ktng,0.528
6,his,0.496,parliaments,0.39,brandenburg,0.485,hismajesty,0.486,queen,0.592,kirig,0.709,lking,0.636,pruffia,0.661,kiug,0.747,kmg,0.72,xing,0.766,kinjr,0.82,xing,0.852,kintr,0.807,kintr,0.703,kinp,0.721,kino,0.525
7,religion,0.492,edward,0.38,france,0.478,majesty,0.472,kino,0.591,kin,0.675,kiig,0.624,kipg,0.656,iking,0.742,kino,0.719,kino,0.764,kinz,0.818,kicg,0.848,kihg,0.805,kirg,0.702,kinir,0.715,xing,0.514
8,honour,0.489,kingdomes,0.379,poland,0.477,ambas,0.461,ring,0.587,kjng,0.668,kipg,0.619,pruflia,0.654,kng,0.741,kirg,0.714,kitg,0.746,kisg,0.812,kinz,0.842,xing,0.801,kipg,0.695,kirg,0.709,saud,0.508
9,of,0.488,kings,0.379,duke,0.461,emperor,0.457,kng,0.587,kino,0.667,kingof,0.617,kjng,0.65,kinig,0.739,lking,0.713,kiag,0.741,lking,0.803,kihg,0.841,ktng,0.8,kmg,0.69,kjng,0.697,farouk,0.507
10,and,0.486,fin,0.374,imperial,0.457,ambaflador,0.453,k,0.544,ktng,0.666,kiag,0.616,kingof,0.649,kling,0.73,kinc,0.697,kimg,0.74,kiag,0.799,kiig,0.841,kiog,0.798,kinjr,0.689,xing,0.695,feisal,0.501
