,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,hebrew,0.393,guage,0.585,guage,0.738,guage,0.653,guage,0.759,guage,0.807,guage,0.819,guage,0.823,lauguage,0.953,lauguage,0.945,langnage,0.949,guage,0.848,languago,0.787,langu,0.64
1,tongue,0.375,tongue,0.505,languagc,0.61,tongue,0.54,languagc,0.729,languagc,0.793,lauguage,0.719,lauguage,0.815,langnage,0.904,langnage,0.945,lauguage,0.944,anguage,0.817,language—,0.724,colloquial,0.583
2,practised,0.37,phrases,0.488,tongue,0.526,figurative,0.497,linguage,0.7,linguage,0.767,ianguage,0.71,langnage,0.767,langusge,0.903,langaage,0.922,languago,0.908,languago,0.801,langu,0.707,phrases,0.564
3,latine,0.359,significant,0.472,languages,0.524,litin,0.481,languag,0.695,languige,0.738,langnage,0.704,langusge,0.754,languago,0.903,anguage,0.92,ianguage,0.907,langnage,0.771,anguage,0.691,guage,0.556
4,mistress,0.344,hebrew,0.462,guages,0.489,tranflate,0.473,languige,0.682,ianguage,0.735,anguage,0.7,anguage,0.751,ianguage,0.884,languago,0.91,anguage,0.901,lauguage,0.764,obscene,0.654,phrase,0.546
5,poets,0.343,latin,0.454,greek,0.485,latin,0.468,languae,0.682,anguage,0.727,languag,0.697,langunge,0.748,langunge,0.879,larguage,0.899,langusge,0.896,ianguage,0.754,guage,0.641,translation,0.545
6,faults,0.337,words,0.447,lan,0.476,greek,0.459,latin,0.667,laniguage,0.726,languagc,0.678,langoage,0.736,langoage,0.863,laoguage,0.892,langaage,0.893,langu,0.732,languag,0.634,obscene,0.544
7,whatsoever,0.337,opprobrious,0.439,dialect,0.455,hebrew,0.458,tongue,0.648,languae,0.716,laniguage,0.666,languge,0.734,anguage,0.86,laugnage,0.886,larguage,0.89,languag,0.706,abusive,0.613,semitic,0.537
8,spake,0.335,temper,0.428,gieek,0.455,guages,0.458,anguage,0.639,languag,0.705,languiage,0.655,ianguage,0.725,languag,0.854,langusge,0.885,languaee,0.882,language—the,0.698,insulting,0.597,literature,0.535
9,words,0.335,indecent,0.423,accenting,0.444,greck,0.457,languages,0.637,langnage,0.7,languages,0.64,laniguage,0.722,languge,0.851,languige,0.885,languige,0.882,language—a,0.682,swearing,0.586,litera,0.535
10,edition,0.332,poets,0.414,langua,0.44,englills,0.455,verfification,0.591,languge,0.698,fluency,0.637,languag,0.709,laugnage,0.845,linguage,0.883,languaga,0.872,profane,0.681,profane,0.586,philosophy,0.534
11,heathen,0.326,heathens,0.406,tongues,0.439,languages,0.451,grammatically,0.589,lauguage,0.693,grammati,0.63,linguage,0.703,languige,0.84,langunge,0.881,languace,0.871,language—,0.667,pronunciation,0.576,meanings,0.532
12,latin,0.32,phrase,0.401,hebrew,0.438,sentiment,0.443,guages,0.581,guagc,0.691,latin,0.627,languae,0.7,languege,0.838,laneuage,0.879,langoage,0.871,abusive,0.662,phrases,0.575,intelligible,0.53
13,greek,0.316,rhetorick,0.4,grek,0.43,idiom,0.437,langua,0.579,lanuage,0.688,guages,0.627,langutage,0.7,larguage,0.835,languag,0.874,laugnage,0.869,obscene,0.652,idiomatic,0.572,pronunciation,0.529
14,faculty,0.316,scurrilous,0.398,syriac,0.423,mathematics,0.434,fluency,0.57,lnguage,0.681,grammatically,0.626,latiguage,0.696,languageand,0.834,lsnguage,0.874,languase,0.865,nguage,0.633,vocabulary,0.568,phraseology,0.529
15,innocency,0.31,genius,0.397,eloquence,0.423,underilood,0.434,expreffion,0.565,languiage,0.654,pronunciation,0.623,lainguage,0.691,langaage,0.831,ianguage,0.873,laoguage,0.863,langua,0.633,indecent,0.563,vocabulary,0.527
