,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,mediaeval,0.929,mediaeval,0.954,mediaeval,0.945,mediaeval,0.8,mediaeval,0.823,mediaeval,0.838
1,mediaval,0.887,mediaval,0.939,mediseval,0.938,mediseval,0.646,mediaval,0.72,prehistoric,0.595
2,mediseval,0.875,mediieval,0.914,mediaval,0.932,mediteval,0.643,mediseval,0.683,ancient,0.588
3,mediteval,0.859,mediseval,0.912,medimval,0.919,mediaval,0.621,mediasval,0.627,elizabethan,0.585
4,medireval,0.817,medueval,0.9,medireval,0.918,mediieval,0.609,renaissance,0.585,historical,0.574
5,medimval,0.816,mediasval,0.891,mediieval,0.917,prechristian,0.581,byzantine,0.583,bethan,0.558
6,byzantine,0.814,mediceval,0.89,mediteval,0.913,prereformation,0.58,bygone,0.573,midvictorian,0.558
7,mediieval,0.801,mediteval,0.885,medueval,0.897,architecture,0.576,monastic,0.566,tecture,0.551
8,tecture,0.767,medheval,0.884,medheval,0.888,renaissance,0.563,architecture,0.564,legends,0.541
9,mediceval,0.767,mediajval,0.874,medineval,0.881,monastic,0.562,ancient,0.556,monastic,0.541
10,architecture,0.765,mediwval,0.867,mediasval,0.88,historical,0.559,prechristian,0.555,renaissance,0.532
11,medimeval,0.758,medireval,0.865,mediceval,0.875,ancient,0.557,elizabethan,0.546,relics,0.528
12,renaissance,0.753,medimval,0.858,medinval,0.869,byzantine,0.555,tecture,0.54,battlements,0.526
13,saracenic,0.75,medisval,0.857,mediwval,0.863,elizabethan,0.55,bethan,0.539,cathedrals,0.523
14,medleval,0.746,mediaival,0.847,medioeval,0.856,tecture,0.549,heraldry,0.537,perpendicular,0.523
15,gothic,0.742,medinval,0.822,medimeval,0.854,monkish,0.547,legendary,0.536,antiquities,0.523
16,ancieut,0.741,medixval,0.821,medieeval,0.853,aneient,0.541,feudal,0.536,contemporary,0.52
17,classic,0.739,medijeval,0.816,mediaival,0.851,oldworld,0.536,legend,0.536,architecture,0.513
18,mosaic,0.738,medioeval,0.816,medixval,0.84,prehistoric,0.536,historical,0.533,architec,0.512
19,ancient,0.738,medimeval,0.799,medizeval,0.837,feudal,0.534,prereformation,0.52,pictish,0.508
20,architec,0.733,medineval,0.791,ancient,0.805,heraldry,0.532,sculpture,0.518,sculptures,0.508
21,aucient,0.733,medleval,0.77,archaic,0.803,babylonian,0.526,allegory,0.515,quaint,0.506
22,mosaics,0.728,mediheval,0.767,fifteenthcentury,0.802,paganism,0.525,romanesque,0.514,neolithic,0.504
23,missals,0.728,medileval,0.759,sixteenthcentury,0.801,histori,0.523,antiquity,0.512,traditional,0.5
24,anoient,0.726,gothic,0.738,prechristian,0.8,medievalism,0.52,anglonorman,0.511,epitaphs,0.499
25,symbolism,0.724,mosaic,0.738,eighteenthcentury,0.798,antiquity,0.52,gothic,0.51,civilisations,0.499
26,sculpture,0.723,pompeian,0.732,byzantine,0.795,israelitish,0.52,midvictorian,0.509,antiquity,0.497
27,antiquities,0.723,architecture,0.729,medleval,0.79,ancien,0.518,barbaric,0.506,centuriesold,0.494
28,antiquity,0.72,renaissance,0.728,architecture,0.789,classic,0.515,pictish,0.505,gothic,0.493
29,architectural,0.718,elizabethan,0.721,seventeenthcentury,0.788,mythology,0.514,ancicnt,0.501,statues,0.493
30,monumental,0.717,carvings,0.715,thirteenthcentury,0.786,survivals,0.514,prenorman,0.5,historic,0.491
31,cinquecento,0.712,etruscan,0.712,monkish,0.784,symbolism,0.514,esque,0.5,baronial,0.491
32,monuments,0.711,gilded,0.712,pugins,0.783,legendary,0.513,edwardian,0.495,history,0.485
