,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,smyth,0.528,xotb,0.499,l7th,0.456,blvth,0.516,chimera,0.689,mythical,0.743,mythical,0.77,mythical,0.603,legend,0.669,legend,0.652
1,blyth,0.485,jth,0.481,gth,0.45,biyth,0.489,truism,0.635,paradox,0.723,heretic,0.741,superstition,0.596,mythical,0.612,invincibility,0.565
2,ookfeller,0.457,s6tb,0.481,16th,0.45,korster,0.483,mythical,0.632,chimera,0.715,apocryphal,0.726,legend,0.595,mvth,0.568,napoleon,0.534
3,flookfeller,0.457,27th,0.479,i7th,0.442,blyth,0.482,nonentity,0.631,unknowable,0.688,fatalist,0.724,delusion,0.584,moonshine,0.563,teutonic,0.529
4,bookteller,0.455,25h,0.474,f7th,0.44,blytli,0.464,paradox,0.621,enigma,0.687,myths,0.724,fallacy,0.579,mythology,0.556,galileo,0.528
5,bookfciler,0.453,z5th,0.474,eth,0.439,blyt,0.456,myths,0.618,figment,0.681,romancist,0.721,paradox,0.564,agnostic,0.549,caesars,0.524
6,tilley,0.449,zth,0.471,2cth,0.437,armnstrong,0.453,fiction,0.618,philosopher,0.678,pantheist,0.72,myths,0.563,allegory,0.545,reality,0.519
7,boolfeller,0.449,2th,0.469,isth,0.436,blytb,0.453,demigod,0.608,misnomer,0.677,chimera,0.716,reality,0.553,dream,0.545,vengeful,0.518
8,bookeller,0.447,z2th,0.467,9oth,0.436,geori,0.449,enthusiast,0.606,positivism,0.671,allegory,0.715,truth,0.552,aristotle,0.541,boastful,0.513
9,md,0.447,joth,0.464,7th,0.435,dunbar,0.449,disciple,0.604,anachronism,0.67,boeotian,0.714,legendary,0.54,dictum,0.538,idolatry,0.513
10,manmidwife,0.446,zyth,0.463,19th,0.435,anderso,0.446,stiggins,0.601,reality—,0.667,mysticism,0.714,tradition,0.536,aryan,0.537,heretic,0.51
11,bnokfeller,0.446,xpth,0.463,i2th,0.434,christoph,0.444,mopolitan,0.601,truism,0.665,pessimism,0.71,mythology,0.536,myths,0.534,legendary,0.509
12,bookfeiler,0.443,rth,0.462,tsth,0.434,jameso,0.444,carlyle,0.597,pantheist,0.665,canaanite,0.71,halftruth,0.534,superstition,0.534,amazonian,0.508
13,booklcller,0.44,25th,0.462,9rh,0.433,iibson,0.44,bacehus,0.595,mystery,0.665,figment,0.709,figment,0.53,telepathy,0.53,serpent,0.505
14,bcokfeller,0.439,axth,0.46,15th,0.432,owles,0.439,anachronism,0.593,atheist,0.662,schopenhauer,0.705,paganism,0.527,confucius,0.527,hypothesis,0.505
15,boakfeller,0.439,26th,0.459,14th,0.432,dunhar,0.439,figment,0.591,monotheistic,0.661,dreamer,0.703,supersti,0.525,bombast,0.527,allegory,0.502
16,boolefeller,0.435,9h,0.458,jth,0.43,iurner,0.439,sceptic,0.59,idealism,0.66,superstition,0.7,hypothesis,0.523,adage,0.525,satanic,0.498
17,bookfelkr,0.435,zath,0.457,i9th,0.428,paulson,0.437,utopia,0.589,mythi,0.659,pantheistic,0.699,dogma,0.523,sublime,0.523,platitude,0.498
18,boolkfeller,0.433,toth,0.457,i4th,0.428,ihoma,0.437,sopher,0.589,pantheism,0.658,epic,0.699,moonshine,0.521,loadstone,0.522,colossus,0.497
19,badwin,0.43,sift,0.457,ioth,0.427,woodb,0.437,philosopher,0.589,craze,0.658,philistine,0.698,fabrication,0.521,hypothesis,0.522,contradiction,0.497
20,bookfcler,0.428,ajth,0.456,9ch,0.427,darnell,0.435,schemer,0.588,quakerism,0.657,homeric,0.697,legends,0.521,visionary,0.52,valhalla,0.496
21,baidwin,0.427,f3th,0.455,lth,0.425,alexanier,0.435,proteus,0.588,hegel,0.657,reality—,0.696,dreamer,0.519,conundrum,0.519,neiges,0.496
22,bookfeler,0.427,jgth,0.454,toth,0.422,maaon,0.434,carlvle,0.586,idealist,0.656,idealist,0.696,nightmare,0.519,philosopher,0.518,atom,0.496
23,bookfelle,0.427,aotb,0.452,t5th,0.422,samauel,0.433,mummery,0.586,historically,0.655,sopher,0.694,falsehood,0.518,libertine,0.517,avarice,0.495
24,kfeller,0.423,i7tb,0.452,icth,0.42,ritehie,0.432,cato,0.585,myths,0.653,phantasy,0.694,guesswork,0.516,involution,0.516,pretence,0.495
25,ml,0.423,2sth,0.45,19thl,0.42,ieslie,0.431,tradition,0.584,doornail,0.65,idealistic,0.691,dream,0.513,paradox,0.516,sublime,0.494
26,bookfieler,0.422,20th,0.449,9til,0.42,lahn,0.43,deist,0.583,mythic,0.65,philosopher,0.691,truism,0.513,dostoievsky,0.515,blunderland,0.494
27,sotheran,0.42,z9th,0.449,29h,0.419,ilogg,0.429,alchemist,0.582,buddhism,0.649,lycurgus,0.69,allegory,0.511,superstitious,0.515,arrogant,0.493
28,bookfelltr,0.416,a4th,0.449,17th,0.418,smth,0.427,synonym,0.582,tradition,0.648,humanist,0.69,changeling,0.511,parsimony,0.514,bonaparte,0.493
29,bookfuller,0.416,2s5th,0.448,pth,0.417,smitti,0.427,apocryphal,0.578,axiomatic,0.647,mythology,0.689,supernatural,0.51,legendary,0.513,fallacy,0.492
30,bookfrller,0.415,aoth,0.448,6th,0.417,cuthhert,0.426,plaything,0.577,reality,0.647,romance,0.688,transcendental,0.509,decadence,0.513,duplicity,0.491
31,bookfellr,0.415,i6tb,0.446,l4th,0.416,drvden,0.425,romancer,0.576,positivist,0.647,romauce,0.687,selfcontradictory,0.505,fallacy,0.513,credulous,0.491
32,bookfaller,0.414,zzd,0.446,27th,0.416,johxn,0.424,hollander,0.575,metaphysical,0.647,legendary,0.686,survival,0.504,tyrant,0.51,apocalypse,0.489
33,bookftller,0.413,tth,0.444,cth,0.416,heden,0.424,novice,0.575,transcendental,0.645,materialist,0.685,atheistical,0.503,pocus,0.508,elemental,0.489
34,eookfeller,0.413,a9th,0.444,18th,0.416,mittord,0.424,legend,0.574,esoteric,0.644,devilry,0.684,apocryphal,0.502,fantastic,0.506,neutron,0.488
35,bonkfeller,0.412,s7th,0.444,2lth,0.415,ilkie,0.424,mystery,0.572,theorist,0.643,ronance,0.683,unknowable,0.502,doctrine,0.503,mystification,0.486
36,rookfeller,0.41,qth,0.443,2oth,0.415,iatm,0.424,hindu,0.571,nonentity,0.642,antithesis,0.682,superstitions,0.501,despot,0.502,caudillo,0.486
37,bookfeuer,0.409,loth,0.443,soth,0.415,wi,0.423,synonyme,0.57,pantheistic,0.642,monomaniac,0.68,monotheism,0.501,lawgiver,0.501,fiasco,0.48
38,bookfellcr,0.409,2lth,0.442,£7th,0.415,georgle,0.422,symbol,0.57,mythology,0.642,veracious,0.679,platitude,0.499,idol,0.501,smug,0.48
39,bokfeller,0.408,2jth,0.442,2th,0.412,mlcod,0.422,mys,0.57,allegory,0.641,demosthenes,0.678,pantheism,0.498,alchemy,0.5,idealist,0.48
40,fellr,0.407,rrth,0.441,ztc,0.412,fr1s,0.421,thinker,0.569,sopher,0.64,tradition,0.678,alchemy,0.497,illusion,0.5,prizefighter,0.479
41,robifon,0.407,17th,0.44,c9th,0.412,urq,0.421,ignis,0.568,unreal,0.64,antitype,0.678,chimerical,0.493,theism,0.499,spectre,0.478
42,rrock,0.405,6th,0.44,s4th,0.412,rtobertson,0.42,allegory,0.568,surmise,0.637,heroworship,0.678,enshrines,0.493,buccaneering,0.499,microbe,0.477
43,bookfieller,0.405,29tb,0.44,jsth,0.412,burdis,0.42,fudge,0.567,arthurian,0.637,nietzsche,0.677,phantasmagoria,0.493,sonnet,0.499,artifice,0.477
44,bookieller,0.405,z6th,0.44,2itb,0.41,llex,0.42,hero,0.567,epic,0.636,philosophic,0.677,incarnation,0.493,transcendant,0.499,peasantry,0.475
45,baldvin,0.404,the8th,0.44,08th,0.41,sinelair,0.42,reality—,0.566,hegelian,0.636,legend,0.676,farfetched,0.493,fantastical,0.498,clemenceau,0.474
