,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,realme,0.538,proved,0.535,humane,0.52,natures,0.477,narure,0.789,natute,0.743,naturc,0.799,naturc,0.808,natuie,0.785,natnre,0.812,uature,0.904,natnre,0.909,naturo,0.913,natnre,0.795,naturo,0.739,merely,0.539
1,ordinary,0.517,spirit,0.515,tendency,0.479,kind,0.469,natute,0.771,naturc,0.73,natute,0.751,natuie,0.801,natute,0.727,natuie,0.78,naturo,0.863,naturo,0.898,natnre,0.902,naturo,0.792,natuie,0.695,aberration,0.535
2,judgement,0.499,judgment,0.514,brutes,0.473,wastings,0.447,naturc,0.767,natue,0.667,natuie,0.715,natute,0.791,natnre,0.711,uature,0.766,natuie,0.86,natuie,0.896,uature,0.89,natuie,0.698,natnre,0.621,trivial,0.528
3,kind,0.493,kind,0.513,human,0.436,mature,0.438,natuie,0.765,naure,0.661,natur,0.688,natur,0.716,uature,0.676,natute,0.759,natnre,0.859,natare,0.895,natare,0.884,uature,0.692,uature,0.6,subjectmatter,0.526
4,matters,0.49,prayers,0.505,species,0.433,humane,0.423,naure,0.75,natur,0.66,naure,0.686,natture,0.708,natare,0.674,natare,0.751,naiure,0.844,uature,0.892,natuie,0.88,natureof,0.609,nature—,0.569,sort,0.523
5,learned,0.474,scripture,0.498,natural,0.429,perfections,0.417,naiure,0.74,narure,0.659,naturt,0.68,natore,0.707,naturc,0.668,naiure,0.703,natare,0.82,nsture,0.825,natore,0.84,natare,0.586,suggestive,0.569,perversion,0.523
6,treafon,0.473,author,0.489,imagination,0.427,mankind,0.411,natue,0.74,natire,0.651,narure,0.676,nattire,0.699,naiure,0.654,natuire,0.689,nsture,0.812,natnro,0.8,nsture,0.833,character,0.572,human,0.562,edifying,0.521
7,ancient,0.472,prove,0.488,genuine,0.426,waitings,0.411,natnre,0.704,natuie,0.644,natue,0.671,natare,0.698,naure,0.653,nsture,0.685,natureand,0.775,natore,0.792,natute,0.832,natute,0.56,reality,0.562,perverted,0.515
8,civill,0.465,law,0.484,rational,0.423,kinds,0.41,natire,0.679,natre,0.629,natore,0.653,narure,0.698,natur,0.639,nalure,0.675,natore,0.774,naiure,0.791,naiure,0.825,nature—,0.557,environment,0.554,perception,0.513
9,law,0.464,plain,0.481,corruption,0.42,natur,0.406,nacure,0.672,nture,0.618,natuire,0.645,naure,0.696,nalure,0.619,natore,0.675,nalure,0.761,natute,0.784,neture,0.811,infinitude,0.555,character,0.547,sordid,0.512
