,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,newspapers,0.441,newspapers,0.518,newfpaper,0.632,newfpaper,0.725,newspapers,0.695,newspapers,0.733,newpaper,0.876,newpaper,0.899,newspiper,0.864,newspapeb,0.662,newspapei,0.69,newspapei,0.634
1,infert,0.403,paragraph,0.508,newspapers,0.627,newvspaper,0.714,newpaper,0.664,newspa,0.709,uewspaper,0.845,newspapei,0.86,newspapei,0.86,newpaper,0.661,newspape,0.644,vpost,0.554
2,paragraph,0.399,advertifer,0.442,newfpapers,0.554,newspapers,0.618,newfpaper,0.612,newvspaper,0.688,newspsper,0.845,newspaer,0.854,newspaoer,0.86,newapaper,0.649,newspap,0.643,£be,0.553
3,occurrences,0.399,graph,0.435,newspa,0.545,ncwfpaper,0.604,newspa,0.597,newpaper,0.677,nowspaper,0.832,newspaier,0.85,nevspaper,0.859,spaper,0.646,newpaper,0.63,transmission,0.547
4,papers,0.391,writer,0.426,paragraph,0.535,newfipaper,0.571,drakards,0.541,spaper,0.613,newspape,0.828,newspape,0.846,newpaper,0.856,newepaper,0.625,ewspaper,0.604,price—twopence,0.544
5,occurences,0.39,papers,0.419,paragraphs,0.52,newspa,0.571,journal,0.536,newspap,0.611,newepaper,0.824,nawspaper,0.835,nswspaper,0.841,newspa,0.624,newspa,0.592,newspapers,0.54
6,occurrence,0.389,libel,0.417,libellous,0.5,newipaper,0.562,observer,0.524,newspapei,0.601,newvspaper,0.81,nowspaper,0.834,nowspaper,0.838,newspape,0.62,newsp,0.56,generalv,0.535
7,writcr,0.389,fcurrilous,0.411,fcribbler,0.491,newfpapers,0.555,nicle,0.515,newspaper—,0.583,aewspaper,0.799,newapaper,0.83,newapaper,0.825,newspap,0.618,wspaper,0.549,generala,0.534
8,paragraphs,0.381,journal,0.409,yourpaper,0.491,newlpaper,0.543,paragraph,0.498,newspape,0.58,newspapor,0.799,newipaper,0.83,newspapar,0.817,newspaperj,0.605,edition,0.539,newspap,0.53
9,advertifer,0.381,courant,0.408,papers,0.488,newvfpaper,0.508,editor,0.491,newsp,0.576,newapaper,0.798,newvspaper,0.827,newepaper,0.816,newspapei,0.601,newspapers,0.539,sbires,0.529
10,transcribe,0.376,feditious,0.405,fcurrilous,0.482,newfpapcr,0.494,phlet,0.483,newvspapers,0.575,newspaper—,0.797,newspsper,0.827,newspapor,0.815,newsp,0.591,spaper,0.529,generaia,0.525
11,insert,0.375,pamphlet,0.404,graph,0.48,paragraph,0.484,publisher,0.48,wspaper,0.571,newspiper,0.795,ewspaper,0.825,newsiaper,0.814,ewspaper,0.587,widelycirculated,0.525,hochi,0.514
12,craftiman,0.374,ferted,0.395,gazetter,0.473,publisher,0.48,publishing,0.48,ewspaper,0.57,newspapei,0.792,wspaper,0.825,newsnaper,0.81,lpost,0.58,circulated,0.506,newspaperj,0.512
13,paper,0.367,fcandal,0.39,paper,0.473,libel,0.476,chronicle,0.476,satirist,0.562,newspapr,0.787,newspapsr,0.823,newvspaper,0.81,newspapers,0.579,—twopence,0.504,lpost,0.505
14,liflied,0.359,scandalous,0.387,graphs,0.471,newvspapers,0.473,chro,0.476,newspapers—,0.561,spaper,0.778,nevspaper,0.821,newspapsr,0.809,•post,0.559,herald,0.491,humanite,0.502
