,en_1880,en_1880_d,en_1920,en_1920_d,en_1940,en_1940_d
0,valleria,0.866,teutonic,0.604,actuality,0.545
1,alhani,0.865,germanic,0.599,halmstad,0.534
2,nordica,0.863,anglosaxon,0.54,hroar,0.529
3,yalleria,0.857,bantu,0.532,prinses,0.523
4,albaui,0.851,racial,0.51,huelva,0.511
5,albani,0.845,scythian,0.507,baltrader,0.511
6,albaai,0.841,odysseus,0.503,maersk,0.511
7,trebeui,0.837,iroquois,0.489,baltanglia,0.511
8,albanl,0.832,avanesov,0.487,londonbrook,0.51
9,trebelll,0.832,ardenhall,0.484,rotterdam,0.51
10,vaileria,0.83,varlaam,0.477,killurin,0.505
11,trebelli,0.829,racially,0.476,robrix,0.504
12,ravogli,0.828,embiricos,0.476,supremity,0.501
13,douilly,0.826,semitic,0.473,gladonia,0.5
14,vallerla,0.826,slava,0.472,leicesterbrook,0.499
15,nordics,0.824,patrician,0.471,holdernook,0.499
16,brema,0.824,konsul,0.47,lancasterbrook,0.498
17,melba,0.823,antinous,0.47,amsterdam,0.498
18,vaueria,0.819,grainton,0.469,petertown,0.497
19,nordiea,0.818,lorca,0.468,rotter,0.496
20,arnoldson,0.818,nietzsche,0.468,loannis,0.496
21,aibani,0.815,hannover,0.468,hullgate,0.496
22,trebelu,0.814,innesmoor,0.466,baltraffic,0.495
23,samuell,0.81,neckar,0.465,holdernaze,0.494
24,madane,0.808,onassi,0.464,turoy,0.494
25,marimon,0.807,talleyrand,0.463,humber—patria,0.492
26,alwina,0.807,moordrecht,0.463,consistence,0.492
27,normanneruda,0.806,ameland,0.46,ariosto,0.491
28,trebelh,0.805,phoenician,0.46,katerina,0.491
29,wilsonosman,0.804,romantics,0.46,norrix,0.49
30,madsme,0.803,anglosaxons,0.46,draco,0.489
31,enriquez,0.803,alfios,0.459,suavity,0.489
32,tremelli,0.801,nicolaou,0.458,tasso,0.489
33,eibenschutz,0.798,eskdene,0.458,borodino,0.487
34,frickenhaus,0.798,turco,0.458,asperity,0.486
35,maiame,0.797,winnebago,0.457,baltonia,0.486
36,madamo,0.794,belgic,0.457,athenic,0.485
37,eissler,0.794,mailed,0.457,thorden,0.484
38,scalchi,0.792,norbris,0.456,baltara,0.484
39,furschmadi,0.792,kenowis,0.455,saltend—pass,0.483
40,sembrich,0.791,sagas,0.455,philomel,0.482
41,vogri,0.79,scandina,0.454,bkrs,0.482
