,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,minutes,0.397,calamities,0.401,æra,0.439,periods,0.468,peiiod,0.746,peiiod,0.812,peiiod,0.805,peiiod,0.828,peiiod,0.933,peiiod,0.947,neriod,0.945,pericd,0.797,neriod,0.817,perod,0.697
1,stroke,0.368,life,0.38,periods,0.423,events,0.457,pcriod,0.715,petiod,0.802,petiod,0.785,petiod,0.802,jieriod,0.906,poriod,0.927,peiiod,0.945,peiiod,0.776,peiiod,0.759,neriod,0.686
2,events,0.365,conclusion,0.375,conclulion,0.42,riod,0.443,petiod,0.643,pcriod,0.783,eriod,0.742,peried,0.773,neriod,0.899,pericd,0.924,pericd,0.937,poriod,0.758,penod,0.743,penod,0.684
3,syllable,0.36,troubles,0.369,interval,0.411,conclulion,0.431,riod,0.609,riod,0.735,riod,0.724,riod,0.757,poriod,0.869,neriod,0.922,pariod,0.908,jieriod,0.741,poriod,0.73,oeriod,0.665
4,dissolution,0.36,lise,0.369,circumfiance,0.402,revolution,0.428,priod,0.569,perind,0.709,penod,0.719,periodl,0.756,pericd,0.86,peried,0.916,deriod,0.907,penod,0.741,perod,0.727,deriod,0.635
5,scope,0.355,human,0.364,conclurion,0.392,revo,0.427,periods,0.556,periodof,0.702,perind,0.71,periol,0.743,periud,0.857,periol,0.905,oeriod,0.907,oeriod,0.727,oeriod,0.724,periods,0.599
6,question,0.354,lite,0.363,conquest,0.38,revolu,0.422,crifis,0.523,peiod,0.696,periodof,0.704,perlod,0.73,peried,0.855,psriod,0.904,petiod,0.904,periodof,0.715,pericd,0.704,fourweekly,0.567
7,afoot,0.349,eternity,0.361,diffolution,0.375,difpenfations,0.413,commencement,0.516,perod,0.693,peried,0.703,pericd,0.717,perioel,0.848,pariod,0.902,ieriod,0.9,ieriod,0.714,reriod,0.687,eriod,0.555
8,providences,0.341,presage,0.355,circumftance,0.369,tranfaftions,0.411,conjuncture,0.495,ptriod,0.689,periud,0.699,eriod,0.717,petiod,0.848,petiod,0.894,perioi,0.9,eriod,0.711,jieriod,0.682,during,0.508
9,confounded,0.34,fpace,0.355,livine,0.368,recorded,0.407,epocha,0.493,peribd,0.689,ptriod,0.686,penod,0.716,ieriod,0.845,ieriod,0.888,psriod,0.897,petiod,0.692,ieriod,0.682,fourweeks,0.501
