,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,petersburgh,0.724,petersburgh,0.879,stockholm,0.779,peterfburgh,0.804,peteriburg,0.784,petersburgh,0.915,petersburgh,0.91,petersburgh,0.953,peterburg,0.927,peterburg,0.923,moscow,0.747,petrograd,0.527,moritz,0.509
1,stockholm,0.703,stockholm,0.867,petersburgh,0.736,stockholm,0.78,peterfburg,0.777,petersbnrgh,0.795,petersburgb,0.859,petcrsburgh,0.947,petersbarg,0.925,petersbuig,0.914,peteisburg,0.731,moritz,0.497,pushkin,0.5
2,moscow,0.691,petersbourg,0.828,peterfburgh,0.717,copenhagen,0.779,peterlburg,0.764,petersburgb,0.793,petershurgh,0.849,petersburgb,0.945,petersbnrg,0.919,peteraburg,0.911,tokio,0.721,leipsic,0.48,constantinople,0.492
3,petersbourg,0.69,copenhagen,0.761,peterfburg,0.708,peterfburg,0.764,memel,0.759,pctersburgh,0.786,peteraburgh,0.825,petersbnrgh,0.943,petersburgh,0.915,petereburg,0.908,novoye,0.716,kharkoff,0.475,tsarist,0.473
4,copenhagen,0.683,peterfbourg,0.754,peterlburgh,0.7,petersburgh,0.763,petersburgh,0.741,petershurgh,0.783,peterburgh,0.81,peteraburgh,0.924,peteraburg,0.896,petersbarg,0.906,helsingfors,0.715,wolfgang,0.472,tiflis,0.47
5,berlin,0.673,petersburgb,0.752,peterf,0.69,peterlburgh,0.749,stettin,0.726,petcrsburgh,0.781,petersbnrgh,0.803,petereburgh,0.916,potersburg,0.889,petersbnrg,0.905,peterburg,0.714,petersburgh,0.467,valeryencaux,0.456
6,dantzick,0.648,dantzick,0.739,peterlburg,0.689,peterlburg,0.745,pillau,0.722,petersbargh,0.769,pctersburgh,0.8,pctersburgh,0.907,pctersburg,0.883,petersbur,0.901,petrograd,0.708,ekaterinburg,0.463,caux,0.447
7,revel,0.638,moscow,0.734,peterlbourg,0.675,peterburgh,0.723,gothenburg,0.721,petersburgli,0.764,petcrsburgh,0.798,petersbargh,0.906,etersburg,0.881,ietersburg,0.896,vremya,0.703,sofia,0.462,czarist,0.446
8,copen,0.631,peterfburg,0.73,peteriburgh,0.674,peteriburgh,0.716,petcriburgh,0.72,peterburgh,0.762,fetersburgh,0.777,petersburgli,0.906,petorsburg,0.871,peteisburg,0.896,novoe,0.701,serajevo,0.461,hospice,0.443
9,coningsberg,0.627,pctersburgh,0.724,petersbourg,0.659,vienna,0.712,stockholm,0.718,perersburgh,0.741,petersbargh,0.768,potersburgh,0.901,ietersburg,0.871,potersburg,0.881,etersburg,0.7,teheran,0.458,russianoccupied,0.43
10,mittau,0.621,peterfburgh,0.708,peterfbourg,0.658,petcrlburgh,0.7,peterburg,0.715,stockholm,0.737,pelersburgh,0.754,petorsburgh,0.899,petereburgh,0.871,etersburg,0.88,petersburg—,0.689,constanti,0.456,zita,0.429
11,riga,0.603,riga,0.707,copenhagen,0.652,pcterfburgh,0.696,gottenburg,0.713,peteriburgh,0.733,petersburgli,0.753,petershurgh,0.895,peteisburg,0.867,petershurg,0.88,novosti,0.686,moscow,0.455,neuve,0.425
12,mofcow,0.598,peterlbourg,0.701,hamburgh,0.61,petcrfburgh,0.69,dantzig,0.711,peterfburg,0.716,riga,0.747,peterburg,0.893,petershurg,0.866,petcrsburg,0.875,petersbur,0.682,pctrograd,0.449,vienna,0.421
13,dresden,0.593,peteribourg,0.698,hamburg,0.605,hamburg,0.688,petcrfburg,0.707,peterfburgh,0.712,petersbuigh,0.745,petersbnrg,0.89,petereburg,0.865,pctersburg,0.875,tiflis,0.663,poitiers,0.446,archangel,0.421
14,zick,0.592,perersburgh,0.697,riga,0.588,hamburgh,0.682,riga,0.706,peteisburgh,0.702,odessa,0.742,peterburgh,0.889,peteraburgh,0.862,petersberg,0.872,eydtkuhnen,0.657,montenegrin,0.443,andreas,0.416
15,copenha,0.584,hamburg,0.695,vienna,0.581,peterf,0.679,bremen,0.706,tersburgh,0.698,peterburg,0.741,fetersburgh,0.886,petersbuig,0.859,petersourg,0.869,parisien,0.656,marburg,0.442,charless,0.413
16,czar,0.572,perersbourg,0.69,dantzick,0.572,peteriburg,0.678,mernel,0.698,peterf,0.693,petersbur,0.739,petersbarg,0.885,petersbur,0.858,petersbura,0.868,pctrograd,0.653,neuilly,0.441,knighted,0.413
17,constantinople,0.571,peterlburg,0.683,dantzic,0.567,peterfbourg,0.672,pcterfburg,0.696,peterlburgh,0.685,ietersburgh,0.738,peteraburg,0.884,stpetersburg,0.85,petrsburg,0.867,alexeieff,0.65,trotsky,0.44,napoleons,0.412
18,gottemburg,0.57,peteriburg,0.68,berlin,0.547,warfaw,0.658,memnel,0.693,riga,0.677,petersburghl,0.736,pelersburgh,0.877,petersbuirg,0.849,letersburg,0.865,kieff,0.646,francoprussian,0.439,vladimir,0.412
19,vienna,0.57,hambourg,0.68,warfaw,0.541,peterlbourg,0.652,pillaw,0.691,konigsberg,0.658,stockholm,0.734,petersbugh,0.873,petersburgb,0.849,retersburg,0.865,yremya,0.646,metternich,0.438,martininthefields,0.405
20,penhagen,0.569,vienna,0.675,gottenbourg,0.541,berlin,0.649,wyburg,0.691,copenhagen,0.643,petersburghi,0.732,petersbuigh,0.873,retersburg,0.844,petersburz,0.862,tckio,0.646,constantinople,0.437,1913,0.405
