,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,publics,0.564,publick,0.77,publick,0.799,publick,0.764,publie,0.824,pubic,0.853,puhlic,0.884,puhlic,0.891,puhlic,0.925,puhlic,0.937,puhlic,0.911,publio,0.854,publio,0.875,publio,0.79
1,publick,0.551,pubiick,0.722,pubiick,0.784,pubic,0.734,pubiic,0.794,pubiic,0.841,pubiic,0.869,pnblic,0.89,pnblic,0.922,nublic,0.922,pablic,0.91,puhlic,0.833,publie,0.857,pubic,0.762
2,pub,0.419,puhlick,0.678,publiek,0.745,publc,0.7,pubic,0.785,puhlic,0.841,pnblic,0.863,pubiic,0.874,nublic,0.916,pablic,0.92,pnblic,0.907,pubhc,0.82,pubiic,0.837,pubiic,0.747
3,entry,0.394,publics,0.663,fublick,0.74,publie,0.696,thepublic,0.76,publie,0.841,pablic,0.857,pablic,0.857,publio,0.911,pnblic,0.919,eublic,0.906,pubho,0.794,pubic,0.834,puolic,0.744
4,lick,0.388,pnblick,0.648,publics,0.728,pubick,0.676,pablic,0.754,publc,0.828,pubic,0.844,publie,0.842,pubiic,0.903,publio,0.919,pubiic,0.893,pumic,0.787,puolic,0.828,publc,0.741
5,deceived,0.347,publiek,0.645,puhlick,0.712,publiek,0.676,puhlic,0.746,thepublic,0.825,publie,0.832,poblic,0.84,pubbc,0.9,pubiic,0.912,nublic,0.893,pubiic,0.787,puhlic,0.825,puhlic,0.723
6,publication,0.345,publiclc,0.623,pubhck,0.712,pablick,0.664,piblic,0.74,publit,0.822,pubhc,0.818,piblic,0.835,pubhc,0.895,sublic,0.908,publie,0.891,pubiio,0.783,pnblic,0.824,pubhc,0.714
7,res,0.338,pubhck,0.581,pubick,0.709,thepublic,0.65,publc,0.737,pablic,0.819,poblic,0.814,pubic,0.828,pnhlic,0.88,puolic,0.903,pubfic,0.888,pubbc,0.78,nublic,0.819,pubuc,0.708
8,solemn,0.332,pubhek,0.578,pablick,0.702,pubiick,0.639,publick,0.729,pulic,0.814,publc,0.813,publio,0.826,puolic,0.877,pubbc,0.901,rublic,0.885,puhlio,0.78,pubhc,0.814,oublic,0.705
9,aut,0.329,fublick,0.577,publiclc,0.696,thepublick,0.631,ublic,0.724,pnblic,0.812,piblic,0.811,iublic,0.811,pablic,0.876,phblic,0.899,publia,0.881,pnblic,0.771,pubiio,0.806,publie,0.69
10,feu,0.32,pubick,0.563,poblick,0.684,publitk,0.629,pulic,0.723,piblic,0.811,iublic,0.808,pubhc,0.806,pubiie,0.873,pnblie,0.896,puolic,0.878,pubic,0.768,pubho,0.798,üblic,0.682
11,publique,0.314,pablick,0.551,piiblick,0.677,puhlick,0.623,pnblic,0.723,publick,0.811,ptiblic,0.806,puolic,0.803,oublic,0.87,pullic,0.895,pubbc,0.873,publie,0.756,oublic,0.771,pnblic,0.678
12,secrets,0.312,ublick,0.54,publitk,0.667,publck,0.621,publit,0.717,puiblic,0.791,puolic,0.786,pullic,0.802,pnblie,0.857,punlic,0.888,punlic,0.873,pubuc,0.744,pubbc,0.769,nublic,0.671
13,tales,0.312,lick,0.522,ublick,0.657,ublic,0.618,lublic,0.71,pullic,0.79,fublic,0.786,pulilic,0.802,puhlio,0.856,eublic,0.885,pullic,0.873,nublic,0.743,publc,0.768,dublic,0.671
14,deum,0.306,pub,0.509,ptiblick,0.655,publirk,0.616,puiblic,0.709,lublic,0.787,thepublic,0.783,ptblic,0.791,pnblio,0.855,publlc,0.884,vublic,0.869,pubjic,0.728,pumic,0.767,nubile,0.653
15,plus,0.303,thepublick,0.489,publck,0.655,publik,0.608,ptblic,0.703,pubtic,0.786,ptblic,0.779,pubuc,0.791,pubuc,0.855,poblic,0.884,pnhlic,0.867,pnblio,0.722,üblic,0.76,lic,0.643
16,nec,0.302,publicly,0.444,pubtick,0.655,lublick,0.606,puilic,0.702,iublic,0.785,pullic,0.776,pblic,0.788,publia,0.854,piblic,0.883,publip,0.866,üblic,0.718,puhlio,0.755,blic,0.625
17,vows,0.3,publ,0.399,pnblick,0.653,pablic,0.606,ptiblic,0.702,poblic,0.778,publir,0.769,thepublic,0.781,pubiio,0.851,pubiie,0.875,piblic,0.865,puwio,0.712,publia,0.752,fublic,0.617
18,xl,0.298,compendiously,0.386,pubhek,0.65,publicl,0.602,iublic,0.695,ptblic,0.777,pubtic,0.765,publir,0.779,publie,0.851,pubhc,0.875,ptblic,0.864,puiblio,0.712,rublic,0.745,publ,0.579
19,audiences,0.297,publi,0.363,pubjick,0.649,poblick,0.591,publio,0.691,ptiblic,0.767,puhiic,0.762,puiblic,0.778,pnbiic,0.845,pubtic,0.873,pnblie,0.862,puhiic,0.711,pubjic,0.738,pubi,0.579
20,profit,0.296,nation,0.355,publlck,0.64,pubiic,0.588,poblic,0.686,ublic,0.76,publk,0.758,pnblie,0.775,mblic,0.844,publie,0.872,oublic,0.862,oublic,0.71,fublic,0.738,ublic,0.56
21,voluntary,0.296,national,0.346,thepublick,0.635,publickl,0.58,fublic,0.682,pblic,0.754,puilic,0.755,publc,0.772,pumic,0.84,pubho,0.872,publfc,0.862,publc,0.708,dublic,0.731,pub,0.533
22,rem,0.294,prescription,0.339,publirk,0.633,iublick,0.579,pullic,0.679,publici,0.753,puiblic,0.754,pulblic,0.769,jublic,0.836,puldic,0.871,publlc,0.859,pubfic,0.706,iublic,0.719,publi,0.531
23,dience,0.292,private,0.332,pubfick,0.632,publici,0.575,pubtic,0.674,piublic,0.751,pulblic,0.747,puldic,0.768,puhiic,0.833,pubiio,0.869,publiu,0.858,ptiblic,0.699,lublic,0.716,publlc,0.503
