,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,rhetorick,0.696,logic,0.622,logic,0.673,rhetorick,0.717,elocution,0.624,philosophy,0.687,metaphysics,0.807,rhetorical,0.852,rhetorical,0.886,rhetorical,0.774,eloquence,0.602,rhetorical,0.613
1,poetry,0.519,rhetorick,0.595,aftronomy,0.607,lettres,0.64,philosophy,0.624,astronomy,0.619,rhetorical,0.794,rhetorio,0.842,rhetorio,0.873,eloquence,0.748,rhetorical,0.597,cliches,0.601
2,logick,0.517,aftronomy,0.56,ethics,0.592,lcttres,0.614,lettres,0.607,elocution,0.606,logic,0.786,declamation,0.815,vituperation,0.848,declamation,0.7,prudery,0.584,oratory,0.593
3,rherorick,0.515,geometry,0.549,aflronomy,0.592,lettrcs,0.599,theology,0.605,rhetorical,0.604,epigrams,0.771,mysticism,0.808,invective,0.847,vituperation,0.697,invective,0.574,eloquence,0.591
4,philology,0.474,aflronomy,0.529,logick,0.591,philofophy,0.595,astronomy,0.596,logic,0.596,philosophy,0.758,eloquence,0.805,declamation,0.84,invective,0.684,partisan,0.572,phrases,0.585
5,losophy,0.474,ethics,0.525,philofophy,0.582,logic,0.593,ology,0.583,theology,0.588,philosophv,0.756,epigrams,0.796,platitudes,0.834,platitudes,0.682,arrogance,0.567,theologians,0.581
6,grammar,0.467,afironomy,0.522,pneumatics,0.575,belles,0.582,losophy,0.579,geometry,0.586,oratory,0.756,idealism,0.794,sophistical,0.833,oratorical,0.674,adulation,0.566,altruism,0.576
7,tropes,0.464,arithmetick,0.499,theology,0.565,philorophy,0.564,toric,0.555,chemistry,0.566,demosthenes,0.754,invective,0.791,argumentation,0.829,perfervid,0.665,visionary,0.566,adulation,0.575
8,romances,0.464,chymiftry,0.497,optics,0.544,philolophy,0.558,philofophy,0.554,mineralogy,0.561,theology,0.747,dialectics,0.787,eloquence,0.824,imagination,0.661,idealism,0.563,romanticism,0.574
9,logic,0.462,poetry,0.496,algebra,0.543,logick,0.558,accidence,0.55,versification,0.559,dialectics,0.745,dogmatism,0.784,rhetorician,0.822,phrases,0.661,hypocrisy,0.562,lucidity,0.573
