,en_1640,en_1640_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,liberties,0.701,prerogatives,0.648,liberties,0.69,privileges,0.725,privileges,0.648,privileges,0.833,rihts,0.79,tights,0.77,privileges,0.804,rigbts,0.906,rigbts,0.891,rignts,0.899,righto,0.839,rignts,0.73,inalienable,0.622
1,priviledges,0.625,privileges,0.637,privileges,0.675,liberties,0.722,liberties,0.642,liberties,0.739,riglits,0.788,riglits,0.766,rigbts,0.793,rightsand,0.883,righto,0.889,rigbts,0.894,righta,0.798,riehts,0.703,liberties,0.606
2,crown,0.606,priviledges,0.618,prerogatives,0.646,priviledges,0.671,prerogatives,0.593,rghts,0.724,privileges,0.769,privileges,0.752,righits,0.781,righto,0.873,rghts,0.879,riehts,0.885,rignts,0.794,righte,0.692,sovereignty,0.565
3,clergie,0.594,liberties,0.606,priviledges,0.621,prerogatives,0.656,immunities,0.535,righs,0.721,tights,0.767,rigbts,0.746,righis,0.778,riehts,0.872,righta,0.87,righis,0.881,riehts,0.779,rghts,0.652,selfdetermination,0.549
4,ancient,0.563,privi,0.561,privi,0.613,rigbts,0.651,independence,0.523,rigbts,0.717,righits,0.765,rightsand,0.739,rightsand,0.764,rightsof,0.869,rignts,0.857,righte,0.879,right®,0.754,righta,0.615,independence,0.521
5,lawes,0.527,prerogative,0.538,berties,0.603,vileges,0.631,pretentions,0.505,franchifes,0.702,riglts,0.763,rightsof,0.731,riglits,0.761,privileges,0.866,righte,0.852,rihts,0.879,rghts,0.721,richts,0.601,interests,0.512
6,royall,0.52,sovereignty,0.506,libertys,0.595,immunities,0.625,vileges,0.502,therights,0.698,rightsof,0.761,rihts,0.721,immunities,0.757,righis,0.866,riehts,0.852,riahts,0.875,righte,0.721,privileges,0.591,wrongs,0.509
7,lives,0.514,succession,0.497,immunities,0.576,privi,0.62,privi,0.501,tights,0.689,rigits,0.759,righits,0.721,righlts,0.755,rihts,0.863,rightsand,0.851,riguts,0.873,risrhts,0.714,righto,0.581,privileges,0.508
8,ig,0.493,laws,0.489,vileges,0.559,righs,0.608,independency,0.488,rihts,0.679,righis,0.758,righis,0.721,rihts,0.752,rghts,0.859,rihts,0.839,righta,0.872,righis,0.706,inalienable,0.575,riparian,0.502
9,eftates,0.482,fundamental,0.485,birthright,0.529,libertics,0.596,birthright,0.483,privi,0.677,rghts,0.742,righlts,0.712,rigits,0.751,rignts,0.856,rightsof,0.837,rghts,0.858,rigbts,0.695,bights,0.561,minorities,0.5
10,means,0.482,charters,0.482,prerogative,0.507,righti,0.541,pretenfions,0.481,righis,0.662,riglhts,0.741,rigits,0.711,riehts,0.749,riglhts,0.856,rlghts,0.831,richts,0.856,rishts,0.689,immunities,0.544,decencies,0.492
11,minifters,0.48,properties,0.478,exemptions,0.506,affertors,0.539,poffeflions,0.467,prerogatives,0.656,righlts,0.731,rghts,0.7,righta,0.747,riahts,0.855,righis,0.83,riglts,0.852,riglits,0.688,infringes,0.529,obligations,0.491
12,laws,0.477,asserting,0.477,property,0.5,afferters,0.517,berties,0.464,immunities,0.646,rigbts,0.722,bights,0.68,righto,0.745,therights,0.849,rishts,0.829,righto,0.85,richts,0.682,commonable,0.528,status,0.491
13,intereft,0.471,assert,0.476,enjoyment,0.493,franchifes,0.511,incroachment,0.461,vileges,0.643,righs,0.719,therights,0.674,rghts,0.741,righits,0.845,riglts,0.823,riglhts,0.843,ngnts,0.656,prerogatives,0.523,immunities,0.488
14,grace,0.467,successors,0.473,leges,0.49,franchises,0.509,poffeffions,0.458,leges,0.639,therights,0.718,riglts,0.664,tights,0.737,righlts,0.84,righits,0.822,righits,0.842,rigbta,0.623,wrongs,0.518,freedom,0.488
15,ruine,0.463,invaded,0.471,soveraignty,0.487,independency,0.508,derogatory,0.458,unalienable,0.634,rightsand,0.717,righs,0.662,rightsof,0.736,riglts,0.839,rightß,0.822,rightsof,0.841,righs,0.6,vileges,0.515,renouncing,0.487
16,religion,0.458,governing,0.464,sovereignty,0.477,preroga,0.507,jurif,0.454,righti,0.632,rightsi,0.703,riglhts,0.653,righu,0.727,immunities,0.839,rigits,0.821,righlts,0.838,righu,0.594,righs,0.514,prerogative,0.487
17,ons,0.455,heirs,0.461,undoubted,0.476,freedom,0.506,fubjeds,0.453,birthrights,0.612,righrs,0.7,righto,0.651,rigiits,0.725,righta,0.836,righlts,0.81,rizhts,0.837,nghta,0.587,liberties,0.512,violates,0.486
18,sub,0.453,enjoyment,0.453,hierarchy,0.473,possessions,0.501,encroachments,0.452,conllitutional,0.611,rigts,0.698,immunities,0.65,riglts,0.714,righu,0.831,therights,0.81,rightsand,0.829,righits,0.585,sovereignty,0.508,equality,0.484
19,forme,0.453,liber,0.45,gallican,0.469,welfare,0.493,welfare,0.452,interefts,0.604,franchifes,0.696,liberties,0.642,righs,0.708,riglits,0.827,privileges,0.808,rightß,0.823,rihts,0.583,extraterritorial,0.495,abrogation,0.483
20,intentions,0.453,interests,0.441,invaders,0.466,berties,0.489,conftitution,0.448,libertie,0.601,rlights,0.694,ights,0.636,therights,0.705,irights,0.821,riahts,0.807,rishts,0.82,liberties,0.576,jurisdictions,0.494,prerogatives,0.483
21,pr,0.449,lawfull,0.441,rightful,0.46,gallican,0.487,infringe,0.447,privile,0.591,rigihts,0.691,manerial,0.63,vileges,0.703,righte,0.818,immunities,0.806,riglits,0.814,bights,0.572,privi,0.489,sanctity,0.48
22,tender,0.446,property,0.439,authority,0.455,enjoyment,0.485,succeflion,0.445,libertics,0.587,prerogatives,0.673,franchises,0.622,priviliges,0.702,richts,0.817,righs,0.802,rlghts,0.812,rights—,0.563,renounce,0.485,heritages,0.474
23,wayes,0.445,esta,0.431,laws,0.454,leges,0.481,interefts,0.445,interelts,0.584,righti,0.673,privi,0.616,privi,0.701,inalienable,0.815,privdeges,0.8,rijhts,0.811,prerogatives,0.563,rights—,0.483,jurisdiction,0.473
