,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,rulers,0.426,rule,0.437,unerring,0.522,difpofer,0.494,proteor,0.532,rulers,0.558,rulers,0.558,usurper,0.776,despot,0.786,rnler,0.825,rulers,0.637,rulers,0.617,slavian,0.496
1,supreme,0.414,lawgiver,0.433,wifidom,0.511,fupreme,0.466,changeling,0.525,tyrant,0.546,destinies,0.542,despot,0.752,rnler,0.774,kuler,0.747,rnler,0.602,tyrant,0.551,charlemagne,0.493
2,tyrants,0.39,tyrants,0.425,eternal,0.452,rulers,0.455,marlk,0.512,precipitate,0.538,lawgiver,0.532,rnler,0.733,rulers,0.733,statesman,0.745,ruier,0.59,patriarch,0.523,emir,0.493
3,supream,0.39,omnipotent,0.422,heaven,0.45,omnipotent,0.451,eclipre,0.51,imperator,0.533,monarch,0.528,dictator,0.721,khalifate,0.709,overlord,0.739,kuler,0.587,ghazi,0.515,usurper,0.486
4,merciful,0.384,obey,0.413,blefsd,0.447,almighty,0.444,eclipfie,0.508,pharamond,0.527,despot,0.528,lawgiver,0.714,satrap,0.706,rulor,0.735,despotic,0.514,hussein,0.507,scallywag,0.486
5,rule,0.381,governing,0.411,beings,0.447,governs,0.444,vandal,0.506,pretender,0.523,tyrant,0.518,satrap,0.711,puppet,0.705,rulers,0.727,dethroned,0.512,emir,0.506,garter,0.484
6,earthly,0.38,unerring,0.406,wifdom,0.446,creator,0.419,pharamond,0.497,boaster,0.521,pharoah,0.496,destinies,0.702,destiny,0.702,follower,0.724,rulership,0.51,potentate,0.506,marisco,0.482
7,miracles,0.371,almighty,0.405,rule,0.444,rule,0.418,ecliple,0.494,usurper,0.515,destiny,0.495,autocratic,0.701,satraps,0.701,autocracy,0.722,despotism,0.51,lawgiver,0.505,hedjaz,0.477
8,birthright,0.365,powr,0.398,deity,0.437,legiflator,0.418,highilyer,0.49,dclpini,0.514,sovereignty,0.493,potentate,0.701,slaveowner,0.701,rulership,0.722,patriarch,0.508,suleiman,0.505,mendicant,0.475
9,gods,0.364,rules,0.396,rules,0.433,supreme,0.416,mambrino,0.489,thulle,0.513,autocrat,0.487,tyrant,0.701,despotism,0.699,bondslave,0.721,uncrowned,0.504,kuler,0.501,reza,0.47
10,soveraigns,0.363,merciful,0.394,omnipotent,0.431,creators,0.414,hcrod,0.488,pot8os,0.51,usurper,0.483,prophet,0.7,destinies,0.698,dictatorship,0.717,statesman,0.502,emperor,0.498,heretic,0.468
11,vul,0.362,jove,0.391,adore,0.423,heaven,0.411,ranthos,0.487,highflier,0.509,potentate,0.479,destiuies,0.693,autocratic,0.695,intriguer,0.717,autocratic,0.501,monarchy,0.487,prince,0.467
12,confciences,0.362,monarch,0.39,natures,0.423,sovereign,0.406,chryfolite,0.484,damby,0.509,autocrats,0.478,tyraut,0.693,vassal,0.694,effacement,0.711,despot,0.5,overlord,0.485,pontus,0.467
13,freeborn,0.36,governs,0.386,creations,0.422,god,0.405,stargazer,0.483,selim,0.508,viceroy,0.473,pontiff,0.69,abdicates,0.689,nonintervention,0.711,reigning,0.5,oppressor,0.485,cosmitor,0.467
14,jefus,0.359,heavnly,0.382,governs,0.42,evermore,0.402,highfiyer,0.482,goldfinder,0.503,dominion,0.472,autocracy,0.69,autocracy,0.687,inexpugnable,0.71,throne,0.492,abdul,0.483,figurehead,0.465
15,righteous,0.357,benign,0.381,afpiring,0.419,righteous,0.4,hightlyer,0.478,sultan,0.501,arbiter,0.47,destiny,0.687,despotic,0.687,autocratic,0.706,intriguer,0.491,khalif,0.481,federalist,0.465
16,hierarchy,0.355,blockhead,0.377,implicit,0.419,fcourge,0.4,sweetbriar,0.478,hisdam,0.501,sovereign,0.469,autocrat,0.685,dynasty,0.686,disestablisher,0.705,absolutism,0.488,deity,0.48,festina,0.464
17,soveraign,0.351,heavn,0.377,fhine,0.419,fealty,0.397,matchcm,0.476,stride,0.5,mighty,0.469,dethroned,0.679,raler,0.685,pacificator,0.704,sovereignty,0.488,arab,0.479,blackador,0.463
18,invidious,0.351,tributary,0.376,dictates,0.416,legislative,0.397,hlerod,0.475,matcbem,0.496,legislator,0.468,islam,0.673,satrapy,0.684,potentate,0.704,overlord,0.485,dictator,0.478,orphrey,0.459
