,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,ruffia,0.697,ruffia,0.802,equilibres,0.523,sweden,0.56,rullia,0.749,kussia,0.809,kussia,0.866,bussia,0.942,eussia,0.951,rnssia,0.925,bussia,0.819,bussia,0.813,russias,0.721
1,ruflia,0.59,rustia,0.734,ruflia,0.504,peterburgh,0.556,ruffia,0.727,rnssia,0.792,rusia,0.834,rnssia,0.935,rnssia,0.939,eussia,0.924,rumania,0.806,kussia,0.796,finland,0.721
2,volhinia,0.467,rullia,0.714,ballances,0.498,poland,0.544,russi,0.724,itussia,0.778,rnssia,0.83,rassia,0.914,ruasia,0.936,hussia,0.923,austria,0.801,rusia,0.782,kussia,0.703
3,turky,0.463,ruflia,0.712,ladderdancing,0.484,ivarfaw,0.533,ruflia,0.716,rissia,0.772,itussia,0.826,kussia,0.905,rassia,0.933,rassia,0.916,roumania,0.794,russias,0.769,allies,0.698
4,turkey,0.449,raffia,0.683,poflures,0.456,constantinople,0.525,empress,0.709,rusia,0.767,rassia,0.805,llussia,0.901,kussia,0.932,kussia,0.915,austriahungary,0.787,germany,0.769,ussr,0.693
5,dantzick,0.446,muscovy,0.674,ruffia,0.45,ruffia,0.522,rusia,0.7,hussia,0.749,bussia,0.792,rusaia,0.897,bussia,0.926,ruasia,0.901,bulgaria,0.783,ussr,0.744,america,0.692
6,hemp,0.417,rulfia,0.666,rullia,0.436,rullia,0.503,rulfia,0.7,russa,0.74,rtussia,0.78,rusia,0.896,rusaia,0.915,rusaia,0.901,germany,0.782,eussia,0.733,ukraine,0.678
7,bremen,0.412,ruilia,0.661,czar,0.428,ruflia,0.502,ruilia,0.688,russi,0.738,hussia,0.773,itussia,0.888,liussia,0.914,bussia,0.895,kussia,0.774,soviet,0.731,balkans,0.674
8,riga,0.41,russian,0.655,rufia,0.415,stockholm,0.501,rufiia,0.667,ruffia,0.735,llussia,0.771,ruasia,0.884,ruesia,0.912,ruesia,0.89,serbia,0.765,soviets,0.721,poland,0.671
9,flax,0.406,ruffla,0.633,ottoman,0.399,warsaw,0.492,prussia,0.666,prussia,0.735,ltussia,0.762,eussia,0.871,hussia,0.911,llussia,0.886,russias,0.765,moscow,0.711,bulgaria,0.671
