,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,scandinavian,0.609,scandinavian,0.804,dinavia,0.808,scaudinavia,0.898,dinavia,0.809,dinavia,0.795,dinavia,0.715
1,byzantine,0.53,sweden,0.753,navia,0.756,dinavia,0.841,navia,0.774,navia,0.73,norway,0.699
2,zembla,0.53,germany,0.746,scandi,0.734,scandi,0.834,sweden,0.695,scandi,0.702,sweden,0.678
3,icelandic,0.528,norway,0.74,norway,0.72,298in,0.823,scandi,0.687,scandin,0.683,balkans,0.645
4,airica,0.52,scandi,0.733,xorway,0.7,293in,0.811,scandin,0.663,anticyclones,0.644,navia,0.642
5,travels,0.517,sweeden,0.726,swreden,0.697,296in,0.809,norway,0.635,faeroes,0.634,europe,0.638
6,iravels,0.516,norwav,0.721,equator,0.688,29sin,0.802,barometric,0.618,anticyclone,0.624,finland,0.622
7,malayan,0.513,scandinavians,0.713,bweden,0.682,295in,0.796,anticyclone,0.613,depressions,0.617,continent,0.618
8,palestine,0.511,polynesia,0.711,noray,0.68,299in,0.79,christiansund,0.605,secondaries,0.596,america,0.614
9,polar,0.51,iceland,0.7,germary,0.675,297in,0.789,upwards—are,0.6,azores,0.59,germany,0.604
10,tiavels,0.506,germnany,0.696,thenortb,0.673,292in,0.788,norwav,0.599,norway,0.585,scandinavian,0.598
11,mollusca,0.505,ermany,0.691,adriatic,0.673,294in,0.786,ooasts,0.593,coasts,0.582,russia,0.595
12,ravels,0.505,norwegians,0.688,lermany,0.672,navia,0.785,southeastward,0.592,inference—an,0.581,scandi,0.595
13,humboldts,0.504,oermany,0.685,norwav,0.671,norwav,0.783,coasts,0.59,anticyclonic,0.572,switzerland,0.589
14,mytho,0.503,egean,0.684,swveden,0.668,layover,0.778,skudesnaes,0.59,eastsouth,0.566,ussr,0.586
15,hittory,0.501,germanv,0.683,sweden,0.667,coasts,0.773,cyclonic,0.584,sweden,0.565,countries,0.586
16,wildernesses,0.498,palestine,0.682,norvay,0.667,30oin,0.77,ooaste,0.577,—pressure,0.565,poland,0.582
17,ichthyology,0.497,gernany,0.681,norwa,0.665,lowest29,0.769,franoe,0.574,isles,0.561,france,0.581
18,unexplored,0.497,germauy,0.68,vistula,0.663,southwestward,0.758,finland,0.57,inference—pressure,0.552,dinavian,0.577
19,iceland,0.496,greece,0.679,runia,0.663,anticyclone,0.758,southwestward,0.569,continent,0.55,neutrals,0.571
20,vovages,0.495,navian,0.678,bothnia,0.662,swedeu,0.758,anticyclones,0.568,northeastwards,0.548,balkan,0.569
21,asia—,0.493,rhineland,0.675,ccasts,0.66,xorway,0.757,anticyclonic,0.566,norwav,0.545,spain,0.567
22,researches,0.493,germanyand,0.672,norwvay,0.66,30lin,0.756,northeastward,0.565,inferencea,0.542,rumania,0.566
23,abyssinia,0.49,scandina,0.67,alnerica,0.658,sweden,0.756,southeastwards,0.565,eastwards,0.542,italy,0.564
24,ducas,0.489,franco,0.669,sveden,0.656,shetlands,0.756,pressures,0.564,navian,0.54,bulgaria,0.559
25,chaldean,0.489,anglosaxons,0.669,noiway,0.654,norway,0.752,germanv,0.56,europe,0.54,norways,0.558
26,numidia,0.487,sclavonia,0.666,haparanda,0.653,gradients,0.751,franee,0.555,faroes,0.539,hemisphere,0.557
27,italy,0.485,geimany,0.663,christiansund,0.651,305in,0.748,skagen,0.555,inference—the,0.539,hungary,0.557
28,burckhardts,0.485,swveden,0.663,iermany,0.649,nornay,0.745,portugal,0.554,inference—a,0.537,greece,0.555
29,sardis,0.485,swedeu,0.659,norwy,0.645,302in,0.744,shetlands,0.552,terranean,0.534,belgium,0.552
30,hydrography,0.484,norwvay,0.655,southwesterly,0.643,shetiands,0.744,denmark,0.55,biscay,0.533,yugoslavia,0.549
31,mauritania,0.484,germiany,0.652,westerly,0.642,auticyclone,0.744,depressions,0.549,inference—,0.528,norwav,0.549
32,regions—,0.483,fraice,0.652,swden,0.641,skager,0.744,southwast,0.545,america,0.526,kurope,0.546
33,polynesian,0.483,gcrmany,0.651,ermany,0.639,northnortheasterly,0.743,sumburgh,0.544,midatlantic,0.523,canada,0.545
34,regions,0.481,germsany,0.647,6pain,0.638,southbwest,0.741,spain,0.544,northoast,0.522,switzer,0.545
35,sclavonic,0.481,europe,0.647,westnorth,0.637,nerway,0.74,italy,0.542,italy,0.522,germanv,0.541
36,hitory,0.481,cermany,0.645,wvesterly,0.637,overour,0.74,thorshavn,0.542,erranean,0.52,jugoslavia,0.54
37,hindostan,0.48,finland,0.645,ooasts,0.635,303in,0.739,norwa,0.54,mediter,0.519,britain,0.54
38,mountains—,0.48,pontus,0.645,frarce,0.634,radients,0.738,stockholm,0.54,scandina,0.519,germanys,0.54
