,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,focial,0.699,focial,0.503,moral,0.545,focial,0.723,focial,0.683,soeial,0.647,soeial,0.909,sooial,0.918,bocial,0.92,sooial,0.831,sociai,0.761,socal,0.723
1,virtuous,0.529,morality,0.493,morality,0.496,facial,0.656,eligion,0.556,ocial,0.619,sooial,0.899,eocial,0.896,eocial,0.895,eocial,0.77,bocial,0.753,sociai,0.675
2,unaffected,0.528,piety,0.467,focial,0.484,locial,0.571,ieligion,0.545,moral,0.613,sociai,0.88,bocial,0.888,sociai,0.892,sociai,0.739,sooial,0.744,socia,0.633
3,benevolence,0.525,moral,0.461,religious,0.48,morality,0.544,facial,0.545,happiness,0.598,bocial,0.866,soeial,0.887,sooial,0.891,sociaj,0.739,soeial,0.721,ocial,0.622
4,selflove,0.516,religi,0.454,occonomy,0.45,indissoluble,0.543,endearing,0.52,enjoyments,0.591,socisl,0.856,socisl,0.849,soeial,0.88,bocial,0.737,eocial,0.72,welfare,0.553
5,disinterested,0.509,religion,0.448,s2mo,0.446,ofsociety,0.54,morality,0.52,intellectual,0.588,eocial,0.854,soclal,0.843,soclal,0.861,socia,0.721,ocial,0.718,wellattended,0.514
6,temperance,0.506,parables,0.441,rcligious,0.445,ocial,0.531,enjoyments,0.518,morality,0.578,tocial,0.846,socia,0.839,socisl,0.859,ocial,0.698,sociaj,0.71,—social,0.51
7,benevolent,0.502,reigion,0.439,lzmo,0.444,subordination,0.528,religions,0.513,piness,0.571,sociul,0.835,sociil,0.831,sociil,0.84,sociil,0.689,socal,0.699,communitv,0.509
8,devoid,0.498,efrays,0.433,l2mo,0.442,happiness,0.519,endearments,0.496,goodfellowship,0.563,socinl,0.833,rocial,0.83,aocial,0.836,aocial,0.687,socia,0.679,community,0.508
9,happiness,0.497,ethics,0.431,religion,0.441,ofcivil,0.5,religious,0.496,civilization,0.56,sociil,0.833,aocial,0.828,socia,0.821,sccial,0.687,aocial,0.678,whist,0.495
10,sobriety,0.496,relgion,0.43,reflections,0.441,jacobinism,0.5,happiness,0.484,civilisation,0.559,aocial,0.832,thesocial,0.818,sccial,0.818,6ocial,0.681,sociil,0.664,recreational,0.495
11,selfinterest,0.484,relig,0.427,facial,0.44,moral,0.49,subversive,0.482,happi,0.553,socia,0.828,soolal,0.817,soaial,0.817,tocial,0.67,sccial,0.655,constitutional,0.484
12,implanted,0.484,virtu,0.426,i2mo,0.432,subversive,0.484,intellectual,0.48,religious,0.551,thesocial,0.817,focial,0.814,soolal,0.81,soeial,0.668,soial,0.645,fellowship,0.484
13,honesty,0.479,subjeets,0.421,dialogues,0.43,disseminate,0.48,armihs,0.478,tellectual,0.545,sosial,0.816,sccial,0.81,cocial,0.804,socal,0.646,6ocial,0.631,club,0.476
14,felicity,0.478,rcligion,0.42,revealed,0.428,blessings,0.48,piness,0.473,socal,0.545,socal,0.81,isocial,0.802,tocial,0.804,rocial,0.641,—social,0.575,recrea,0.472
