,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,prerogatives,0.565,soveraignty,0.644,fatherhood,0.598,fovereignty,0.588,fovereignty,0.689,fovereignty,0.78,reignty,0.78,reignty,0.79,reignty,0.911,sovereignity,0.927,sovereignity,0.924,suzerainty,0.796,sovereignity,0.766,independence,0.693
1,rights,0.506,dominion,0.515,reignty,0.591,dominion,0.555,reignty,0.654,reignty,0.731,fovereignty,0.724,sovereignly,0.751,sovereignity,0.885,reignty,0.899,reignty,0.918,sovereignity,0.769,suzerainty,0.729,pendence,0.656
2,power,0.504,prerogatives,0.506,dominion,0.533,independence,0.511,dominion,0.619,fovercignty,0.692,dominion,0.709,vereignty,0.734,protectorate,0.849,suzerainty,0.881,suzerainty,0.896,reignty,0.722,frontiers,0.694,neutrality,0.655
3,prerogative,0.5,propriety,0.506,prerogatives,0.501,pretenfion,0.476,fupremacy,0.574,fovcreignty,0.676,sovereignly,0.696,dominion,0.668,protectorship,0.843,sovereignly,0.844,sovereignly,0.866,suzerain,0.687,autonomy,0.683,selfdetermination,0.648
4,succession,0.486,rights,0.477,monarchical,0.484,independency,0.476,supremacy,0.57,vereignty,0.662,vereignty,0.692,supremacy,0.592,sovereignly,0.841,vassalage,0.839,suzerain,0.85,prerogatives,0.672,overlordship,0.681,frontiers,0.626
5,foundations,0.48,fiefs,0.46,rightful,0.482,prerogatives,0.463,lcgiflature,0.538,inalienable,0.616,territories,0.633,legitimacy,0.577,dominion,0.838,supremacy,0.836,overlordship,0.824,autonomy,0.67,independence,0.68,autonomy,0.612
6,unaccountable,0.477,guelderland,0.458,power,0.473,infringement,0.463,prerogatives,0.538,prerogatives,0.616,independence,0.625,protectorship,0.577,suzerainty,0.828,kingship,0.835,vassalage,0.823,independence,0.662,nationhood,0.662,violation,0.612
7,constitutions,0.468,domains,0.454,recognition,0.466,dependency,0.457,dependency,0.527,rights,0.609,guarantees,0.614,dynasty,0.576,vereignty,0.824,prerogatives,0.829,supremacy,0.82,monarchy,0.659,domination,0.662,territories,0.602
8,fundamental,0.461,possesses,0.446,fief,0.465,ufurpation,0.452,legislative,0.525,dominion,0.603,territory,0.604,monarchical,0.575,tectorate,0.815,protectorate,0.818,dominions,0.82,overlordship,0.65,minorities,0.654,prerogatives,0.599
9,dissolution,0.46,guelder,0.445,subjection,0.463,poffeflions,0.449,legiflation,0.524,independence,0.602,territorial,0.603,renunciation,0.569,territorial,0.814,vereignty,0.816,prerogatives,0.815,inviolability,0.646,protectorate,0.644,trusteeship,0.598
10,privi,0.452,territory,0.441,renounces,0.459,renounced,0.449,independency,0.523,indefeafible,0.583,renunciation,0.596,citizenship,0.568,supremacy,0.811,independence,0.816,sovereiguty,0.813,domination,0.641,neutrality,0.639,mandated,0.595
11,authority,0.451,dependencies,0.441,authority,0.457,extenfion,0.448,fupreme,0.521,rogatives,0.582,monarchy,0.593,usurpation,0.564,territory,0.808,septinsular,0.805,protectorate,0.812,territory,0.633,pendence,0.634,minorities,0.593
12,invaded,0.449,property,0.44,guaranty,0.45,renunciation,0.446,premacy,0.514,tights,0.568,recognition,0.591,recognition,0.564,prerogatives,0.793,domination,0.8,hegemony,0.808,kingship,0.632,mandatory,0.628,monarchy,0.593
13,governments,0.447,power,0.437,renouncing,0.45,formally,0.441,controuling,0.511,comtat,0.564,legitimate,0.59,prerogatives,0.563,territoiy,0.78,semiindependence,0.793,doninions,0.806,selfdetermination,0.625,ethiopia,0.62,nationhood,0.593
14,governing,0.447,dutchies,0.429,recognized,0.45,derogatory,0.439,unalienable,0.509,independencc,0.564,usurped,0.588,defacto,0.562,independeuce,0.775,independenoe,0.789,dominious,0.806,extraterritorial,0.606,selfdetermination,0.62,nonbelligerent,0.588
15,establishment,0.444,pretensions,0.427,guarantee,0.444,auitria,0.439,afcendant,0.504,unalienable,0.561,dominions,0.586,independence,0.562,territories,0.774,imprescriptible,0.789,sultanate,0.804,renounces,0.605,nonrecognition,0.619,nonbelligerency,0.584
