,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,spaine,0.535,government,0.564,crown,0.543,stare,0.597,stare,0.822,stare,0.882,statc,0.809,statc,0.838,statc,0.828,stale,0.784,stnte,0.841,6tate,0.926,6tate,0.933,6tate,0.932,stato,0.838,stato,0.894,btate,0.756
1,king,0.518,commonwealth,0.552,treaty,0.542,conjuncture,0.448,srate,0.697,srate,0.881,stare,0.797,stite,0.771,stare,0.804,statc,0.775,siate,0.832,stato,0.914,stato,0.927,stato,0.9,6tate,0.828,6tate,0.825,6tate,0.718
2,pay,0.494,civill,0.477,realm,0.509,esta,0.431,scate,0.67,scate,0.832,srate,0.781,stare,0.768,srate,0.79,srate,0.765,stato,0.829,stste,0.884,stste,0.923,3tate,0.883,stat©,0.753,stata,0.789,stata,0.711
3,matters,0.483,publike,0.465,ministers,0.507,affairs,0.424,scare,0.61,statc,0.77,stite,0.748,srate,0.768,stite,0.758,siate,0.763,stale,0.817,3tate,0.863,btate,0.902,stata,0.873,staie,0.74,btate,0.768,stato,0.698
4,emperour,0.482,kingdom,0.456,affairs,0.492,government,0.412,slate,0.478,stite,0.73,siate,0.666,itate,0.725,siate,0.75,stare,0.759,statc,0.815,sute,0.84,stnte,0.892,stste,0.87,stata,0.735,stat©,0.76,stats,0.669
5,church,0.469,divine,0.449,kingdom,0.489,established,0.398,statc,0.475,srare,0.729,scate,0.664,flate,0.725,staie,0.71,staie,0.735,stateof,0.803,stnte,0.834,stete,0.885,stnte,0.842,btate,0.729,stats,0.724,atate,0.665
6,kingdome,0.448,matters,0.447,point,0.48,administration,0.396,stae,0.472,siate,0.726,stte,0.65,siate,0.714,stte,0.694,stite,0.713,stste,0.796,siate,0.821,3tate,0.876,stats,0.832,atate,0.726,fctate,0.72,staie,0.652
7,pope,0.447,publique,0.421,denmark,0.478,establishment,0.392,establishment,0.434,stace,0.723,stateof,0.624,stte,0.708,statt,0.651,stae,0.712,atate,0.793,•tate,0.817,stata,0.871,stat9,0.825,ttate,0.722,stite,0.709,itate,0.622
8,law,0.447,for,0.418,france,0.466,ecclesiastical,0.388,repubhck,0.428,staie,0.716,stae,0.595,ftate,0.696,sfate,0.641,stte,0.685,stite,0.792,stats,0.813,stats,0.844,statc,0.819,rtate,0.721,ftate,0.705,rtate,0.611
9,poland,0.446,rule,0.416,molt,0.456,subversion,0.366,conjuncture,0.428,stae,0.711,stat,0.565,rtate,0.67,stste,0.639,stnte,0.674,stute,0.786,ttate,0.809,stite,0.841,9tate,0.813,stats,0.71,atate,0.703,stae,0.591
10,their,0.436,ons,0.408,emperor,0.446,cies,0.361,astairs,0.417,scare,0.708,ftate,0.517,stae,0.669,btate,0.637,6tate,0.669,stats,0.786,stute,0.808,ttate,0.838,statse,0.813,fctate,0.69,stste,0.695,stite,0.586
11,religion,0.434,church,0.407,imperial,0.435,counsellor,0.36,posture,0.414,stateof,0.657,itate,0.512,ftatc,0.654,stae,0.637,btate,0.665,stete,0.768,stete,0.805,statc,0.827,stete,0.807,stete,0.688,htate,0.683,—state,0.562
