,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,prefent,0.471,beginning,0.43,term,0.411,rime,0.641,rime,0.745,rime,0.824,timne,0.79,rime,0.785,rime,0.839,timne,0.797,tinme,0.814,timo,0.845,timo,0.918,timo,0.896,timo,0.781,timo,0.838,tme,0.69
1,cafe,0.458,while,0.374,while,0.388,tithe,0.404,tinie,0.486,tinie,0.732,timc,0.768,timc,0.753,timne,0.833,tinie,0.786,timne,0.807,tiuie,0.829,tinme,0.891,tinme,0.889,tim©,0.735,tima,0.719,tima,0.624
2,vntill,0.442,meane,0.366,least,0.373,days,0.398,ime,0.472,timc,0.717,rime,0.764,timne,0.74,tirne,0.83,tinme,0.783,tinie,0.773,timeand,0.797,timue,0.885,timne,0.873,tima,0.636,tinie,0.711,ime,0.607
3,while,0.44,houre,0.361,continue,0.37,but,0.38,tithe,0.468,timne,0.696,tirne,0.736,tinie,0.737,tinie,0.829,rime,0.771,timie,0.771,tinme,0.768,timne,0.884,timue,0.865,tinie,0.617,tme,0.7,tinie,0.601
4,call,0.439,fiege,0.358,beginning,0.37,successively,0.377,lime,0.453,ime,0.695,tinme,0.709,tirne,0.735,timc,0.827,tirne,0.754,titne,0.764,tiiue,0.76,timre,0.881,timge,0.858,time—and,0.609,tjme,0.674,itime,0.572
5,neither,0.416,during,0.353,like,0.369,months,0.375,timc,0.447,titne,0.686,ime,0.699,tinme,0.726,tinme,0.818,timie,0.746,timo,0.737,tiino,0.758,titue,0.878,tiume,0.857,tirno,0.609,tim©,0.666,timo,0.552
6,in,0.413,fate,0.352,continued,0.367,stay,0.356,tune,0.437,tirne,0.668,timre,0.695,titne,0.675,titne,0.786,titne,0.737,tirne,0.729,timue,0.751,tinie,0.874,titue,0.857,tiino,0.603,timp,0.664,tfme,0.548
7,nothing,0.408,firfi,0.35,expect,0.356,after,0.344,while,0.422,tinme,0.663,tinie,0.687,ime,0.658,timie,0.78,tinse,0.735,timue,0.724,timge,0.747,titne,0.869,tirme,0.855,tjme,0.6,tiino,0.659,tlme,0.536
8,thing,0.403,moneth,0.349,prisoner,0.356,farthest,0.342,interval,0.419,timie,0.653,timse,0.662,tirme,0.656,timre,0.769,timc,0.73,tinse,0.723,tinie,0.742,timie,0.866,tirne,0.853,tune,0.6,tijne,0.653,time—and,0.525
9,muft,0.394,untill,0.342,it,0.355,21th,0.34,tirne,0.414,tirme,0.62,trime,0.66,timre,0.655,tirme,0.768,tirme,0.722,timc,0.717,timae,0.74,tirne,0.865,timae,0.851,moment,0.591,tirno,0.652,ttme,0.52
10,end,0.387,continued,0.341,difference,0.355,place,0.337,space,0.398,timle,0.618,timie,0.656,tiime,0.654,timte,0.746,tune,0.702,timte,0.71,tirao,0.736,timse,0.862,tinie,0.85,timp,0.586,tinio,0.648,timp,0.509
11,firft,0.386,matters,0.34,month,0.355,spam,0.337,timne,0.396,trime,0.614,titne,0.656,timie,0.651,tiine,0.741,timre,0.693,tinte,0.709,tiine,0.736,tiume,0.862,titne,0.849,tiuie,0.574,timt,0.643,rime,0.505
12,purpofe,0.386,halfe,0.326,affairs,0.352,day,0.334,sliort,0.393,timt,0.61,timec,0.646,timec,0.643,tinse,0.736,tinte,0.692,titme,0.706,timne,0.732,timle,0.861,timoe,0.848,tfme,0.57,tim®,0.623,time—,0.498
13,firfi,0.373,thereof,0.324,thing,0.351,weeks,0.326,short,0.39,rtime,0.609,tlime,0.64,tisne,0.637,tinic,0.734,timle,0.689,timre,0.706,titne,0.729,titme,0.859,timie,0.844,tunc,0.567,time—and,0.618,ume,0.496
14,this,0.372,long,0.324,meeting,0.348,this,0.325,place,0.389,tinic,0.608,tirme,0.634,trime,0.637,tinte,0.731,tiine,0.677,thime,0.706,timre,0.728,tirme,0.857,tiime,0.843,tim®,0.566,trme,0.617,timej,0.496
15,the,0.361,times,0.323,doing,0.347,sometime,0.323,days,0.382,timte,0.59,tim,0.623,timte,0.635,iime,0.73,timei,0.664,timle,0.705,tune,0.726,tirae,0.856,timte,0.842,ttme,0.562,ime,0.614,time—the,0.487
