,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,agreement,0.602,concluded,0.78,nimeguen,0.735,treary,0.795,treary,0.811,convention,0.798,treatv,0.758,trcaty,0.846,tieaty,0.821,treatv,0.845,tieaty,0.935,tieaty,0.944,treatv,0.934,treatv,0.837,treatv,0.848,treatv,0.788
1,concluded,0.555,sueden,0.684,truce,0.665,tieaty,0.767,treatv,0.784,trcaty,0.788,tieaty,0.757,treatv,0.843,treatv,0.814,tieaty,0.799,treatv,0.928,treatv,0.937,tieaty,0.933,tieaty,0.763,ireaty,0.811,treaty—,0.651
2,propofitions,0.521,brandenburg,0.65,negotiation,0.654,treatv,0.756,trcaty,0.758,alliance,0.737,treaties,0.735,tieaty,0.816,convention,0.781,ireaty,0.765,ireaty,0.872,ireaty,0.93,ireaty,0.933,ireaty,0.743,tieaty,0.751,treaties,0.539
3,treat,0.502,peace,0.648,treaties,0.629,alliance,0.707,alliance,0.752,guaranty,0.704,convention,0.723,rreaty,0.802,trcaty,0.749,stipulations,0.755,tresty,0.864,troaty,0.925,tresty,0.904,reaty,0.696,reaty,0.733,pact,0.521
4,agreed,0.492,france,0.644,negotiations,0.624,ryswick,0.7,tieaty,0.751,ratification,0.684,trcaty,0.721,tteaty,0.772,treaiy,0.749,treatyof,0.735,treaties,0.861,trcaty,0.907,troaty,0.895,treaties,0.674,treaties,0.678,britishegyptian,0.516
5,armies,0.476,emperor,0.643,preliminaries,0.621,reaty,0.688,treatyof,0.739,treaties,0.683,alliance,0.71,thetreaty,0.766,thetreaty,0.747,treaties,0.735,trcaty,0.857,tresty,0.904,trsaty,0.883,treaty—,0.668,treaty—,0.676,nonaggression,0.51
6,conclude,0.462,denmark,0.64,westphalia,0.62,thetreaty,0.686,thetreaty,0.729,concluded,0.675,negotiation,0.699,ireaty,0.764,treatyof,0.746,trealy,0.708,troaty,0.856,treity,0.885,treity,0.882,treay,0.65,pact,0.593,tripartite,0.488
7,agree,0.44,ambassadors,0.639,neutrality,0.603,rreaty,0.669,quadruple,0.72,definitive,0.661,definitive,0.682,treatyof,0.764,ireaty,0.743,trcaty,0.701,treatyof,0.855,itreaty,0.88,tteaty,0.876,stipulations,0.589,ratification,0.589,negotiated,0.486
8,articles,0.425,marriage,0.604,ratifications,0.59,freaty,0.667,treity,0.713,accede,0.657,preliminaries,0.675,treity,0.762,rreaty,0.741,treay,0.691,stipulations,0.841,lreaty,0.872,trcatv,0.873,ratification,0.581,unilaterally,0.586,agreement,0.483
9,granted,0.411,imperial,0.602,concluded,0.58,treaties,0.659,reaty,0.711,defenfive,0.649,negociation,0.66,treaties,0.76,definitive,0.735,thetreaty,0.687,thetreaty,0.839,teaty,0.865,lreaty,0.861,protocol,0.569,ersailles,0.586,negotiation,0.48
10,during,0.408,nimeguen,0.599,ratification,0.575,preliminaries,0.654,convention,0.702,negotiation,0.648,treay,0.651,ticaty,0.746,treay,0.724,unkiar,0.684,treay,0.835,treatyof,0.865,itreaty,0.858,claytonbulwer,0.568,sailles,0.585,versailles,0.477
11,war,0.407,terms,0.599,peace,0.571,trcaty,0.648,treaties,0.702,preliminaries,0.644,ratification,0.642,trcatv,0.739,treaties,0.723,skelessi,0.673,treity,0.829,treay,0.853,trcaty,0.856,agreements,0.55,versailles,0.583,previousy,0.464
12,kingdomes,0.405,empire,0.59,ratified,0.563,treatys,0.645,preliminaries,0.689,neutrality,0.64,pacification,0.634,treaiy,0.73,tteaty,0.722,ratification,0.671,treaiy,0.826,tteaty,0.851,rreaty,0.842,tbeaty,0.549,multilateral,0.582,tacksonstops,0.463
13,kingdom,0.403,points,0.585,capitulation,0.561,ryfwick,0.637,treay,0.683,flipulated,0.635,tiation,0.617,treary,0.724,reaty,0.719,tireaty,0.669,atreaty,0.821,ticaty,0.847,tireaty,0.84,francosiamese,0.544,nonaggression,0.571,sovietfinnish,0.454
14,fpeedy,0.402,crowns,0.576,defensive,0.54,preaty,0.636,passarowitz,0.667,ftipulated,0.631,guaranty,0.598,treay,0.717,treary,0.708,convention,0.667,itreaty,0.819,trtaty,0.846,treaiy,0.84,treatj,0.543,capitulations,0.57,ratified,0.452
15,courfe,0.402,elector,0.571,cessation,0.517,ratifications,0.635,ratifications,0.649,utrecht,0.63,ratified,0.593,itreaty,0.704,trealy,0.707,armistice,0.66,trealy,0.818,trsaty,0.845,treay,0.838,anglojapanese,0.534,covenant,0.559,stipulations,0.447
16,between,0.402,princes,0.568,mediation,0.512,ratification,0.629,ratification,0.644,guarantee,0.625,capitulation,0.59,alliance,0.7,preliminaries,0.707,treaty—,0.651,ratification,0.804,treaiy,0.841,treatys,0.83,haypauncefote,0.531,francosoviet,0.559,britishfrench,0.446
17,peace,0.401,deputies,0.563,alliance,0.503,negotiation,0.618,carlowitz,0.644,negociation,0.622,peace,0.586,lreaty,0.695,atreaty,0.702,protocol,0.651,tteaty,0.799,traaty,0.834,trtaty,0.83,peace,0.53,ninepower,0.559,demilitarisation,0.443
18,houfes,0.393,spain,0.557,emperor,0.495,concluded,0.615,paffarowitz,0.64,ratified,0.62,defenfive,0.581,trreaty,0.695,treity,0.697,quadruple,0.647,protocol,0.795,trealy,0.834,treatyi,0.825,reservations,0.529,russogerman,0.554,wanted—continued,0.439
19,confent,0.393,ministers,0.547,overtures,0.494,tiation,0.612,accede,0.638,conventions,0.614,trality,0.581,tireaty,0.692,tireaty,0.69,treity,0.646,treaity,0.792,rreaty,0.83,treatyr,0.822,agreement,0.524,fourpower,0.539,ratify,0.439
20,declaration,0.391,den,0.546,conferences,0.49,pacification,0.612,concluded,0.631,ratifications,0.612,prelimi,0.579,definitive,0.69,lreaty,0.689,akermann,0.645,treatyi,0.782,treaity,0.828,treaity,0.822,armistice,0.524,tripartite,0.535,nego,0.439
21,army,0.39,state,0.542,empire,0.49,barrier,0.608,druple,0.629,acceded,0.61,preliminary,0.574,atreaty,0.689,stipulations,0.682,treaity,0.64,treaty—,0.778,treatyi,0.826,trety,0.821,abrogation,0.52,signatory,0.533,ratification,0.435
22,fully,0.386,crown,0.537,cluded,0.48,convention,0.601,guaranty,0.628,pacification,0.606,subfidy,0.573,treatj,0.681,ratification,0.673,quadripartite,0.631,treoty,0.772,atreaty,0.82,traaty,0.818,traty,0.519,agreements,0.531,auctior,0.429
23,votes,0.38,treat,0.525,plenipotentiaries,0.478,barriertreaty,0.599,negotiation,0.627,subfidy,0.599,ilipulated,0.572,reaty,0.679,teaty,0.66,stipulation,0.631,claytonbulwer,0.768,tireaty,0.818,treatyv,0.818,reciprocity,0.512,threepower,0.528,anticomintern,0.429
24,concerning,0.373,hague,0.516,negotiate,0.477,rastat,0.593,prelimina,0.61,aixlachapelle,0.598,ratifications,0.572,traty,0.678,itreaty,0.658,negotiation,0.628,trety,0.766,treaties,0.817,ltreaty,0.814,treatt,0.51,ratified,0.528,signatory,0.428
25,parliament,0.373,conclude,0.514,restitution,0.468,nego,0.593,stipulated,0.607,capitulation,0.595,guarantee,0.572,preliminaries,0.675,negotiation,0.655,capitulation,0.626,reaty,0.765,stipulations,0.816,trealy,0.814,ratified,0.509,polishgerman,0.526,agreements,0.427
26,debate,0.355,minister,0.508,mediators,0.468,quadruple,0.586,ratify,0.604,sublidy,0.594,utrecht,0.569,ftipulations,0.673,ratified,0.647,stipula,0.623,austroprussian,0.765,trety,0.815,treatty,0.813,conventions,0.508,protocol,0.525,disposed,0.424
27,touching,0.354,poland,0.508,evacuate,0.464,stipulated,0.574,article,0.603,pragmatick,0.587,concluded,0.565,ratification,0.671,liminaries,0.646,negociation,0.613,unkiar,0.764,reaty,0.814,trraty,0.811,tocol,0.508,protocols,0.519,vately,0.421
28,parlia,0.354,agreed,0.507,comprehended,0.463,defensive,0.572,pragmatick,0.602,guarantied,0.586,ftipulated,0.563,trety,0.654,trety,0.645,reaty,0.61,skelessi,0.762,thetreaty,0.814,trealty,0.808,ratify,0.508,pacts,0.518,operties,0.42
29,happy,0.353,ambassador,0.507,france,0.463,guarantee,0.571,conventions,0.601,quadruple,0.584,guarantied,0.563,negociation,0.649,negociation,0.641,tresty,0.608,trealty,0.761,treatj,0.81,treasty,0.807,teaty,0.506,nonaggres,0.517,armistice,0.419
30,fupply,0.353,affairs,0.503,mediator,0.461,negociation,0.571,guarantee,0.6,liance,0.583,ofpeace,0.559,ncgociation,0.647,treaity,0.638,trenty,0.607,treety,0.76,freaty,0.804,teaty,0.805,ratifi,0.506,ratifying,0.516,pnvate,0.418
31,prefented,0.35,demand,0.489,allies,0.458,druple,0.569,stipulations,0.597,reaty,0.581,stipulation,0.559,trcaties,0.643,amniens,0.635,ratified,0.606,convention,0.757,treatyr,0.803,treatyt,0.801,contract,0.504,neutrality,0.515,tiated,0.417
32,proceed,0.345,states,0.486,exchanged,0.458,article,0.568,stipulation,0.595,guaranties,0.58,infraction,0.556,teaty,0.637,negoeiation,0.633,negociatiou,0.6,bulwerclayton,0.753,treoty,0.801,ttreaty,0.799,negotiation®,0.504,irwingandhi,0.514,roperties,0.416
33,parliaments,0.34,sieur,0.484,sweden,0.455,agreement,0.566,preliminary,0.593,trality,0.579,fubfidy,0.556,negotiation,0.629,traty,0.622,protocols,0.591,treatythe,0.746,tseaty,0.798,reaty,0.789,signatory,0.502,bilateral,0.512,partite,0.415
34,breach,0.337,obliged,0.481,conditions,0.453,carlowitz,0.565,weftphalia,0.591,acceding,0.572,hoftilities,0.555,treatics,0.628,conventions,0.621,negotiations,0.59,negotiation,0.746,treety,0.786,teeaty,0.786,concordat,0.5,agreement,0.51,private,0.414
35,petition,0.334,resolution,0.475,plenipotentiary,0.453,liance,0.564,acceded,0.582,tariff,0.571,france,0.554,rcaty,0.626,formio,0.62,conventions,0.583,treatty,0.743,treatty,0.78,treatythe,0.786,negotiation,0.499,remilitarisation,0.508,ratifying,0.413
36,ment,0.333,audience,0.474,project,0.452,pyrenean,0.56,westphalia,0.581,preliminary,0.57,spain,0.549,fubfidiary,0.621,capitulation,0.62,definitive,0.581,teaty,0.742,traty,0.778,treaties,0.781,plenipotentiaries,0.498,stipulations,0.506,properties,0.412
37,lordfhips,0.331,between,0.474,ferences,0.45,negotiations,0.548,neutrality,0.576,aixla,0.565,emprefsqueen,0.548,trealy,0.617,ftipulations,0.617,negociations,0.578,trenty,0.74,ttreaty,0.774,freaty,0.781,pourparlers,0.496,germansoviet,0.505,preamble,0.411
38,beginning,0.331,difference,0.471,commerce,0.449,negociations,0.548,truce,0.575,emprefs,0.56,republic,0.547,ratified,0.613,alliance,0.61,ratifications,0.576,hattischeriff,0.738,treatys,0.772,traty,0.781,ausgleich,0.49,antiaggression,0.505,abrogated,0.411
