,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,ilv,0.426,kti,0.442,taa,0.459,nti,0.477,tita,0.574,tsr,0.711,tsr,0.864,15cr,0.844,czat,0.777,czar,0.852,czar,0.646,tsars,0.48
1,thai,0.419,ofe,0.435,itd,0.455,titt,0.476,stie,0.57,tisa,0.683,usia,0.845,icr,0.835,tsarina,0.764,czars,0.748,tsarina,0.621,tsarist,0.444
2,thaj,0.414,ntit,0.434,tsr,0.447,tnrr,0.473,itse,0.56,sisal,0.676,estee,0.84,scsi,0.824,czr,0.756,ozar,0.746,kaiser,0.596,exkaiser,0.436
3,tba,0.413,tat,0.426,tllr,0.431,ttsd,0.465,ctie,0.558,ntis,0.675,tser,0.838,ntis,0.823,c7ar,0.752,emperor,0.744,romanoffs,0.581,orator,0.429
4,nh,0.407,igc,0.422,tiar,0.428,titr,0.465,tsr,0.556,tisi,0.674,eeoc,0.837,icer,0.816,cztr,0.744,cxar,0.726,exkaiser,0.576,czarist,0.427
5,ui,0.406,itei,0.419,rii,0.427,ati,0.457,tutul,0.544,fssr,0.673,scsi,0.832,10cr,0.813,czair,0.741,alexeieff,0.712,tsars,0.568,despot,0.42
6,evrr,0.404,rar,0.417,jt1,0.421,ittit,0.455,sthe,0.542,lise,0.661,tetd,0.829,tier,0.808,crar,0.74,tzar,0.705,tzar,0.562,pushkin,0.418
7,fm,0.393,rwi,0.414,rns,0.42,ttt,0.455,usle,0.542,stse,0.657,itsr,0.828,tsr,0.808,cza,0.74,czarina,0.695,ferdinand,0.561,allude,0.418
8,ttat,0.392,rb,0.413,iei,0.415,icsi,0.454,tisa,0.54,rtse,0.657,ntis,0.827,ilee,0.807,csar,0.739,lamsdorff,0.685,archduke,0.559,idolised,0.417
9,teat,0.389,rf,0.412,ihri,0.414,nsr,0.452,aitt,0.539,tisac,0.656,asiti,0.827,icor,0.806,czsr,0.72,empressdowager,0.682,kaisers,0.553,braggart,0.415
10,thar,0.389,ktr,0.411,isil,0.412,tiss,0.452,nsa,0.539,tiss,0.651,isor,0.827,nocr,0.806,czur,0.719,dowagerempress,0.674,ghazi,0.552,nadir,0.414
11,rhar,0.388,a1e,0.41,tir,0.412,itir,0.449,tiet,0.538,titet,0.651,teec,0.826,ieee,0.803,csars,0.718,tsars,0.673,napoleon,0.548,nobility,0.413
12,thae,0.387,uet,0.407,trt,0.41,iei,0.449,fssr,0.537,ttse,0.65,sitar,0.823,roil,0.803,emsperor,0.717,tsaritsa,0.67,lenin,0.543,stealth,0.41
13,sf,0.385,riar,0.407,tisr,0.41,nx,0.449,nitt,0.536,iliac,0.648,ttsd,0.823,lsie,0.802,ozar,0.715,peterhof,0.667,bolshevist,0.537,kaiser,0.409
14,ihar,0.384,itc,0.404,ieei,0.409,tntr,0.449,ntis,0.533,sisisi,0.648,icor,0.822,cr1,0.802,itaty,0.714,peror,0.667,abdicate,0.534,stratagem,0.408
15,tint,0.384,cda,0.403,ttlt,0.406,1tti,0.445,tisi,0.532,tiata,0.646,siat,0.821,1cr,0.802,lzar,0.713,tsarina,0.665,hohenzollern,0.533,hapsburg,0.408
16,yt,0.383,gts,0.402,ilaa,0.406,rtitt,0.445,ittd,0.528,stie,0.646,osis,0.821,tarot,0.801,czan,0.712,kaiser,0.66,czarist,0.529,dupe,0.407
17,cht,0.382,err,0.402,isrs,0.405,ymt,0.444,aiti,0.528,tita,0.645,itet,0.821,osis,0.799,cznr,0.709,kuropatkin,0.656,emperor,0.528,banal,0.406
18,dss,0.38,nont,0.402,uil,0.403,ltr,0.444,tiso,0.525,attn,0.645,atoe,0.821,isar,0.799,eror,0.709,lenin,0.654,rupprecht,0.522,lenin,0.404
19,ik,0.38,avt,0.401,iiii,0.402,alti,0.444,ssits,0.525,rita,0.644,usle,0.821,usia,0.798,enperor,0.708,csar,0.65,exking,0.522,schism,0.404
20,hjt,0.379,tbat,0.4,aic,0.401,siii,0.443,tilse,0.523,itre,0.642,octe,0.82,csit,0.798,emaperor,0.708,sultan,0.65,cetewayo,0.517,tyrant,0.404
21,rp,0.377,rvt,0.397,srn,0.401,tiia,0.443,isf,0.519,litre,0.64,octet,0.818,01cr,0.795,remio,0.706,kmperor,0.647,excrown,0.517,debase,0.402
22,iltt,0.376,aor,0.397,lr1,0.401,iltti,0.443,itsi,0.519,sari,0.64,sissie,0.818,oisd,0.795,tsaritsa,0.705,fmperor,0.646,abdicated,0.516,portent,0.4
23,tti,0.373,itt,0.396,ltl,0.401,iar,0.442,ascii,0.518,trit,0.639,siet,0.817,pcir,0.794,poror,0.702,rescript,0.645,gotha,0.513,lusitania,0.4
