,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,warre,0.469,turks,0.65,wat,0.518,vvar,0.623,wvar,0.747,wvar,0.783,wvar,0.787,wvar,0.868,wvar,0.835,wvar,0.82,wvar,0.815,wvar,0.875,wvar,0.834,avar,0.799,avar,0.818,vvar,0.686
1,covenant,0.463,dutch,0.555,firefhips,0.514,ivar,0.589,ofwar,0.72,ofwar,0.681,var,0.674,ivar,0.789,ivar,0.764,ivar,0.72,war—and,0.814,warand,0.84,warand,0.827,vvar,0.725,vvar,0.736,avar,0.646
2,pretence,0.456,suedes,0.513,galliots,0.511,wvar,0.582,vvar,0.711,vwar,0.62,ofwar,0.663,var,0.783,vwar,0.718,war—,0.647,vwar,0.802,vwar,0.833,vwar,0.803,■war,0.72,■war,0.667,•war,0.641
3,nation,0.448,poland,0.498,fireships,0.509,ofwar,0.575,ivar,0.622,vvar,0.578,warand,0.657,xvar,0.736,ofwar,0.713,vvar,0.642,wrar,0.796,russoturkish,0.807,avar,0.799,war—,0.678,191418,0.632,■war,0.633
4,eftates,0.442,guns,0.492,frigats,0.479,frigots,0.534,vwar,0.601,ivar,0.562,ivar,0.649,vwar,0.736,war—,0.7,svar,0.633,war—that,0.785,war—that,0.805,xvar,0.771,war—press,0.653,war—,0.618,war—,0.62
5,pro,0.419,fort,0.483,equipped,0.469,frigats,0.532,wrar,0.58,frigates,0.558,vwar,0.616,wiar,0.72,var,0.693,avar,0.633,war—,0.775,warwhich,0.799,thewar,0.762,thewar,0.618,yvar,0.609,wai,0.602
6,laws,0.416,febr,0.479,dutch,0.458,wat,0.525,wtar,0.574,wari,0.553,xvar,0.579,wyar,0.711,warand,0.69,warand,0.613,warand,0.77,war—,0.785,warthat,0.755,war—a,0.598,wars,0.598,thewar,0.577
7,agreement,0.413,empire,0.472,equipping,0.453,frigates,0.519,protheroe,0.561,iwar,0.55,wars,0.564,tvar,0.694,vvar,0.672,vwar,0.606,warthat,0.758,wrar,0.781,soodan,0.745,tvar,0.582,thewar,0.58,iwar,0.551
8,ireland,0.412,convoy,0.469,tripoli,0.451,fregates,0.505,convoy,0.556,wir,0.525,warj,0.561,ofwar,0.691,wrar,0.656,wsar,0.601,svar,0.743,wyar,0.78,russoturkish,0.742,war—and,0.58,wnr,0.579,war—the,0.545
9,peace,0.408,cologne,0.465,mediterranean,0.451,fireships,0.497,frigots,0.553,wiar,0.519,thewar,0.542,svar,0.687,svar,0.651,thewar,0.599,warwith,0.74,francogerman,0.78,bussoturkish,0.739,wax,0.57,crimean,0.577,hostilities,0.543
10,treaty,0.407,sueden,0.463,galleys,0.45,wary,0.49,frigates,0.546,wtar,0.502,wsar,0.537,wtar,0.652,xvar,0.633,wrar,0.586,wfar,0.735,avar,0.777,rossoturkish,0.737,•war,0.566,francoprussian,0.573,191418,0.524
11,new,0.394,sail,0.454,squadron,0.448,maltese,0.459,cruize,0.541,cruife,0.495,svar,0.533,wari,0.65,warthe,0.614,wiar,0.582,vvar,0.733,francoprussian,0.777,asbantee,0.736,wnr,0.558,war—and,0.554,wars,0.518
12,tbc,0.393,brandenburg,0.45,bomb,0.446,privateers,0.458,fregates,0.541,cruize,0.49,wrar,0.53,wrar,0.647,nvar,0.613,ofwar,0.581,wnar,0.731,thewar,0.774,soudan,0.734,war—reuter,0.556,war—a,0.548,war—and,0.517
13,age,0.376,enemy,0.437,archipelago,0.446,transports,0.451,merchantships,0.537,wair,0.485,wari,0.526,nvar,0.643,wsar,0.612,wars,0.577,wyar,0.728,zulu,0.772,francogerman,0.728,war—it,0.544,napoleonic,0.544,francoprussian,0.507
14,between,0.372,preparations,0.431,viceadmiral,0.442,equipping,0.449,squadron,0.526,merchantmen,0.484,wtar,0.525,lwar,0.639,wari,0.61,hostilities,0.576,wtar,0.722,vvar,0.766,aehantee,0.726,war—the,0.544,war—the,0.532,war—reuter,0.503
15,scotland,0.368,sea,0.43,equip,0.44,cruise,0.445,yvar,0.524,bombketch,0.476,warof,0.52,waar,0.638,war—the,0.606,war—the,0.573,wavr,0.722,wlar,0.765,soulan,0.723,francoprussian,0.537,jvar,0.532,sinojapanese,0.481
16,breach,0.368,fitting,0.429,guns,0.439,galliots,0.445,spitbead,0.515,faulkland,0.475,awar,0.519,avar,0.632,wiar,0.604,warof,0.567,wsr,0.72,afghan,0.763,wavr,0.722,wvar,0.537,hostilities,0.53,war—a,0.479
17,arms,0.362,fleet,0.424,gallics,0.437,convoyed,0.444,fireships,0.513,privateers,0.475,iwar,0.514,xwar,0.631,tvar,0.603,wara,0.556,warbut,0.719,war—and,0.763,chinojapanese,0.721,war—central,0.531,tvar,0.524,worldwar,0.474
18,dome,0.361,denmark,0.423,var,0.43,galleys,0.439,frigats,0.51,cruizc,0.474,avar,0.51,vvar,0.63,wtar,0.6,warthe,0.553,ivar,0.718,rossoturkish,0.757,sondan,0.718,war—renter,0.52,loan,0.518,conflict,0.455
19,defence,0.36,ship,0.421,priva,0.429,squadron,0.437,cruise,0.506,firelhips,0.474,wiar,0.507,wnar,0.628,iwar,0.596,xvar,0.549,warfor,0.717,franceprussian,0.757,wyar,0.717,war—that,0.519,war—that,0.517,hostili,0.454
20,plundering,0.359,port,0.419,gallies,0.428,sultanas,0.434,merchantmen,0.505,weazle,0.472,vvar,0.504,warand,0.628,waar,0.593,nvar,0.549,thewar,0.71,iwar,0.755,svar,0.714,warand,0.513,19141918,0.511,prisoners,0.451
21,tke,0.358,still,0.412,turfs,0.428,genoese,0.425,ketches,0.503,seaford,0.472,wair,0.492,iwar,0.627,wyar,0.59,war—a,0.534,wars,0.709,wars,0.755,afghan,0.712,russojapanese,0.506,—war,0.507,—war,0.439
22,coun,0.358,quarters,0.411,thoulon,0.426,fireship,0.419,maltese,0.501,var,0.471,portmahon,0.47,thewar,0.624,thewar,0.586,wair,0.53,wsar,0.706,warthat,0.754,vvar,0.711,xvar,0.505,worldwar,0.499,warfare,0.438
23,kingdom,0.352,forces,0.411,dron,0.424,galliot,0.419,solebay,0.499,alcide,0.471,holtilities,0.47,war—,0.622,wair,0.586,wtar,0.529,waging,0.706,ashantee,0.753,nvar,0.711,wair,0.505,boer,0.499,manpower,0.423
24,an,0.348,latter,0.407,corsairs,0.42,sallee,0.418,bombketches,0.496,wdr,0.471,hoftilities,0.466,warof,0.619,wars,0.571,wyar,0.526,warthe,0.694,campaign,0.751,soudin,0.711,yvar,0.501,lioan,0.499,dday,0.422
25,con,0.345,service,0.407,rovers,0.42,equipment,0.415,spithead,0.495,cruizing,0.466,terpfichore,0.464,w3r,0.61,avar,0.565,peninsula,0.514,war—in,0.69,afghanistan,0.75,istan,0.71,demobilisation,0.497,war—in,0.492,tilities,0.42
26,k,0.343,ships,0.406,privateers,0.419,ships,0.415,equipping,0.49,uhips,0.465,waging,0.458,wxar,0.602,warj,0.561,campaign,0.508,wiar,0.682,xvar,0.75,francoprussian,0.709,wiar,0.497,funding,0.488,ofwar,0.419
27,anl,0.342,elector,0.401,vessels,0.418,guns,0.414,equipt,0.49,intrepide,0.463,hostilities,0.458,lvar,0.598,warto,0.542,tilities,0.506,caffre,0.681,oampaign,0.747,turcorussian,0.705,vyar,0.497,armistioe,0.484,transition,0.415
28,reformation,0.34,french,0.395,ships,0.416,gallies,0.414,firefhips,0.487,fireships,0.459,tvar,0.458,wair,0.596,hostilities,0.534,tvar,0.506,hostilities,0.68,bussoturkish,0.746,hostilities,0.704,campaign,0.497,armistice,0.482,reconstruction,0.411
29,po,0.339,field,0.388,ihips,0.413,corsairs,0.413,cruizing,0.484,privatecrs,0.458,campaign,0.457,awar,0.595,wavr,0.533,wnr,0.506,war—the,0.679,warthe,0.745,afghai,0.703,var,0.495,mesopotamia,0.481,blitz,0.411
30,pa,0.338,dec,0.384,capers,0.411,vessels,0.412,guardfhips,0.479,breft,0.454,hoftilitics,0.456,wfar,0.594,negotiation,0.532,wari,0.502,nvar,0.678,warhas,0.742,ashantee,0.702,hostilities,0.494,•war,0.478,warj,0.41
31,priviledges,0.335,assistance,0.384,squa,0.401,equip,0.409,squadion,0.477,ftationd,0.453,hoflilities,0.454,wars,0.592,wnar,0.53,armament,0.493,warof,0.676,francegerman,0.739,soudans,0.701,germany,0.493,ioan,0.476,var,0.407
32,ends,0.334,prisoners,0.383,outwardbound,0.4,venetians,0.403,cruife,0.476,homewardbound,0.452,wsr,0.454,uwar,0.586,xwar,0.525,spain,0.492,warhear,0.675,warif,0.737,mutiny,0.7,ivar,0.493,19291947,0.475,193945,0.405
33,happy,0.332,imperial,0.381,merchantmen,0.394,brigantines,0.402,durstey,0.474,amazon,0.451,campaigns,0.45,warwith,0.585,france,0.522,swar,0.486,war—to,0.675,civilwar,0.737,ashanteo,0.7,war—to,0.489,ixjan,0.474,priso,0.405
34,authority,0.332,board,0.38,algiers,0.394,algerine,0.399,kingsale,0.473,fliips,0.451,bellifle,0.45,warj,0.582,warfare,0.52,waged,0.484,warfare,0.675,warof,0.736,francegerman,0.699,iwar,0.487,187071,0.473,war—l,0.404
35,parlia,0.331,meeting,0.377,squadrons,0.393,dardanelles,0.399,dursley,0.471,firefhip,0.451,wir,0.444,wsar,0.574,warwith,0.519,hostili,0.483,kafir,0.674,asbantee,0.733,soudam,0.699,war—in,0.486,£2000000000,0.471,criminals,0.404
36,grand,0.329,officers,0.375,siege,0.388,algerines,0.398,commodore,0.471,nvar,0.45,alcide,0.442,wavr,0.562,wxar,0.516,armaments,0.478,war—it,0.673,crimeau,0.733,scudan,0.699,wajr,0.484,postwar,0.47,veday,0.402
37,parliament,0.328,troops,0.372,privateer,0.386,squa,0.398,firefhip,0.47,convoy,0.448,hoffilities,0.442,warthe,0.559,twar,0.515,lvar,0.478,warwhich,0.673,ivar,0.732,reconquest,0.697,jwar,0.48,conversion,0.469,waf,0.402
38,ion,0.328,cannon,0.371,spithead,0.384,gallics,0.398,enterprise,0.469,privatcers,0.446,treaty,0.44,twar,0.557,wnr,0.511,warfare,0.478,internecine,0.67,warwith,0.729,soudau,0.697,191418,0.479,loau,0.467,194853,0.401
39,low,0.322,treaty,0.37,wars,0.384,quns,0.398,malteze,0.466,sphinx,0.446,waar,0.439,wir,0.554,warof,0.507,negociations,0.477,warto,0.668,warwas,0.729,austroprussian,0.696,—press,0.479,jwar,0.467,ivar,0.401
40,pre,0.322,during,0.367,cruise,0.384,merchantships,0.397,cruifing,0.463,mediterranean,0.445,alliance,0.437,hoftilities,0.535,swar,0.506,burmese,0.475,avar,0.665,wfar,0.728,afghanistan,0.693,worldwar,0.477,salonika,0.463,103g,0.4
41,ship,0.321,month,0.366,turkj,0.381,rovers,0.395,kingfale,0.46,fhips,0.444,enterprise,0.437,wlar,0.533,wfar,0.505,contest,0.474,■war,0.661,ashanteo,0.728,afghau,0.692,munitions,0.477,mesopo,0.463,russofinnish,0.4
42,fate,0.319,ambassadors,0.365,homewardbound,0.38,snips,0.394,galleys,0.46,wvr,0.443,hollilities,0.436,holtilities,0.529,negociation,0.501,wnar,0.473,iwar,0.661,aehantee,0.727,insurrection,0.691,wars,0.473,191419,0.461,flict,0.399
43,large,0.318,talk,0.364,victuallers,0.378,menof,0.393,spichead,0.457,vateers,0.443,frigates,0.435,warthat,0.527,nwar,0.501,negotiations,0.472,war—a,0.659,ashautee,0.727,soudsn,0.69,francogerman,0.469,demobilisation,0.461,19141918,0.399
44,betweene,0.317,pieces,0.36,merchant,0.377,convoy,0.392,fireship,0.457,sheernefs,0.443,wvars,0.434,nwar,0.525,wsr,0.499,conflict,0.472,xvar,0.656,lwar,0.725,soadan,0.688,tilities,0.468,meso,0.46,191419,0.398
