,fi_1880,fi_1880_d
0,myöhempi,0.597
1,mähäisempi,0.558
2,nopeampi,0.548
3,pitempi,0.541
4,lyhempi,0.536
5,samantapainen,0.534
6,hitaampi,0.532
7,epäedullisempi,0.532
8,säännöllisempi,0.53
9,samallainen,0.529
10,samanlaatuinen,0.518
11,käytännöllisempi,0.515
12,samanlainen,0.513
13,samankaltainen,0.512
14,luonnollisempi,0.511
15,samallllinen,0.506
16,vähäisempi,0.501
17,selmempi,0.5
18,luotettamampi,0.498
19,samallaiuen,0.497
20,pieuempi,0.497
21,samallaincn,0.496
22,pidempi,0.493
23,marmempi,0.489
24,suotuisampi,0.488
25,laajempi,0.486
26,talvallinen,0.478
27,jyrkempi,0.476
28,snurcmpi,0.476
29,tempi,0.474
30,monipuolisempi,0.473
31,warmempi,0.473
32,epäluotettama,0.472
33,korkeampi,0.47
34,woimakkaampi,0.47
35,raskaampi,0.47
36,maarallisempi,0.47
37,famallainen,0.469
38,selwempi,0.465
39,suuntainen,0.464
40,yhdenlainen,0.463
41,kalliimpi,0.463
42,samansuuntainen,0.463
43,arwokkaampi,0.463
44,minnuttia,0.462
45,täydellisempi,0.461
46,halmcmpi,0.461
47,kemeämpi,0.46
48,oikeampi,0.458
49,tärkeäkin,0.458
50,armokkaampi,0.457
51,varmempi,0.456
52,luotettawampi,0.455
53,tiheämpi,0.455
54,sama,0.455
55,myöhäisempi,0.454
56,vähäpätöisempi,0.454
57,tärkeämpikin,0.454
58,milkkaampi,0.453
59,epämarma,0.452
60,ankarampi,0.452
61,erillainen,0.452
62,tuntumampi,0.452
63,tehokkaampi,0.452
64,mukavampi,0.451
65,suorempi,0.451
66,laimeampi,0.45
67,peampi,0.449
68,parempikin,0.449
69,tarpeellisempi,0.448
70,vaarallisempi,0.448
71,seurauksiltaan,0.447
72,halmempi,0.446
73,samanlaiseksi,0.446
74,aikasemmin,0.446
75,tuntuvampi,0.445
76,paikkakunnallinen,0.444
77,toisenlainen,0.444
78,tärkeämpi,0.443
79,epäwarma,0.442
80,kummallisempi,0.441
81,liemempi,0.441
82,rautatienrakennus,0.441
83,yksinkertaisempi,0.441
84,runsaampi,0.441
85,huomattawampi,0.44
86,etuisampi,0.44
87,suurempi,0.439
88,samankokoinen,0.438
89,päinmastainen,0.438
90,edullisempi,0.434
91,yhtäläinen,0.434
92,wakawampi,0.433
93,huonompi,0.433
94,samanmoinen,0.431
95,vastainen,0.43
96,lyhyempi,0.43
97,aikaisemmin,0.43
98,kiireellinen,0.43
99,merkitykseltään,0.429
