,fi_1880,fi_1880_d
0,wuosisata,0.824
1,vuosisata,0.807
2,muosisata,0.789
3,aikakausi,0.788
4,murrosaika,0.761
5,hallituskausi,0.733
6,miespolmi,0.728
7,miespolwi,0.699
8,sutupolwi,0.686
9,käännekohta,0.678
10,ajanlasku,0.667
11,sulupolmi,0.664
12,sukupolwi,0.661
13,lieliasetus,0.66
14,wirtaus,0.658
15,säätykokous,0.654
16,kielitaistelu,0.652
17,opinahjo,0.652
18,kehitys,0.647
19,harppaus,0.644
20,sutupolmi,0.642
21,taidelaitos,0.641
22,vuosikymmen,0.641
23,sukupolmi,0.639
24,mullistus,0.638
25,mäliaika,0.631
26,wuusi,0.629
27,puoluejako,0.629
28,jakso,0.628
29,kieliasetus,0.627
30,tieliasetus,0.627
31,jalso,0.623
32,järjestelmä,0.623
33,edistys,0.621
34,ivuosi,0.617
35,muosi,0.615
36,simistystyö,0.615
37,kukoistus,0.615
38,muusi,0.614
39,askel,0.613
40,askele,0.613
41,uudistustyö,0.612
42,uudistus,0.611
43,edistysaskel,0.607
44,elonaika,0.607
45,elpyminen,0.606
46,sulupolwi,0.605
47,ikäkausi,0.605
48,ailalausi,0.604
49,wuosi,0.604
50,virtaus,0.601
51,aika,0.598
52,sukukunta,0.597
53,vuosikausi,0.597
54,miina-asetus,0.595
55,niuosi,0.593
56,tilimuosi,0.589
57,tehitys,0.587
58,runoteos,0.587
59,hallitusaika,0.587
60,työkausi,0.586
61,mnosi,0.586
62,ihmissuku,0.585
63,istuntokausi,0.585
64,peri-aate,0.583
65,wuosikymmen,0.581
66,muofi,0.579
67,yhdysside,0.578
68,lvuosi,0.578
69,nmosi,0.577
70,rouoft,0.576
71,lepoaika,0.576
72,paasto,0.575
73,vuosi,0.575
74,kansakunta,0.575
75,vitsaus,0.573
76,siwistystyö,0.57
77,vuodenaika,0.57
78,tvuosi,0.57
79,opetustoimi,0.57
80,kehityksemme,0.569
81,asiaintila,0.568
82,taantuminen,0.568
83,pyrstötähti,0.567
84,wnosi,0.567
85,katsantokanta,0.567
86,katsantotapa,0.565
87,käänne,0.564
88,keikaus,0.564
89,astel,0.564
90,muosikymmen,0.564
91,vireys,0.563
92,muost,0.563
93,muasi,0.562
94,teos,0.562
95,kieliriita,0.561
96,koettelemus,0.561
97,maanosa,0.561
98,historiassamme,0.561
99,herääminen,0.56
