,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,wie,0.654,alaa,0.59,ala.,0.666,ala.,0.718
1,isä,0.634,piirissä,0.565,ala-,0.664,ala^,0.681
2,mieli,0.624,ylä,0.539,alaa,0.608,ala-,0.656
3,älä,0.614,lääni,0.539,tapanalaa,0.585,ala*,0.588
4,sinun,0.614,lääniä,0.519,viljeltyä,0.568,jältim,0.584
5,teijän,0.585,kymin,0.51,ylä,0.566,jällim,0.58
6,olet,0.585,satakunnan,0.509,kapan-alaa,0.558,virano,0.577
7,ju,0.583,alkeiskoulussa,0.508,ikäisten,0.542,ylä,0.571
8,pi,0.582,kih,0.499,tynnyrinala,0.541,afiano,0.553
9,mulle,0.582,osalle,0.497,niittyä,0.541,amaruus,0.544
10,minkä,0.574,ruotu,0.493,pcltoa,0.539,etum,0.538
11,ota,0.57,kappeli,0.491,verottomia,0.537,pinta,0.532
12,woi,0.568,karjalan,0.488,lapan,0.537,pelto,0.528
13,hymä,0.567,ala-,0.488,lapanalaa,0.536,mirano,0.525
14,mene,0.564,tynnyrin,0.485,viljelysmaata,0.535,asiano-,0.524
15,lapsi,0.563,mustasaaren,0.484,kapanalaa,0.533,metsä,0.524
16,onnen,0.562,muhoksen,0.484,kapanala,0.53,wirano,0.523
17,taimaan,0.561,lääniin,0.478,tynnörinalaa,0.525,awaruus,0.521
18,ah,0.561,manttalia,0.478,peltomaata,0.525,crino,0.514
19,jumala,0.558,manttaalin,0.476,tapan,0.517,lehtimetsä,0.514
20,kai,0.556,sortawalan,0.476,tynnyrin-,0.516,piha,0.508
21,minulla,0.554,'/,0.474,niittua,0.514,asiauo,0.503
22,ilon,0.554,asikkalan,0.474,metsämaata,0.512,alaltaan,0.502
23,noh,0.553,halikon,0.472,nyrinalaa,0.507,alan,0.5
24,teijan,0.547,kappelit,0.47,tynnyrinalaa,0.506,erino,0.499
25,teitä,0.547,pitäjätä,0.468,peltoa,0.503,eusim,0.498
26,mitenkä,0.547,pitäjä,0.468,tapanala,0.499,enfim,0.497
27,kun,0.544,kihlakuntaan,0.467,tynnyrin-alaa,0.495,pinta-ala,0.495
28,pahan,0.541,palkalla,0.465,itäisten,0.487,maakaistale,0.492
29,isän,0.54,'/^,0.464,wiljeltyä,0.485,enstm,0.489
30,hywä,0.54,someron,0.464,tynnörin,0.483,alanko,0.486
31,sinulle,0.54,heinolan,0.461,alan,0.479,cnsim,0.485
32,kulta,0.538,kihla,0.46,tynny-,0.472,päällim,0.483
33,rakas,0.537,jääsken,0.459,yll,0.47,alaa,0.483
34,isäntä,0.536,emäkirkon,0.458,niittu,0.47,ylänkö,0.483
35,sinua,0.532,manttaalia,0.458,tynnyrinalan,0.469,metjä,0.482
36,hengen,0.531,piikkiön,0.457,alim,0.46,melsä,0.482
37,paras,0.53,maaseurakunnassa,0.455,vuotuisella,0.459,maapala,0.482
38,poika,0.528,kapan,0.452,nyrin,0.454,pintaala,0.481
39,tuo,0.528,luokassa,0.451,niitty,0.452,maanala,0.479
40,hy,0.528,pirkkalan,0.451,rinalaa,0.449,palsta,0.478
41,meitä,0.527,porin,0.45,sisä,0.448,asiano,0.473
42,päätä,0.526,ilmajoen,0.449,peltomaa,0.447,sumilaidun,0.472
43,musta,0.525,jämsän,0.449,ylä-,0.446,niittu,0.472
