,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,artikkeli,0.801,artiklan,0.782
1,art,0.727,§.n,0.753
2,§•,0.726,z§,0.725
3,lumuu,0.72,z.n,0.723
4,lmvun,0.709,tz.ssä,0.721
5,§,0.704,artiklassa,0.715
6,8-,0.7,8-n,0.714
7,lulvun,0.681,tz§,0.713
8,tz,0.681,§,0.706
9,momentissa,0.671,§8,0.705
10,luw,0.67,§-,0.704
11,§.ssä,0.667,§m,0.702
12,lumussa,0.66,8§,0.699
13,§.n,0.648,artikkeliin,0.695
14,mom,0.642,§z,0.694
15,lumun,0.637,§tz,0.694
16,§§,0.635,tzm,0.689
17,luwussa,0.631,8-ssä,0.686
18,8-n,0.628,z-ssä,0.685
19,oikeudenkäymiskaaren,0.625,b§,0.682
20,momentti,0.625,h-ssä,0.682
21,pyk,0.618,b'ssä,0.68
22,§8,0.615,lnmun,0.676
23,imuun,0.606,§§,0.675
24,lsl,0.606,lulvun,0.672
25,kys,0.599,§.ssä,0.669
26,öfa,0.599,tzissä,0.669
27,perintökaaren,0.597,§•,0.669
28,luwun,0.596,pykälän,0.668
29,kaaren,0.59,luwuu,0.666
30,1s,0.589,h§,0.666
31,ksl,0.581,momentissa,0.666
32,pykälä,0.577,momentin,0.664
33,—4,0.577,z.ssä,0.663
34,momentin,0.573,§h,0.662
35,palst,0.572,luivun,0.662
36,luvun,0.572,asewelwollisuuslain,0.66
37,ssä,0.572,lumuu,0.659
38,f|i,0.568,§:3sä,0.655
39,fsi,0.565,tztz,0.655
40,lfi,0.559,momentti,0.654
41,matth,0.557,lulv,0.654
42,gal,0.55,lutvun,0.652
43,naimiskaaren,0.549,lnwun,0.652
44,nncn,0.546,asemelmollisuuslain,0.651
45,f|l,0.545,tz-ssä,0.651
46,pykälässä,0.544,lmvun,0.649
47,lss,0.541,pytälän,0.648
48,fji,0.541,waltiopäiwäjärjestytsen,0.647
49,psalm,0.539,lumun,0.638
50,fft,0.534,§.ään,0.637
51,zz,0.531,pylälän,0.63
52,kfi,0.53,lunmn,0.627
53,ggr,0.53,§ssä,0.627
54,tst,0.526,asemelmollisuus-lain,0.626
55,ksi,0.526,luwun,0.626
56,nnessä,0.524,aään,0.625
57,kampaani,0.524,lulvussa,0.625
58,tsi,0.522,waltiopäiwäjärjestylsen,0.623
59,e.pp..,0.521,lumu,0.619
60,lst,0.517,asevelvollisuuslain,0.611
61,lsi,0.514,thess,0.608
62,pykäle,0.513,mom,0.607
63,kaup.osa,0.513,§n,0.604
64,karkaamisesta,0.512,filipp,0.598
65,1-4,0.511,pykälä,0.596
66,prosenttiin,0.51,b'n,0.596
67,asukkaasta,0.51,moos,0.595
68,i—l,0.508,rikoslain,0.595
69,nnessa,0.507,kumiossa,0.594
70,ffi,0.504,artikkeli,0.593
71,14-,0.504,noom,0.592
72,°/o,0.503,pykälät,0.589
73,sarjasta,0.503,mallasjuoma-asetuksen,0.588
74,rikkomisesta,0.502,§in,0.585
75,mka,0.501,luroun,0.585
76,p.—,0.498,pykälää,0.585
77,lvihko,0.498,tess,0.584
78,bfa,0.496,yhtiösääntöjen,0.584
79,41.,0.495,tz,0.584
80,ösä,0.493,waltiopäiwäjärjestyksen,0.583
81,kiroilemisesta,0.493,pykälässä,0.583
82,maaliok,0.491,pykäleen,0.583
83,:o,0.487,hcbr,0.583
84,tji,0.487,pyk,0.582
85,nrrot,0.486,room,0.58
86,postitoimistoissa,0.486,hepr,0.58
87,lert,0.485,hallitusmuodon,0.579
88,tuut,0.485,metsälain,0.578
89,tfl,0.484,kohdan,0.578
90,ohjesäännön,0.483,lohdan,0.576
91,kohdan,0.483,elinkeinotuin,0.576
92,„22,0.483,hssä,0.576
93,pros,0.482,15.25,0.576
94,lulu,0.481,"13,23",0.575
95,kst,0.481,tohdan,0.575
96,lukujen,0.481,luiv,0.572
97,hopeamitalia,0.478,naimiskaaren,0.571
98,koirista,0.478,oikeudenkäymiskaaren,0.571
99,likaisuudesta,0.478,§■,0.57
