,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,suunta,0.696,aiema,0.853
1,aseina,0.673,asenia,0.784
2,mieliala,0.656,ajema,0.758
3,suhde,0.646,nsema,0.757
4,valloitus,0.643,aseina,0.745
5,asemapaikka,0.629,asemakin,0.703
6,liike,0.626,alema,0.702
7,puolustus,0.622,afema,0.693
8,pääkaupunki,0.621,pysäyspaikka,0.684
9,toiminta,0.613,rautatienasema,0.653
10,itsenäisyys,0.61,lähtökohta,0.651
11,alue,0.609,ascma,0.644
12,raja,0.609,raja,0.632
13,päämaali,0.602,alue,0.624
14,rakentama,0.601,rautatieasema,0.621
15,maitutus,0.6,astma,0.618
16,sotalaitos,0.599,satamapaikka,0.616
17,wälinen,0.597,asemapaikka,0.615
18,tulewaisuus,0.597,toimiala,0.612
19,malloitus,0.595,keskuspaikka,0.607
20,rajana,0.594,pysäkki,0.604
21,erilaisuus,0.593,tila,0.594
22,seutu,0.593,asema-,0.593
23,kenttä,0.588,linja,0.587
24,maikutus,0.587,riippumattomuus,0.586
25,waikutus,0.586,kauppakaupunki,0.582
26,merkitys,0.585,suhde,0.576
27,hautausmaa,0.584,liike,0.574
28,tila,0.584,mesistö,0.574
29,järjestäminen,0.581,rakennustapa,0.572
30,edistys,0.58,rautatiesilta,0.568
31,tärkeys,0.578,suuuta,0.566
32,rakennus,0.578,pysälli,0.564
33,tarkotus,0.576,rappiotila,0.564
34,puisto,0.576,markkinapaikka,0.563
35,waitutus,0.573,asemaa,0.561
36,edistyminen,0.571,kulku,0.557
37,satama,0.569,seutu,0.557
38,hanke,0.564,tienoo,0.554
39,tanve,0.564,edistyminen,0.553
40,alueella,0.562,asiaintila,0.553
41,järjestys,0.56,työala,0.552
42,näkö-ala,0.559,työ-ala,0.546
43,linnoitus,0.559,laajennus,0.545
44,muuttaminen,0.559,puollustus,0.545
45,kaupunti,0.558,aseman,0.544
46,ympäristö,0.557,vaikutusala,0.544
47,järjestelmä,0.557,yliherruus,0.544
48,ruhtinaskunta,0.557,satamakaupunki,0.543
49,liikunto,0.557,valloittaminen,0.54
50,erimielisyys,0.556,asemapiirros,0.54
51,sotamoima,0.556,politiikki,0.539
52,yksimielisyys,0.555,kultu,0.539
53,aseman,0.555,elinkysymys,0.538
54,menettely,0.555,paikallisliike,0.538
55,näköala,0.553,sotasatama,0.536
56,tulemaisuus,0.552,määritteleminen,0.536
57,paikka,0.552,järjestelmä,0.536
58,walloitus,0.552,kulkutie,0.535
59,hallitusmuoto,0.55,politiikka,0.534
60,paikkakunta,0.549,keskusasema,0.534
61,mieli-ala,0.549,yhteys,0.533
62,päätarkoitus,0.548,ivaikutus,0.533
63,hallinto,0.547,satama,0.532
64,suhta,0.545,putous,0.531
65,käynti,0.545,järjestely,0.53
66,ulkomuoto,0.543,merkitys,0.53
67,menetys,0.542,rauhoittaminen,0.53
68,perustaminen,0.542,perikato,0.528
69,vaikutus,0.541,asemat,0.528
70,periaate,0.541,politili,0.527
71,sotawoima,0.54,ympäristö,0.527
72,toimeliaisuus,0.539,asuntopaikkana,0.526
73,sulkeminen,0.539,asemana,0.524
74,rakentaminen,0.538,liile,0.524
75,silmämääränä,0.536,menettely,0.523
76,toimeentulo,0.535,näköpiiri,0.523
77,kauppaliike,0.534,pääasema,0.522
78,linja,0.534,kohtalo,0.522
79,luonne,0.533,toimenpide,0.52
80,ylläpitäminen,0.532,merimerkki,0.52
81,laaja,0.531,kauppapaikka,0.52
82,muodostettu,0.53,kehitys,0.519
83,tarkoitus,0.53,olopaikka,0.519
84,laajuus,0.53,muodostus,0.519
85,amara,0.53,järjestysmuoto,0.518
86,awara,0.529,silmälläpito,0.518
87,eroitus,0.528,paikka,0.517
88,lisääntyminen,0.524,liite,0.516
89,säilyttäminen,0.524,toiminta-ala,0.515
90,menestymiselle,0.523,rahakanta,0.515
91,menestys,0.523,suunta,0.515
92,wäcstö,0.522,kehittyminen,0.514
93,piiritetty,0.522,järjestys,0.513
94,kaupunki,0.522,liuja,0.513
95,croitus,0.522,olemassa-010,0.512
96,sotajoukko,0.522,sotataito,0.512
97,edullinen,0.521,alve,0.511
98,katsantotapa,0.521,läheisyys,0.511
99,asemain,0.521,kulkuneumo,0.51
