,fi_1880,fi_1880_d
0,amustaa,0.757
1,awustaa,0.686
2,palvella,0.683
3,avustamaan,0.655
4,hoitavat,0.631
5,valvoa,0.619
6,koskevia,0.618
7,harrastava,0.613
8,hoitaa,0.609
9,levittää,0.604
10,opastaa,0.603
11,huvittaa,0.602
12,harrastaa,0.597
13,edistääkseen,0.596
14,käyttävä,0.593
15,edesauttaa,0.592
16,rikastuttaa,0.591
17,palvelee,0.59
18,täydentää,0.587
19,edistää,0.586
20,vaiten,0.58
21,arvostelee,0.578
22,amustamaan,0.578
23,auttaa,0.573
24,edistyttää,0.572
25,amustanut,0.572
26,harrastavia,0.571
27,levittämään,0.57
28,edustaa,0.57
29,verottaa,0.57
30,ylläpitää,0.57
31,laventaa,0.57
32,amustaisi,0.57
33,viivyttää,0.569
34,vartoa,0.569
35,vastaanottaa,0.567
36,vastustaa,0.567
37,helpoittaa,0.565
38,hoitaisi,0.565
39,kokoomalla,0.564
40,kehottaa,0.564
41,vartun,0.563
42,awustamaan,0.563
43,varten,0.562
44,rasittamatta,0.562
45,valmistella,0.56
46,turvata,0.559
47,suosia,0.558
48,haluaville,0.558
49,koskeviin,0.558
50,tutustuttaa,0.556
51,hyödyttää,0.555
52,kartuttaa,0.554
53,laajentaa,0.554
54,kunnioitettavia,0.551
55,edesauttamaan,0.55
56,kartuttaakseen,0.55
57,merottaa,0.55
58,edistävät,0.549
59,koskevista,0.548
60,keräämällä,0.547
61,innostuttaa,0.546
62,välittää,0.545
63,käyttäköön,0.545
64,lamentaa,0.545
65,vartsn,0.544
66,vastaanottavat,0.544
67,tyydyttää,0.543
68,halventaa,0.543
69,kasvattaa,0.542
70,kannattaa,0.542
71,levittämällä,0.542
72,johtaakseen,0.541
73,vaikeuttaa,0.54
74,suosivat,0.54
75,johtaa,0.539
76,boitaa,0.539
77,vahingoittaa,0.538
78,varteu,0.538
79,hoilaa,0.538
80,kannattamalla,0.537
81,keräisi,0.537
82,helpottaa,0.536
83,valvoo,0.536
84,selvitellä,0.536
85,käsittelisi,0.536
86,kartuttamaan,0.535
87,kustantamalla,0.534
88,harjoittamalla,0.534
89,suosii,0.534
90,varton,0.534
91,lioitaa,0.533
92,saavuttaa,0.532
93,kannattavat,0.532
94,harrastavien,0.532
95,valvomaan,0.531
96,koskevat,0.53
97,keräävät,0.529
98,selvittämään,0.529
99,anttaa,0.528
