,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,kohonnut,0.704,kehittynyt,0.859
1,edistyneet,0.702,edistytty,0.834
2,kypsynyt,0.691,laajennut,0.795
3,menestynyt,0.673,waurastunut,0.781
4,parantunut,0.668,maurastunut,0.779
5,muuttunut,0.667,laajentunut,0.779
6,maikuttanut,0.666,edistyneet,0.768
7,enennyt,0.666,vaurastunut,0.76
8,waikuttanut,0.66,kehkeytynyt,0.744
9,leminnyt,0.656,edistymä,0.736
10,laajennettu,0.656,lehittynyt,0.736
11,paisunut,0.655,edistywä,0.735
12,kasmanut,0.64,menestynyt,0.734
13,vaikuttanut,0.639,edistyy,0.733
14,edistyneen,0.637,taswanut,0.73
15,supistunut,0.634,edistymässä,0.722
16,lewinnyt,0.629,elpynyt,0.72
17,järjestetty,0.628,työskennelty,0.719
18,edistyi,0.623,kasmanut,0.715
19,juurtunut,0.621,tasmanut,0.709
20,lukuhalu,0.618,kaswanut,0.707
21,muodostunut,0.616,paisunut,0.703
22,kehittynyt,0.615,kohonnut,0.701
23,kaswanut,0.615,kasivanut,0.698
24,muistettama,0.614,virkistynyt,0.697
25,edistyy,0.603,lasmanut,0.696
26,opittu,0.6,laswanut,0.694
27,edistänyt,0.597,mirkistynyt,0.692
28,nousemassa,0.592,marttunut,0.687
29,armattama,0.591,edistyi,0.684
30,tunnettu,0.59,kehitetty,0.678
31,perehtynyt,0.581,vilkastunut,0.678
32,waituttanut,0.581,waituttanut,0.677
33,epätasainen,0.58,jatkunut,0.676
34,odotettama,0.58,warttunut,0.672
35,walitettu,0.578,maituttanut,0.669
36,rajoitettu,0.577,lcminnyt,0.669
37,hamaittu,0.577,lemennyt,0.668
38,miljelty,0.575,varttunut,0.668
39,noussut,0.575,maikultanut,0.662
40,ruotsalaisuus,0.574,kohunnut,0.661
41,karttunut,0.574,lewinnyt,0.661
42,enenemässä,0.574,kasmauut,0.661
43,jokseenki,0.572,toteutunut,0.659
44,kiihtynyt,0.571,laimentunut,0.658
45,puuhattu,0.571,huonontunut,0.657
46,rasitettu,0.569,vaikuttanut,0.657
47,työskennellyt,0.569,enentynyt,0.656
48,haitallinen,0.567,edistyneen,0.652
49,toteutunut,0.566,parantunut,0.652
50,totuttu,0.566,kaslvanut,0.65
51,saawutettu,0.563,leminnyt,0.65
52,arwattawa,0.563,kehittyneet,0.648
53,pysynyt,0.563,wahwistunut,0.648
54,enentynyt,0.562,huomattamissa,0.646
55,nähtäwä,0.561,supistunut,0.643
56,erilainen,0.56,waikuttauut,0.639
57,tultu,0.559,kaswannt,0.639
58,lukutaito,0.558,aikaansaatu,0.635
59,ilman-ala,0.557,voimistunut,0.634
60,tiedossa,0.556,enennyt,0.633
61,päästy,0.553,muodostunut,0.632
62,hyödyllinen,0.551,wakaantunut,0.632
63,kauppaliike,0.551,hidastunut,0.631
64,hawaittu,0.55,pienentynyt,0.631
65,alennut,0.55,lisääntynyt,0.63
66,käynyt,0.55,järjestetty,0.63
67,huomattawa,0.549,muuttunut,0.629
68,osoittanut,0.549,mailuttanut,0.628
69,huomattama,0.548,maikuttanut,0.628
70,karmalla,0.546,leivinnyt,0.627
71,taswanut,0.545,mahmistunut,0.626
72,suomalaisuus,0.545,takapajulla,0.624
73,kotiteollisuus,0.544,lcwinnyt,0.624
74,takapajulla,0.543,kehittymässä,0.622
75,vallinnut,0.543,waikuttanut,0.619
76,lannalla,0.541,edistyisi,0.618
77,suosittu,0.541,suurennut,0.617
78,ollutkin,0.541,toiminut,0.617
79,tuntuma,0.541,wailuttanut,0.616
80,järjestettäwä,0.539,saamutettu,0.616
81,kaunalla,0.539,kohoamassa,0.612
82,ruwettu,0.538,varmistunut,0.611
83,huomattu,0.538,maikuttauut,0.609
84,kannalla,0.537,saawutettu,0.609
85,mallinnut,0.537,huomattawissa,0.608
86,aljettu,0.536,muuttuuut,0.608
87,kasmamassa,0.536,vähentynyt,0.607
88,saamutettu,0.536,järjestelty,0.606
89,osottanut,0.536,heikontunut,0.606
90,karjanhoito,0.535,lohonnut,0.606
91,lisääntynyt,0.534,kaswauut,0.604
92,vähennyt,0.533,edistytään,0.604
93,hnono,0.532,laimennut,0.602
94,riittämätön,0.531,kukoistanut,0.601
95,pelättäwä,0.531,laajennettu,0.601
96,liikkunut,0.531,hittynyt,0.6
97,mähennyt,0.53,lisääntymässä,0.599
98,huonolla,0.53,edistyivät,0.599
99,hankala,0.528,laajenneltu,0.598
