,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,kansalliskokous,0.832,edustuskunta,0.874
1,parlamentti,0.83,parlamentti,0.866
2,liittokunnan,0.796,edustajakunta,0.848
3,ministeristö,0.793,kansalliskokous,0.829
4,liittokunta,0.78,hallitus,0.797
5,kongressi,0.777,ministeristä,0.786
6,kansalliskokouksen,0.764,ministeristö,0.779
7,hallitus,0.759,cdustajakamari,0.772
8,ministeristä,0.758,liittoneuwosto,0.765
9,ministerikunta,0.758,edustajakamari,0.763
10,hallitns,0.75,kansallispuolue,0.762
11,kongressissa,0.748,ylähuone,0.759
12,edustus,0.743,edustajatamari,0.758
13,eduskunnan,0.734,edustajalamari,0.755
14,parlamentissa,0.73,ministerislö,0.755
15,saksanmaa,0.718,hallitns,0.753
16,thiers,0.709,keskipuolue,0.753
17,gambetta,0.708,neumosto,0.752
18,hallitsija,0.705,ministcristö,0.751
19,perustuslaki,0.705,neuwosto,0.751
20,parlamentin,0.704,maltioneumosto,0.75
21,perustuslaissa,0.703,ylihuone,0.75
22,itärumilian,0.702,puolue,0.749
23,tisza,0.701,edistyspuolue,0.747
24,kongressiin,0.699,sobranja,0.746
25,serrano,0.698,liittoneumosto,0.745
26,kroatian,0.696,hallitsija,0.742
27,pääministeri,0.696,hallituskunta,0.741
28,hallituskin,0.694,edustajahuone,0.739
29,aatelisto,0.693,skuptshina,0.737
30,minis,0.693,waltioneuwosto,0.735
31,enemmistö,0.693,stortingi,0.735
32,kansalliskokouksessa,0.691,hallituspuolue,0.734
33,pohjois-saksan,0.689,hallitusmuoto,0.733
34,ruhtinaaksi,0.688,minisleristö,0.732
35,itäwalta,0.687,sobranje,0.729
36,tasawalta,0.684,wastustuspuolue,0.728
37,kuningaskunnan,0.683,wasemmisto,0.727
38,puolue,0.682,miuisteristö,0.726
39,preussi,0.681,enemmistö,0.721
40,presi,0.681,konferensi,0.719
41,suitani,0.681,halliws,0.718
42,itämaita,0.676,tasamaita,0.717
43,kongressin,0.675,masemmisto,0.717
44,wenäjä,0.674,waltiomuoto,0.715
45,tasamaita,0.673,sijaishallitus,0.714
46,hallitusmuoto,0.67,maapäimät,0.713
47,italialle,0.669,perustuslaki,0.712
48,liitto,0.669,maapäiwät,0.71
49,papissääty,0.668,oikeisto,0.71
50,presidentiksi,0.668,vasemmisto,0.71
51,ministeristön,0.665,sanomalehdistö,0.707
52,lvaltio,0.665,mastustuspuolue,0.704
53,wcnäjä,0.664,kabinetti,0.699
54,enimmistö,0.662,maltiomuoto,0.697
55,perustuslakia,0.661,konferenssi,0.696
56,weuäjä,0.658,pnolue,0.696
57,marsalkka,0.657,liittohallitus,0.694
58,sultaani,0.656,sotalaitos,0.694
59,edustajat,0.655,hallitlls,0.694
60,ministe,0.655,politiki,0.693
61,edustaja,0.655,kansanpuolue,0.692
62,kreikka,0.654,kuningaskunta,0.692
63,italian,0.654,eduskunnan,0.691
64,pnolan,0.651,hallitun,0.69
65,ranska,0.649,polititi,0.69
66,suttani,0.649,hallilus,0.689
67,dufaure,0.649,työmiespuolue,0.689
68,tasawallan,0.649,kongressi,0.688
69,bismarek,0.648,teristö,0.687
70,sultani,0.648,pnolne,0.686
71,ministerit,0.648,mastapuolue,0.685
72,europalainen,0.648,ministeristo,0.685
73,sotaministeri,0.647,edustus,0.684
74,hallituksen,0.647,waltioneuwostossa,0.684
75,istunnot,0.643,palkolaki,0.683
76,presidentti,0.643,ministerikunta,0.683
77,venäjä,0.643,hallims,0.682
78,unkari,0.642,tasawalta,0.681
79,waltain,0.642,maaliitto,0.681
80,parlamentille,0.642,työmäenpuolue,0.68
81,sles,0.641,gladstoue,0.68
82,pappissääty,0.64,hallituskin,0.68
83,itämältä,0.64,eduskunnassa,0.68
84,thicrs,0.638,politiikki,0.678
85,itäwallan,0.637,maalaki,0.678
86,aatelissääty,0.637,hallltus,0.677
87,bulgarian,0.636,halliius,0.676
88,sotawäti,0.636,liittokunta,0.675
89,preussin,0.635,edustuslaitos,0.675
90,paawi,0.635,koululaki,0.674
91,serbia,0.633,eduskunnalle,0.672
92,tasamallan,0.633,oikeusto,0.671
93,maltiopäimät,0.633,politiikka,0.671
94,asewelwollisuus,0.631,ruhtinaskunta,0.67
95,preussiu,0.631,työwäenpuolue,0.668
96,hallitsia,0.63,transmaal,0.667
97,hallitukseen,0.629,wosto,0.666
98,perustuslain,0.628,homerule,0.665
99,turkinmaan,0.627,kunnallisneumosto,0.665
