,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,eduskunta,0.743,itsehallinto,0.729
1,malio,0.716,edustuslaitos,0.728
2,walio,0.699,hallinto,0.72
3,perustuslaissa,0.699,edustusoikeus,0.704
4,valio,0.692,päätöswalta,0.691
5,edustaja,0.681,edustuksesta,0.689
6,porwaris,0.659,enemmistö,0.684
7,eduskunnan,0.648,eduskunta,0.684
8,asettama,0.646,vaalioikeus,0.674
9,edusmiesten,0.646,edustuksen,0.669
10,edusmiehille,0.636,edustusta,0.665
11,lvaltio,0.633,hallinnossa,0.663
12,aatelisto,0.633,enemmislö,0.662
13,hallinto,0.618,virkamiehistö,0.661
14,suostumuksella,0.618,edustaminen,0.659
15,pormaris,0.618,toimimalta,0.657
16,enemmistö,0.618,waalioikeus,0.653
17,talonpoikais,0.611,äänioikeus,0.651
18,asettaman,0.609,lainlaadinta,0.648
19,aateliston,0.606,äänestysoikeus,0.646
20,hallitsija,0.605,äänioileus,0.645
21,perustuslaki,0.605,ääniwalta,0.644
22,edusmiehet,0.601,päätösmalta,0.64
23,säätyin,0.601,kielto-oikeus,0.638
24,hallitusmuoto,0.598,lainsäädäntö,0.634
25,enimmistö,0.596,edustuskunta,0.632
26,papissääty,0.594,enemmisiö,0.632
27,waltiopäiwä,0.584,sananwalta,0.627
28,kokons,0.582,päätösvalta,0.623
29,lvalta,0.581,puolustuslaitos,0.622
30,puhemieheksi,0.58,mielipide,0.62
31,aatelis,0.579,enimmistö,0.619
32,asewelwollisuus,0.577,ivalio,0.619
33,edus,0.577,jäsenyys,0.616
34,yhdys,0.577,palkolaki,0.615
35,lotous,0.576,rautatiewalio,0.613
36,yhdistämisestä,0.574,yhteis,0.609
37,valitsema,0.573,äänestys-oikeus,0.608
38,edustajain,0.573,kansanäänestys,0.607
39,pappis,0.572,yliwalta,0.605
40,nitariston,0.572,äänestys,0.604
41,kamarien,0.571,mirkamiehistö,0.602
42,laatima,0.569,puoluehallitus,0.601
43,valmistama,0.566,wirkamiehistö,0.601
44,kansalliskokouksen,0.565,ylimalta,0.6
45,hallinnon,0.563,periaate,0.6
46,ehdoitulsesta,0.563,walituswalio,0.6
47,ehdotns,0.563,rajoitus,0.6
48,oikeuksien,0.562,valio,0.599
49,aate,0.562,walta,0.599
50,liittokunnan,0.561,vaalitapa,0.598
51,waiwaishoito,0.56,äänimalta,0.597
52,chdoitus,0.559,waalitapa,0.597
53,nykyisillä,0.558,hallinta,0.595
54,pappissääty,0.557,päätöswaltaa,0.595
55,cdus,0.557,yleisesi,0.593
56,ministeristö,0.556,mähemmistö,0.592
57,pappis-,0.556,laki-ehdotus,0.59
58,kunnallis,0.556,äänestys-,0.59
59,valtiopäivillä,0.556,maanomistus,0.589
60,kuningaskunnan,0.556,eduskunnassa,0.589
61,yhteis,0.555,oikeuslaitos,0.589
62,edusmiehiä,0.555,kieliolot,0.588
63,johto,0.554,lakiwalio,0.588
64,sles,0.553,sananmalta,0.587
65,kroatian,0.553,puoluejako,0.587
66,liitto,0.551,edustaja,0.587
67,aatelissääty,0.551,weroitus,0.586
68,ministeristä,0.549,waltiowalio,0.585
69,kongressissa,0.549,hallituskunta,0.585
70,vähemmistö,0.549,malmistusmalio,0.584
71,valtio,0.549,malio,0.584
72,ratkaistawaksi,0.549,autonomia,0.584
73,valiokunnassa,0.546,vähemmistö,0.583
74,valtuus,0.546,malitusmalio,0.583
75,maltio-,0.545,esitysoikeus,0.582
76,kolous,0.545,waltiomuoto,0.582
77,aatelissäädyn,0.545,lakimalio,0.58
78,suostumus,0.545,laki,0.58
79,yksimielisesti,0.544,neuwosto,0.579
80,yhdistämistä,0.544,luottamusmiesten,0.579
81,puolue,0.544,itsehallintoon,0.578
82,parlamentti,0.542,meroitus,0.578
83,lautakunta,0.542,edustukseen,0.578
84,osallisuus,0.542,johto,0.577
85,ääntö,0.541,werotus,0.577
86,perustuslaillinen,0.541,maltiomalio,0.576
87,maimaishoito,0.541,näkökanta,0.575
88,hallitukseen,0.541,virkakieli,0.574
89,papis-,0.54,maltiomuoto,0.573
90,edustajat,0.54,uudistus,0.573
91,hallitns,0.54,hallitusmuoto,0.573
92,hallituksessa,0.539,hajoitus,0.573
93,johto-,0.539,tvaltio,0.572
94,päätöksissä,0.538,kamaritoimitus,0.571
95,kokouksille,0.536,rajamaa,0.57
96,edusmies,0.536,järjestäminen,0.57
97,waltiopäiwillä,0.535,simiilitoimitus,0.568
98,hallituskin,0.534,walio,0.568
99,säätämä,0.534,perustuslaki,0.567
