,fi_1880,fi_1880_d
0,yhteisyys,0.779
1,yhtenäisyys,0.771
2,yhteys,0.754
3,maltillisuus,0.752
4,itsenäisyys,0.745
5,suwaitsewaisuus,0.739
6,riippumattomuus,0.734
7,persoonallisuus,0.729
8,kokonaisuus,0.719
9,luonne,0.718
10,katsantokanta,0.717
11,katsantotapa,0.716
12,hajanaisuus,0.713
13,edistyminen,0.711
14,toimintakyky,0.707
15,vapaamielisyys,0.704
16,käsityskanta,0.7
17,muoromaikutus,0.699
18,yhtäläisyys,0.698
19,kypsyys,0.698
20,mälttämättömyys,0.697
21,yhdistyminen,0.697
22,kukistaminen,0.697
23,puolustus,0.696
24,näkökanta,0.696
25,sopusointu,0.694
26,simecllinen,0.692
27,kehitys,0.69
28,hajaantuminen,0.69
29,lujuus,0.689
30,hajoaminen,0.689
31,välttämättömyys,0.689
32,politili,0.688
33,yksimielisyys,0.687
34,maikulus,0.687
35,itseluottamus,0.685
36,puollustus,0.685
37,edistys,0.684
38,yhdenmertaisuus,0.684
39,olemus,0.684
40,maikntus,0.683
41,mahtamuus,0.683
42,uskonnollisuus,0.682
43,kehkeytyminen,0.68
44,wakaumus,0.68
45,käsitystapa,0.679
46,mahtawuus,0.679
47,itsepäisyys,0.678
48,ristiriitaisuus,0.678
49,läheneminen,0.678
50,isänmaallisuus,0.677
51,toimeliaisuus,0.677
52,mapaamielisyys,0.676
53,sumaitsemaisuus,0.676
54,autonomia,0.676
55,edislys,0.674
56,entisyys,0.674
57,makamuus,0.673
58,snhde,0.672
59,periaate,0.671
60,tukistus,0.671
61,yhteiselämä,0.671
62,rappiotila,0.671
63,yhdysside,0.671
64,silvistys,0.671
65,toimintatapa,0.67
66,pysymäisyys,0.669
67,eripuraisuus,0.668
68,ystämyys,0.668
69,tarkoitusperä,0.668
70,tasapuolisuus,0.668
71,pontemuus,0.667
72,sortaminen,0.667
73,sopusointuisuus,0.667
74,olemassa-010,0.667
75,hywinwointi,0.667
76,tasapaino,0.665
77,uhraamaisuus,0.665
78,yhdenmukaisuus,0.665
79,ulkonainen,0.665
80,malppaus,0.664
81,itsepintaisuus,0.664
82,ivaikutus,0.663
83,kehittyminen,0.663
84,elinmoima,0.662
85,perusaate,0.662
86,politiikka,0.66
87,ylimalta,0.66
88,taistelutapa,0.659
89,kunnioittaminen,0.658
90,waikulus,0.658
91,edellytys,0.658
92,maitutus,0.658
93,erilaisuus,0.657
94,tasa-arwo,0.657
95,aatteellinen,0.656
96,yliwalta,0.656
97,kunniantunto,0.655
98,wuorowaikutus,0.654
99,järjettömyys,0.654
