,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,pieniä,0.808,osaan,0.592,cri,0.767,eri-,0.717
1,suomalaisia,0.779,toisistansa,0.577,eri-,0.653,eri^,0.713
2,sia,0.771,kahteen,0.568,cvi,0.599,eri*,0.708
3,esimerkiksi,0.749,jokaiseen,0.564,useampiin,0.572,cvi,0.651
4,seassa,0.744,osiin,0.56,pienempiin,0.571,näissä,0.631
5,myöskin,0.737,jokaisella,0.534,kussakin,0.563,erityisissä,0.618
6,kutsutaan,0.73,sissä,0.528,niissä,0.552,niissä,0.614
7,kaluja,0.729,jaettu,0.528,molemmissa,0.552,sopimissa,0.604
8,kielellä,0.726,käytetään,0.522,osastoihin,0.549,muutamissa,0.594
9,niistä,0.725,erinäisissä,0.515,erikseen,0.545,niissäkin,0.589
10,näistä,0.722,toisiinsa,0.51,näisiä,0.541,toisissa,0.58
11,meren,0.718,toisissa,0.509,semmoisissa,0.535,erilaisissa,0.579
12,muita,0.71,jokaisessa,0.508,kullakin,0.533,pienempiin,0.577
13,osa,0.708,kahdella,0.507,erinäisiin,0.525,kussakin,0.572
14,euroopan,0.707,niissä,0.507,muutamissa,0.524,cri,0.572
15,huoneet,0.707,tilat,0.503,useihin,0.524,pienimmissä,0.572
16,niillä,0.706,euroopan,0.503,piirikuntiin,0.524,näissäkin,0.571
17,pannaan,0.701,semmoisissa,0.499,erityisissä,0.52,useissakin,0.565
18,ikäänkuin,0.701,pitäjäksi,0.491,jaetut,0.512,useammissa,0.563
19,menäjän,0.695,mainituissa,0.486,osiin,0.51,useimmissa,0.557
20,maakunnan,0.694,maakunnissa,0.486,paikkakuntain,0.509,niisiä,0.556
21,ten,0.692,kokouksissa,0.483,kumpaisellakin,0.509,cii,0.556
22,tehdään,0.692,yhteisellä,0.479,erityisiin,0.501,joissakuissa,0.553
23,näihin,0.682,luokkaan,0.477,kuhunkin,0.499,monissa,0.553
24,joiden,0.681,yhteisesti,0.475,sopimissa,0.497,niisjä,0.552
25,auringon,0.68,paikkoihin,0.471,erinäisissä,0.496,tärkeimmissä,0.551
26,mälistä,0.68,oikeastansa,0.468,luokkiin,0.496,erikois,0.55
27,yhteisesti,0.678,erinäisistä,0.467,kutakin,0.494,semmoisissa,0.55
28,eli,0.676,tapauksissa,0.467,pieniin,0.491,'eri,0.55
29,mainitaan,0.673,kahdessa,0.467,näissä,0.49,erinäisissä,0.548
30,uusia,0.673,jaetut,0.466,jakaantuu,0.49,erilaisia,0.547
