,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,esitellä,0.873,esitellä,0.867
1,ehdotella,0.79,esitlää,0.86
2,ehdoitella,0.785,esiltää,0.848
3,lausua,0.74,ehdotella,0.816
4,ehdoittaa,0.724,selittää,0.776
5,selittää,0.721,ehdottaa,0.775
6,ehdottaa,0.719,ehdoittaa,0.762
7,esittämään,0.693,esiintuoda,0.759
8,huomauttaa,0.691,ehdoitella,0.758
9,esiintuoda,0.688,lausua,0.757
10,laatia,0.684,huomauttaa,0.741
11,puoltaa,0.683,puoltaa,0.737
12,myöntää,0.674,selmittää,0.729
13,julkaista,0.673,ilmaista,0.722
14,chdoittaa,0.671,chdoittaa,0.72
15,nimittää,0.669,tulkita,0.716
16,anoa,0.669,esittäisi,0.714
17,tarkastaa,0.661,esittämään,0.707
18,puolustaa,0.661,mainita,0.698
19,pyytää,0.657,nimittää,0.691
20,asettaa,0.655,julkaista,0.689
21,esittelee,0.653,asettaa,0.688
22,muistuttaa,0.649,puolustaa,0.681
23,tehdä,0.647,muistuttaa,0.681
24,täyttää,0.645,alistaa,0.678
25,ilmaista,0.634,myöntää,0.676
26,esittänyt,0.629,selwittää,0.674
27,käsitellä,0.626,toteuttaa,0.671
28,määrätä,0.624,ilmituoda,0.671
29,kumota,0.624,käsittää,0.667
30,kuulustella,0.62,sclwittää,0.666
31,lytätä,0.62,painattaa,0.666
32,painattaa,0.616,uudistaa,0.663
33,osoittaa,0.616,määritellä,0.663
34,mainita,0.615,toistaa,0.66
35,hymäksyä,0.608,kosketella,0.658
36,myödyttää,0.608,järjestää,0.657
37,lisätä,0.607,anoa,0.655
38,käsittää,0.606,perustella,0.655
39,mahmistaa,0.605,tebdä,0.655
40,suoda,0.603,laatia,0.654
41,ehdoittelee,0.602,tunnustaa,0.654
42,päättää,0.601,liittää,0.652
43,jättää,0.6,hymäksyä,0.65
44,lausuisi,0.599,tarjota,0.65
45,esitellyt,0.595,sepittää,0.648
46,ratkaista,0.595,tehdä,0.646
47,noudattaa,0.595,ehdoiltaa,0.646
48,lähettää,0.594,hymätsyä,0.646
49,tarjota,0.593,täydentää,0.645
50,järjestää,0.593,suoda,0.644
51,lykätä,0.589,lansua,0.642
52,toimeenpanna,0.588,sclmittää,0.641
53,malmistaa,0.585,päättää,0.641
54,hymätsyä,0.583,täyttää,0.639
55,tunnustaa,0.583,muodostaa,0.638
56,maatia,0.582,selwitellä,0.636
57,ehdottelee,0.582,lisätä,0.636
58,tarkastella,0.582,selittäisi,0.635
59,tarkoittaa,0.581,määrätä,0.633
60,selwittää,0.58,pyytää,0.628
61,maiuita,0.579,malmistaa,0.628
62,tehä,0.579,jullaista,0.627
63,vaatia,0.579,antaa,0.627
64,selmittää,0.574,käsitellä,0.626
65,selitellä,0.572,lähettää,0.626
66,miitata,0.571,armostclla,0.626
67,esitti,0.571,lansna,0.626
68,kehoittaa,0.569,esitti,0.625
69,liittää,0.569,selitellä,0.625
70,asettaisi,0.569,todistaa,0.622
71,rattaista,0.568,vyytää,0.622
72,käyttää,0.567,huomanttaa,0.622
73,tutkia,0.567,somittaa,0.62
74,wiitata,0.567,lausna,0.62
75,oikaista,0.563,esittelee,0.619
76,kutsua,0.562,noudattaa,0.619
77,peräyttää,0.562,puollustaa,0.619
78,lahjoittaa,0.561,olettaa,0.617
79,wahwistaa,0.56,efittää,0.617
80,koroiltaa,0.557,ratkaista,0.617
81,laajentaa,0.556,limittää,0.615
82,esitteli,0.555,armostella,0.614
83,puollustaa,0.554,julkituoda,0.614
84,malita,0.554,tarkastaa,0.614
85,myöntäen,0.554,muodostella,0.614
86,ehdottelemaan,0.551,jäljestää,0.612
87,laittaa,0.551,ehdoltaa,0.612
88,peruuttaa,0.551,ehdottaisi,0.612
89,määräisi,0.551,jakaa,0.612
90,kertoa,0.549,osoltaa,0.611
91,kysyä,0.549,annostella,0.611
92,käskeä,0.546,hymälsyä,0.611
93,otaksua,0.545,lumata,0.611
94,sanoa,0.545,esittelisi,0.61
95,waatia,0.544,sowittaa,0.61
96,katsoa,0.544,malita,0.61
97,epäillä,0.543,jättää,0.609
98,supistaa,0.542,selvittää,0.608
99,teroittaa,0.542,esittänyt,0.608
