,fi_1880,fi_1880_d
0,euroopa,0.912
1,europpa,0.9
2,europa,0.893
3,ranska,0.864
4,englanti,0.859
5,kiina,0.837
6,saksa,0.831
7,japani,0.82
8,espanja,0.819
9,irlanti,0.817
10,kreikka,0.813
11,italia,0.81
12,itaalia,0.807
13,egypti,0.803
14,intia,0.799
15,unkari,0.77
16,espania,0.761
17,salsa,0.754
18,amerikka,0.752
19,preussi,0.748
20,ameriitka,0.747
21,itämaa,0.745
22,tasamalta,0.744
23,ameriilka,0.74
24,ameriilla,0.74
25,fransla,0.738
26,bulgaria,0.735
27,ameriitta,0.732
28,ransla,0.731
29,jaapani,0.724
30,amerika,0.723
31,ameriikka,0.721
32,laapani,0.72
33,itämalta,0.717
34,englanli,0.716
35,persia,0.715
36,ameritta,0.714
37,tasamaita,0.714
38,amerita,0.713
39,franska,0.713
40,muhametti,0.712
41,armenia,0.71
42,englandi,0.708
43,turtli,0.708
44,erglanti,0.7
45,montenegro,0.7
46,muuka,0.697
47,tasawalta,0.697
48,norja,0.696
49,wenäjä,0.694
50,amerilla,0.694
51,portugali,0.694
52,puola,0.692
53,japan,0.691
54,abessinia,0.69
55,unlari,0.689
56,serbia,0.687
57,satsa,0.687
58,armeenia,0.687
59,ransta,0.685
60,venäjä,0.684
61,serwia,0.683
62,turkki,0.682
63,laapan,0.68
64,makedonia,0.679
65,kuuba,0.679
66,brasilia,0.678
67,juuta,0.675
68,tasavalta,0.671
69,europan,0.671
70,amcrika,0.67
71,laappani,0.67
72,armeija,0.666
73,sotapuolue,0.662
74,armeeni,0.661
75,bulgaari,0.658
76,hindu,0.657
77,nenäjä,0.656
78,aasia,0.655
79,euroopan,0.655
80,siami,0.654
81,kuba,0.653
82,turkli,0.648
83,saksanmaa,0.647
84,turlli,0.646
85,hollanti,0.644
86,kreilka,0.644
87,chile,0.643
88,maailma,0.642
89,ulkomaa,0.641
90,turlki,0.641
91,englantti,0.639
92,flaami,0.638
93,armeja,0.637
94,wenäja,0.637
95,kreilla,0.637
96,sanomalehdistö,0.636
97,pohjoismaa,0.636
98,rooma,0.636
99,italiakin,0.634
