,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,maimaishoito,0.747,hallinta,0.776
1,järjestys,0.7,edustus,0.72
2,hallinnon,0.696,hallinto-,0.701
3,hallitusmuoto,0.694,hallinnossa,0.671
4,järjestäminen,0.69,hallinnolle,0.667
5,waiwaishoito,0.668,itsehallinto,0.659
6,perustuslaissa,0.656,hallituskunta,0.648
7,suojelus,0.65,silmälläpito,0.636
8,perustuslaki,0.637,neuwosto,0.626
9,osallisuus,0.619,hallinnon,0.623
10,edustus,0.618,neumosto,0.619
11,bulgaria,0.617,hallintoon,0.617
12,europalainen,0.616,toimimalta,0.61
13,ministeristä,0.615,järjestäminen,0.605
14,hallinnossa,0.613,toiminta-,0.603
15,toimeenpano,0.61,ohjesääntö,0.603
16,eduskunta,0.608,lainsäädäntö,0.601
17,raha-asiain,0.608,johto,0.596
18,komissioni,0.608,maanomistus,0.596
19,metsänhoito,0.607,hallintoa,0.593
20,ruhtinaskunta,0.605,muodostaminen,0.592
21,sotalaitos,0.604,riippumattomuus,0.591
22,elinkeino,0.604,päätöswalta,0.591
23,järjestelmä,0.603,päätösmalta,0.591
24,yhdys,0.595,finanssi,0.59
25,itsenäisyys,0.595,lainlaadinta,0.587
26,perustus,0.592,eläkelaitos,0.586
27,lvalta,0.592,eduskunta,0.583
28,asemel,0.589,jako,0.582
29,ministerikunta,0.586,malmonta,0.582
30,ministeristö,0.583,oikeuslaitos,0.581
31,hoito,0.582,poliisihoito,0.579
32,hallituksen,0.578,kartoitus,0.578
33,asewel,0.575,maimaishoito,0.578
34,asemelmollisuus,0.574,laajennus,0.577
35,lomitea,0.573,edustuslaitos,0.577
36,hallitns,0.572,päähallinto,0.577
37,yhteys,0.571,sominto-oikeus,0.576
38,maltiomarain,0.571,hoitokunta,0.575
39,kunnallis,0.57,hallintoneuwosto,0.575
40,ruhtinaskunnan,0.569,edustuskunta,0.572
41,hallitnksen,0.566,hallitus,0.572
42,asettaminen,0.562,yhdyskunta,0.571
43,jako,0.562,vaivaishoito,0.57
44,rajoitus,0.56,neuvosto,0.57
45,asewelwollisuus,0.559,walwominen,0.566
46,ehto,0.558,virkamiehistö,0.566
47,valtio,0.558,järjestely,0.563
48,eroittaminen,0.555,maltiomuoto,0.561
49,yksimielisyys,0.554,departementti,0.56
50,köyhäinhoito,0.552,autonomia,0.558
51,kirkollisten,0.552,takaama,0.558
52,tarkastus,0.551,hallitseminen,0.558
53,järjestämiseen,0.55,laajentaminen,0.557
54,eduskunnan,0.55,sotalaitos,0.556
55,yhdistys,0.55,tuomioistuin,0.555
56,hallitutsen,0.549,rahalaitos,0.553
57,maltio-,0.549,toimituslunta,0.553
58,itärumilian,0.548,vastuunalaisuus,0.552
59,kongressi,0.547,waiwaishoito,0.552
60,asema,0.547,osallisuus,0.551
61,vapaus,0.546,lulunliarwio,0.551
62,holhous,0.546,waimaishoito,0.551
63,suostumus,0.543,itsenäisyys,0.551
64,järjestämisen,0.543,werotus,0.55
65,välttämättömästi,0.542,toiminta,0.549
66,hallitsija,0.542,eläkekassa,0.547
67,hallintoon,0.542,jäsenyys,0.546
68,vakuus,0.542,veroitus,0.546
69,kunnallisten,0.542,edustaminen,0.545
70,ruotu,0.54,keskushallitus,0.544
71,wahwistus,0.539,toimiala,0.544
72,hallitus,0.539,holhous,0.544
73,tanve,0.538,meroitus,0.543
74,kirkkolaki,0.537,hallinnosta,0.542
75,liitto,0.537,hallintoneumosto,0.542
76,väliaikaisesti,0.536,hallintoneuvosto,0.541
77,asiaiu,0.536,waiwashoito,0.54
78,toiminta,0.536,waltiomuoto,0.539
79,liittokunnan,0.535,tarkastelu,0.539
80,myönnytys,0.534,lalous,0.539
81,kamarien,0.533,toimituskunta,0.539
82,valtion,0.532,järjestämisen,0.538
83,sopimus,0.532,hypo,0.538
84,laki,0.53,paikallisen,0.537
85,parannusten,0.53,hallintokunta,0.536
86,mapaus,0.529,sääntö,0.536
87,rajat,0.529,toimimallan,0.535
88,hallintoa,0.527,järjestyssääntö,0.535
89,jakaminen,0.527,waiwaishoito-,0.535
90,maimais,0.526,hypoteelli,0.534
91,hallituksessa,0.525,hallitusmuoto,0.534
92,waltiowarain,0.524,jäljestäminen,0.532
93,maakunta,0.524,osittaminen,0.532
94,laitos,0.524,ositus,0.532
95,lvaltio,0.523,kielto-oikeus,0.532
96,edustaja,0.521,raha-asiain,0.531
97,tarmc,0.52,hallinnollinen,0.531
98,sääntö,0.52,lomisiooni,0.53
99,yhteisten,0.519,sominto-,0.53
