,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,hallitsia,0.846,hallitsia,0.883
1,valtakunta,0.757,hallitsin,0.866
2,hallitsin,0.75,kuningas,0.773
3,maltakunta,0.748,tsaari,0.769
4,waltakunta,0.745,valtakunta,0.751
5,keisarikunta,0.726,ruhtinas,0.744
6,liittokunta,0.717,eduskunta,0.742
7,teisari,0.711,ruhtinaskunta,0.737
8,sotapäällikkö,0.707,keisarikunta,0.736
9,päämies,0.706,valloittaja,0.734
10,hallitusmuoto,0.706,keisari,0.734
11,eduskunta,0.705,waltakunta,0.733
12,tuningas,0.703,paami,0.732
13,perustuslaki,0.703,lcisari,0.732
14,kansakunta,0.7,waltiomuoto,0.731
15,ministeristö,0.695,keisarina,0.729
16,puolue,0.693,hallitsijamme,0.726
17,suitani,0.692,maltakunta,0.726
18,ruhtinas,0.691,valtaistuimella,0.723
19,hallitsijaksi,0.69,hallilsija,0.722
20,kuuingas,0.689,maltalunta,0.721
21,ruhtiuas,0.689,hallitsijatar,0.714
22,kuningas,0.687,mikado,0.712
23,ruhtinaskunta,0.684,tuningas,0.711
24,kuninkaaksi,0.681,hallitusmuoto,0.71
25,hallitns,0.679,hallitsijana,0.709
26,ministeristä,0.677,ruhtinaana,0.707
27,tasawalta,0.677,teisari,0.707
28,sultaani,0.673,perustuslaki,0.705
29,itsenäisyys,0.672,lunirgas,0.701
30,knningas,0.671,maltatunta,0.7
31,pääkaupunki,0.67,kuuingas,0.699
32,liitto,0.668,kuningaskunta,0.698
33,paawi,0.668,luningas,0.698
34,paami,0.666,knningas,0.697
35,hallitus,0.664,keisarimme,0.694
36,sultani,0.664,kuuiugas,0.693
37,thiers,0.664,hallitsijan,0.692
38,sotajoukko,0.661,keisarikin,0.691
39,pääministeri,0.656,patriarkka,0.689
40,herttua,0.655,tcisari,0.689
41,suttani,0.654,politiikki,0.689
42,lähettiläs,0.652,litsija,0.687
43,edustaja,0.649,sultani,0.685
44,yhteiskunta,0.647,politiki,0.683
45,kuuiugas,0.646,polititi,0.681
46,presidentti,0.643,maltiomuoto,0.681
47,perustuslaissa,0.642,bismarck,0.68
48,sotawäti,0.639,leisari,0.68
49,ruhtinaaksi,0.639,habsburgin,0.678
50,bismarek,0.636,tasamaita,0.675
51,prinssi,0.635,paawi,0.674
52,ylipäällikkö,0.634,kansakunta,0.67
53,prinsi,0.633,sultaani,0.669
54,gambetta,0.632,sotapäällikkö,0.669
55,sotaministeri,0.631,sulttaani,0.666
56,presi,0.63,suuriruhtinaamme,0.665
57,ministerikunta,0.63,kansalliskokous,0.663
58,saksanmaa,0.629,politiikka,0.662
59,europalainen,0.629,rnhtinas,0.661
60,kuninkaalle,0.627,kuningaskin,0.661
61,puolustaja,0.626,waltias,0.661
62,arkkiherttua,0.624,itsemaltiaan,0.66
63,sankari,0.623,kuniugas,0.659
64,keisariksi,0.622,sallimus,0.657
65,istuimelle,0.621,maltais,0.656
66,hallitsijan,0.62,leisar,0.655
67,sotalaiwasto,0.62,hallitsiamme,0.655
68,kuninkaalla,0.62,maltiokansleri,0.655
69,suittani,0.618,vapauttaja,0.653
70,aatelisto,0.618,valtias,0.65
71,tisza,0.617,ruhtinaan,0.65
72,ruh,0.616,ruhtiuas,0.65
73,kristitty,0.616,wenäjä,0.649
74,walta,0.616,esiwalta,0.647
75,kuningaskunnan,0.615,waltatunta,0.647
76,lvalta,0.615,valtiomies,0.646
77,puolustus,0.614,hallitus,0.646
78,ruhtinaan,0.614,prinssi,0.645
79,europa,0.614,lnningas,0.645
80,kuningatar,0.613,saksanmaa,0.645
81,marsalkka,0.611,venäjä,0.644
82,armeija,0.608,shahi,0.644
83,rooman,0.608,ristitsh,0.644
84,preussiu,0.607,keisan,0.643
85,edustus,0.605,kcisari,0.642
86,venäjä,0.605,valtaistuimelta,0.641
87,hallituskin,0.605,vismarck,0.641
88,napoleon,0.604,maltias,0.641
89,tinas,0.604,waltiomies,0.64
90,ministeri,0.603,suttani,0.64
91,luningas,0.601,edustajakunta,0.639
92,prim,0.601,maltiomies,0.639
93,maakunta,0.6,kaitselmus,0.639
94,sotamoima,0.6,hallitusistuimelle,0.638
95,emiri,0.598,käskynhaltija,0.638
96,kossuth,0.597,maltaistuimelle,0.638
97,wenäjä,0.597,waltalunta,0.637
98,dentti,0.596,islam,0.637
99,perillinen,0.596,ruhlinas,0.637
