,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,hallitsian,0.868,hallitsian,0.905
1,ruhtinaan,0.76,hallitsijansa,0.845
2,keisarikunnan,0.741,eduskunnan,0.802
3,kuningaskunnan,0.722,hallitsijamme,0.788
4,hallituksen,0.721,ruhtinaan,0.783
5,sultaanin,0.718,tsaarin,0.775
6,ministeristön,0.714,hallitsijain,0.771
7,europalaisen,0.709,itsemaltiaan,0.768
8,perustuslain,0.705,itsewaltiaan,0.756
9,suojeluksen,0.692,hallitsijani,0.756
10,eduskunnan,0.691,hallitsijankin,0.752
11,itsenäisyyden,0.689,waltiomuodon,0.752
12,presidentin,0.687,ruhtinaansa,0.725
13,ungarin,0.687,hallituksen,0.723
14,puolueen,0.682,maltakunnan,0.723
15,orjuuden,0.682,litsijan,0.722
16,sulttanin,0.677,hallitsiamme,0.722
17,sowinnon,0.677,valtakunnan,0.722
18,waltakunnan,0.676,waltatunnan,0.716
19,napoleonin,0.674,sultanin,0.716
20,waltatunnan,0.673,maltiomuodon,0.715
21,sominnon,0.672,paamin,0.708
22,valtakunnan,0.671,sulttaanin,0.706
23,tasamallan,0.668,edustuskunnan,0.705
24,aateliston,0.667,waltaistuimen,0.705
25,kansakuntain,0.666,esimallan,0.701
26,prinssin,0.666,teisarin,0.698
27,la'in,0.665,lunintaan,0.696
28,tasawallan,0.664,kansakunnan,0.696
29,säätyin,0.663,suuriruhtinaansa,0.696
30,ministerien,0.658,waltakunnan,0.696
31,oikeuksien,0.656,itsenäisyyden,0.695
32,piispain,0.656,kuninkaan,0.692
33,maltakunnan,0.656,hallitsija,0.692
34,hallitnksen,0.655,hallitsijoin,0.69
35,saksanmaan,0.655,keisarinsa,0.69
36,puolustuksen,0.653,suuriruhtinaamme,0.689
37,laillisuuden,0.651,hallilsijain,0.689
38,hallitukseu,0.651,valtaistuimen,0.688
39,herttuan,0.651,personan,0.686
40,isänmaansa,0.651,maltatunnan,0.685
41,kuninkaan,0.649,maltiosäätyjen,0.682
42,mapauden,0.649,maltalunnan,0.682
43,hallitusten,0.649,hallitsijainsa,0.681
44,maltojen,0.649,säätyjen,0.681
45,sultanin,0.648,keisarimme,0.68
46,prenssin,0.647,keisarin,0.679
47,etujen,0.643,kuninkuuden,0.679
48,ystäwyyden,0.642,kaitselmuksen,0.677
49,siamilaisten,0.641,kanslerinsa,0.677
50,ministerin,0.641,keisariin,0.676
51,orjain,0.64,waltaknnnan,0.674
52,ruhtinaskunnan,0.639,hallitusmiehen,0.674
53,kansallisuuksien,0.639,maltaistuimen,0.673
54,hallitsijain,0.638,maltaknnnan,0.673
55,thiers'in,0.638,sultaanin,0.672
56,alamaisten,0.637,perustuslain,0.672
57,hallinnon,0.634,keisarikunnan,0.672
58,kristittyjen,0.634,waltalunnan,0.672
59,itsenäisen,0.633,hallitsijalle,0.67
60,hallitutsen,0.632,mallakunnan,0.67
61,kansansa,0.631,hallitsijasumun,0.668
62,kamarien,0.63,waltikan,0.668
63,liittokunnan,0.628,edustajakunnan,0.668
64,jalomielisen,0.627,tunintaan,0.666
65,tinaan,0.626,valloittajan,0.665
66,suuriruhtinaan,0.624,kuningaskunnan,0.664
67,puolalaisten,0.624,hallitukien,0.664
68,liiton,0.624,valtiomuodon,0.663
69,kristittyin,0.621,waltakuunan,0.663
70,hallitsija,0.62,kansansa,0.663
71,tasa,0.62,knninkaan,0.66
72,rumanian,0.618,hallituksensa,0.66
73,paalvin,0.617,yhteiskuntajärjestyksen,0.659
74,lakien,0.617,hallituskunnan,0.658
75,sotaministerin,0.616,hallitntsen,0.657
76,bismarckin,0.616,maltakuunan,0.657
77,suurimaltain,0.615,suurimaltain,0.656
78,wapauden,0.615,tasamallan,0.656
79,pääministerin,0.615,diplomatian,0.656
80,italian,0.614,alamaistensa,0.655
81,hallituksensa,0.614,monarkian,0.654
82,ruhtinasten,0.614,tasawallan,0.653
83,waltansa,0.613,sotaministerin,0.653
84,enemmistön,0.613,rauhau,0.652
85,valtakuntain,0.613,ystäwyyden,0.652
86,kuninkaansa,0.613,leisarin,0.652
87,waltakuntain,0.612,suuriruhtinaskunnan,0.651
88,armeijan,0.612,bulgarian,0.651
89,kansalliskokouksen,0.611,hallitsijaimme,0.651
90,paamin,0.611,valtiaan,0.65
91,yksimielisyyden,0.61,sallimuksen,0.65
92,emirin,0.609,maltikan,0.649
93,kaikkien,0.608,perustuslaillisen,0.648
94,molempain,0.607,persoonan,0.647
95,maallisen,0.607,ystämyyden,0.646
96,ihmisyyden,0.607,kanslerin,0.645
97,wieraan,0.607,diktaattorin,0.645
98,puolueitten,0.607,luninkaan,0.645
99,kansain,0.607,sotapäällikön,0.645
