,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,itämältä,0.71,hallitns,0.916,hallitns,0.923
1,englanti,0.686,hallituskin,0.816,hallilus,0.884
2,hallitukselta,0.676,litus,0.778,halliws,0.881
3,hallitukselle,0.674,kansalliskokous,0.776,hallltus,0.854
4,lord,0.673,ministeristö,0.764,hallims,0.836
5,sardinia,0.658,eduskunta,0.759,halliius,0.831
6,toimituskunta,0.657,parlamentti,0.755,hallitlls,0.826
7,preussi,0.654,wenäjä,0.753,liittoneuwosto,0.814
8,ministeri,0.629,venäjä,0.749,hillitus,0.805
9,hallituksen,0.625,suitani,0.737,hallituskin,0.805
10,kuningatar,0.622,portti,0.736,hallitlis,0.799
11,itäwalta,0.621,ministeristä,0.734,liallitus,0.799
12,walta,0.618,ministerikunta,0.728,eduskunta,0.797
13,liitto,0.613,englanti,0.721,liittoneumosto,0.797
14,papisto,0.605,preussi,0.716,liittohallitus,0.788
15,hallitusta,0.603,liittokunta,0.715,hnllitus,0.781
16,englannin,0.602,suttani,0.71,parlamentti,0.78
17,liittokunnan,0.6,sultani,0.708,edustajatamari,0.775
18,kruunu,0.6,sultaani,0.702,hallttus,0.772
19,malta,0.599,itäwalta,0.696,ministeristö,0.771
20,pankki,0.595,ministeri,0.69,hollitus,0.767
21,tanskan,0.584,itämältä,0.685,ministeristä,0.766
22,amiraali,0.584,lakub-khan,0.677,ministeriö,0.762
23,wienissä,0.577,thiers,0.674,kansalliskokous,0.759
24,esimalta,0.572,sotaministeri,0.673,waltioneuwosto,0.758
25,itämallan,0.571,englandi,0.67,departementti,0.757
26,ranskan,0.571,komitea,0.669,edustajalamari,0.755
27,luman,0.57,hallitukselle,0.668,sultani,0.754
28,paami,0.563,kouluhallitus,0.668,wenäjä,0.749
29,toimikunta,0.562,paami,0.665,pääesikunta,0.746
30,seura,0.559,hallitsija,0.664,ministerislö,0.746
31,hal,0.557,paawi,0.663,ministcristö,0.745
32,wenäjä,0.556,saksanmaa,0.659,hallitun,0.744
33,napoleon,0.554,pääministeri,0.659,cdustajakamari,0.743
34,johtokunta,0.553,kongressi,0.658,transmaal,0.741
35,franskan,0.553,emiri,0.655,edustajakamari,0.741
36,kuningas,0.552,waliokunta,0.651,venäjä,0.74
37,päätetty,0.55,nenäjä,0.65,khedimi,0.736
38,maltakunnan,0.549,wcnäjä,0.647,sotaministeri,0.736
39,senaatti,0.548,hallituksen,0.643,sultaani,0.734
40,sotawäki,0.547,lähettiläs,0.641,sulttaani,0.733
