,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,yö,0.628,silmänräpäys,0.75,hetli,0.795
1,äkisti,0.598,liikutus,0.655,silmänräpäys,0.779
2,walo,0.594,murhe,0.649,helli,0.707
3,suru,0.594,tuska,0.637,aika,0.678
4,herännyt,0.589,lepo,0.635,lähenemistään,0.64
5,aika,0.588,salaisuus,0.631,syleily,0.639
6,ruumis,0.586,rohkeus,0.621,hurmaus,0.636
7,täytetty,0.581,aika,0.619,äänettömyys,0.634
8,rangaistus,0.579,suru,0.617,suru,0.63
9,aamu,0.576,helli,0.611,taistelo,0.629
10,kuolema,0.567,innostus,0.607,hctti,0.625
11,murhe,0.565,riemu,0.605,liikutus,0.625
12,onnettomuus,0.558,unelma,0.603,vastoinkäyminen,0.618
13,unen,0.556,tulinen,0.603,kärsiwällisyys,0.61
14,wahwa,0.553,taistelu,0.597,kärsimys,0.608
15,merkki,0.551,olento,0.594,kaipaus,0.606
16,lepo,0.551,kipinä,0.588,tyyneys,0.604
17,hiljainen,0.546,äänettömyys,0.585,lietki,0.601
18,olento,0.544,alakuloisuus,0.579,hiljaisuus,0.596
19,sielu,0.543,sattuma,0.576,mielenliikutus,0.593
20,meidät,0.536,säde,0.575,huumaus,0.593
21,pimiä,0.533,ilo,0.574,yksinäisyys,0.591
22,heikko,0.53,huokaus,0.571,ijankaikkisuus,0.589
23,ihana,0.529,sattumus,0.571,kuilu,0.587
24,ohitse,0.528,loiste,0.57,kirkkaus,0.586
25,pelko,0.528,katkera,0.568,lähestymistään,0.584
26,himo,0.526,epäilys,0.567,tuokio,0.583
27,orja,0.525,aamurusko,0.565,hetkeksi,0.583
28,sydän,0.524,sankari,0.563,elämänhalu,0.583
29,taiwas,0.523,uteliaisuus,0.561,haamu,0.582
30,weri,0.523,enkeli,0.558,eronhetki,0.581
31,nuorukainen,0.523,isku,0.557,ijäisyys,0.58
32,juhla,0.522,hetkinen,0.554,odotus,0.58
33,enkeli,0.522,nauru,0.553,riemu,0.579
34,walon,0.522,riemusta,0.552,hetll,0.579
35,oikia,0.521,hetkeksi,0.552,murhe,0.578
36,lapsi,0.521,synkeä,0.552,hetkinen,0.578
37,päimä,0.518,tyytymäisyys,0.551,aita,0.574
38,maailmaan,0.517,hiljaisuus,0.55,aikakausi,0.573
39,näkö,0.515,ottelu,0.548,pilmi,0.572
40,tuska,0.514,loppuansa,0.548,riemullinen,0.571
41,raskas,0.513,side,0.545,lumous,0.571
42,hauta,0.511,iloni,0.544,kohtaus,0.571
43,aurinko,0.51,elämäni,0.543,enkeli,0.57
44,häneen,0.51,ahdistus,0.543,salaperäisyys,0.57
45,hänestä,0.508,katumus,0.543,koettelemus,0.569
46,paha,0.508,temppu,0.542,jännitys,0.566
47,kirkas,0.507,rauhattomuus,0.541,ajatus,0.566
48,auki,0.507,pimeys,0.54,aatos,0.566
49,eläwä,0.507,unen,0.539,mielettömyys,0.565
50,synti,0.505,tuskallinen,0.536,tuska,0.565
51,hetken,0.505,aita,0.535,huudahtus,0.564
52,pimeys,0.502,kauhistus,0.534,hetkeä,0.564
53,hätä,0.5,lempi,0.534,soihtu,0.563
54,nyr,0.498,onni,0.534,rauhallisuus,0.562
55,ilo,0.497,unesta,0.533,pelko,0.561
56,äkkiä,0.497,ilon,0.532,olento,0.558
57,kotoa,0.495,pilwi,0.531,huudahdus,0.557
58,wiimein,0.494,melu,0.53,loppuansa,0.555
59,yhtäkkiä,0.494,hämmästys,0.53,taistelu,0.554
60,onneloin,0.493,jättiläinen,0.529,surkeus,0.553
61,ilta,0.493,ilmaus,0.528,rauhattomuus,0.552
62,leikki,0.493,hälinä,0.528,neljännestunti,0.552
63,sillen,0.492,meteli,0.528,ajanjakso,0.552
64,totuus,0.492,waiwa,0.528,kohta,0.551
65,kerta,0.492,loistawa,0.527,lepo,0.551
66,miekka,0.492,kohteliaisuus,0.527,wäsymys,0.55
67,kauhia,0.491,onneloin,0.526,mäliaika,0.55
68,tuntui,0.491,aamun,0.526,haahmo,0.55
69,ehti,0.49,esine,0.525,wihollincn,0.55
70,wiimmen,0.489,walkeus,0.525,ilojuhla,0.55
71,uni,0.489,kaipaus,0.525,yö,0.548
72,loisti,0.489,ilta,0.524,vuodenaika,0.548
73,koira,0.489,onneton,0.523,netki,0.548
74,ukon,0.486,aikakausi,0.523,tohtaus,0.547
75,henki,0.486,hämärä,0.523,suudelma,0.547
76,synnin,0.485,sallimus,0.522,päimäpaiste,0.547
77,tähti,0.484,maara,0.522,hääpäimä,0.547
78,muuttui,0.484,pelko,0.522,tunnelma,0.546
79,päivä,0.483,hällen,0.522,pimeys,0.545
80,hautaan,0.482,pahuus,0.52,huokaus,0.545
81,murheen,0.48,hulluus,0.519,waeltaja,0.544
82,unesta,0.48,iloiseksi,0.518,melu,0.544
83,woima,0.48,rähinä,0.518,iloisuus,0.544
84,loppui,0.48,aamu,0.518,unelma,0.544
85,tielle,0.48,synti,0.518,juhlahetki,0.544
86,muuttunut,0.478,hartaus,0.518,kärsimättömyys,0.543
87,tulikin,0.477,kirous,0.517,katumus,0.543
88,wieras,0.477,häiriö,0.517,hairahdus,0.541
89,silmiänsä,0.476,uhkaus,0.517,hymyily,0.541
90,riemu,0.475,mailma,0.517,sukukunta,0.54
91,silmän,0.475,pahe,0.516,kummitus,0.539
92,meno,0.474,sanomaton,0.515,kärsimällisyys,0.539
93,surun,0.473,rinnassani,0.515,katkeruus,0.539
94,hänessä,0.473,tonna,0.514,alakuloisuus,0.539
95,mieras,0.472,hymy,0.513,kädenpuristus,0.539
96,bänen,0.471,loistama,0.513,tuulahdus,0.538
97,ensimmäinen,0.471,haamu,0.512,räpäys,0.538
98,kuori,0.47,kuolo,0.512,epäilys,0.538
99,myöhään,0.47,onnellinen,0.512,ihmettely,0.537
