,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,rehellinen,0.892,sielu,0.74,olento,0.739,ihmiuen,0.84
1,olis,0.772,ihmisen,0.705,sielu,0.728,ihmissydän,0.83
2,parempi,0.766,järki,0.703,syntinen,0.716,ihmineu,0.799
3,hywä,0.755,palkollinen,0.674,omatunto,0.681,ihminm,0.797
4,joku,0.744,kristitty,0.66,juomari,0.667,ihmiueu,0.784
5,työ,0.736,sydän,0.652,järki,0.66,sielu,0.777
6,se,0.732,ihmiselle,0.641,ihmiskunta,0.656,ihmisluonto,0.775
7,asia,0.726,olento,0.637,maailma,0.653,juomari,0.771
8,oppinut,0.721,oikia,0.632,synti,0.649,ihminenkin,0.768
9,elämä,0.716,sydämen,0.626,mailma,0.646,syntinen,0.763
10,jokainen,0.716,tunto,0.619,laiska,0.643,olento,0.761
11,aika,0.701,käsittää,0.614,elukka,0.636,ihmishenki,0.755
12,elää,0.699,lapsi,0.614,pahe,0.632,lapsikin,0.748
13,kuka,0.698,jokainen,0.608,henki,0.631,ihmissielu,0.747
14,oikeus,0.692,laiska,0.607,ihmisen,0.622,ihmislapsi,0.746
15,mahtaa,0.692,totisesti,0.6,pahuus,0.621,luontokappale,0.74
16,syy,0.683,ymmärrys,0.599,rehellinen,0.611,perheenäiti,0.727
17,olisi,0.683,maamies,0.596,luouto,0.611,ihmiskunta,0.723
18,tarpeellinen,0.68,silmä,0.596,matkamies,0.61,maailma,0.709
19,olkoon,0.677,ihmisellä,0.596,ihmisessä,0.604,omatunto,0.699
20,paha,0.677,sielun,0.592,myrkky,0.598,laiskuri,0.691
21,hywää,0.673,heikko,0.592,henti,0.597,eläinkin,0.69
22,ainoa,0.671,totuus,0.591,lähimmäisensä,0.597,perheenisä,0.689
23,tiesi,0.667,hänessä,0.59,ihmishenki,0.597,ihmisen,0.686
24,mies,0.665,pahan,0.589,jumala,0.596,ihmisjärki,0.681
25,keino,0.659,juomari,0.584,kristillisyys,0.596,järki,0.679
26,löytänyt,0.658,jumala,0.583,tunto,0.595,kristitty,0.679
27,tekee,0.655,synti,0.578,silmä,0.593,perkele,0.676
28,taitaa,0.651,eläin,0.573,mahankin,0.592,mailma,0.671
29,siltä,0.65,sielunsa,0.57,jokainen,0.589,sydän,0.67
30,olla,0.65,katsoa,0.568,kuka,0.587,ihmine,0.668
31,käynyt,0.648,totuuden,0.566,sydän,0.585,jumala,0.666
32,paras,0.646,synnin,0.565,pakana,0.583,luonto,0.655
33,harmoin,0.643,se,0.565,viisaus,0.582,järli,0.653
34,ihmisen,0.64,henki,0.561,sattumus,0.582,ihmisessä,0.651
35,tämä,0.639,itsestänsä,0.559,kerjäläinen,0.582,pahuus,0.648
36,kaunis,0.634,käsi,0.554,kristitty,0.579,juoppo,0.646
37,hymä,0.632,luonto,0.554,nuorukainen,0.577,synti,0.646
38,mikä,0.628,rikkaaksi,0.553,juoppo,0.576,perheen-isä,0.645
39,saattanut,0.625,sydäntä,0.553,henkilö,0.575,ihmissuku,0.641
40,onni,0.623,järjen,0.552,hulluus,0.575,kristillisyys,0.64
41,tehty,0.622,rakkaus,0.552,kerjäläisen,0.574,raakalainen,0.64
42,jotakin,0.62,löytää,0.55,järjellinen,0.574,nainen,0.64
43,kantaa,0.618,kristillisyys,0.548,totisesti,0.573,ihmiselämä,0.64
44,tapa,0.616,etsii,0.545,perkele,0.572,rakkaus,0.639
45,kaikkein,0.616,ajatella,0.543,kipua,0.569,yksilö,0.636
46,rikas,0.614,totinen,0.542,mies,0.569,lapsukainen,0.634
47,hy,0.611,ymmärtää,0.541,mailina,0.569,kirjanoppinut,0.634
48,jolla,0.608,monikin,0.539,inmala,0.568,sinussa,0.634
49,saattaa,0.607,woima,0.537,ihmiselle,0.566,inmala,0.631
50,musta,0.605,sellainen,0.537,teino,0.562,ihmisolento,0.63
51,muutoin,0.603,jumalala,0.536,raukka,0.56,maailmakin,0.63
52,lapsi,0.602,uskollinen,0.535,rakastaa,0.559,sydämesi,0.629
53,waikka,0.596,hän,0.535,lutia,0.557,sydäu,0.629
54,tahtoo,0.596,paljas,0.535,itseensä,0.554,itsestänsä,0.628
55,sanoa,0.595,hallita,0.535,inhimillinen,0.554,kuolemainen,0.627
56,ih,0.595,himo,0.534,ymmärrys,0.554,luomakunta,0.625
57,ilo,0.591,eläwä,0.534,kansakunta,0.554,rakastaja,0.625
58,hymin,0.589,elättää,0.533,luonto,0.554,ystäwäsi,0.625
59,nuori,0.588,rakastaa,0.531,heuki,0.553,raukka,0.625
60,taisi,0.587,herännyt,0.528,palkollinen,0.552,sieln,0.624
61,pää,0.587,oikea,0.528,kaupunkilainen,0.552,kansakunta,0.624
62,hywin,0.583,rukoilla,0.526,äiti,0.551,uskomainen,0.624
63,lienee,0.582,kuka,0.526,haju,0.55,opetuslapsi,0.623
