,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,rakkaus,0.749,isäinmaa,0.798
1,isänmaamme,0.744,isänmaamme,0.746
2,isänmaan,0.71,synnyinmaamme,0.745
3,suomemme,0.709,isänmaan,0.743
4,sydämemme,0.704,rattaus,0.739
5,rehellisyys,0.703,ralkaus,0.736
6,elomme,0.694,isänmaanrakkaus,0.73
7,jumala,0.693,rakkaus,0.73
8,maailma,0.692,isänmaata,0.72
9,kansamme,0.688,synnyinmaan,0.713
10,viisaus,0.687,ijäti,0.71
11,yhteiskunta,0.686,suomemme,0.71
12,sielumme,0.685,kansamme,0.71
13,kiitollisuus,0.682,rattans,0.709
14,ihmisyyden,0.679,jumala,0.706
15,mailina,0.678,lakkaus,0.7
16,isänmaata,0.672,tansamme,0.7
17,kunnioitus,0.672,kunniamme,0.699
18,autuutta,0.671,ihmisyys,0.699
19,suomellemme,0.67,menneisyys,0.698
20,siunaus,0.669,entisyys,0.69
21,ikuisesti,0.666,synnyinmaata,0.69
22,ijäti,0.664,rullaus,0.69
23,onnellisuuden,0.662,synnyinmaa,0.687
24,luoja,0.662,ijäli,0.687
25,totisesti,0.66,uskollisuus,0.686
26,sulo,0.659,kaniamme,0.681
27,mailma,0.658,raklaus,0.681
28,jumalanpelko,0.655,inmala,0.679
29,lempi,0.654,isänmaanrallaus,0.677
30,kansallemme,0.653,kaikkimaltias,0.677
31,maallinen,0.653,luoja,0.676
32,tulemaisuus,0.653,kansaansa,0.675
33,isänmaatamme,0.652,sydämemme,0.672
34,työmme,0.652,inhimillisyys,0.671
35,kansaamme,0.652,isänmaatamme,0.671
36,isämme,0.651,kansallisuutemme,0.67
37,ainiaan,0.65,nykyisyys,0.669
38,isänmaatansa,0.649,kansansa,0.666
39,onnemme,0.648,kotiseutu,0.665
40,luonto,0.647,olemus,0.664
41,kansaansa,0.646,jalomielisyys,0.664
42,kaunistus,0.646,isäumaau,0.663
43,jalo,0.646,kansasi,0.661
44,kansansa,0.645,raltaus,0.66
45,autuus,0.645,rakkautemme,0.66
46,jumalaan,0.643,ratlaus,0.66
47,onnellisuus,0.643,laulumme,0.659
48,rikkaus,0.643,ihmisrakkaus,0.658
49,auttaja,0.643,katoamaton,0.658
50,isäimme,0.642,rakkans,0.657
51,rakkautta,0.641,isänmaani,0.657
52,uskollisuus,0.64,rakastaminen,0.656
53,mailmalle,0.64,henkemme,0.656
54,hartaus,0.64,isäinmaan,0.656
55,kansallinen,0.638,isänmaanratkaus,0.655
56,sallimus,0.638,onnemme,0.654
57,isänmaallemme,0.638,onnellisuus,0.654
58,sielu,0.637,suloksi,0.652
59,pahuus,0.636,luojamme,0.651
60,kansakunta,0.635,äidinkielemme,0.651
61,rakkauden,0.635,muistosi,0.65
62,onnen,0.634,tunva,0.648
63,isänmaansa,0.632,kallihin,0.648
64,tuki,0.631,työmme,0.648
65,rakkaudesta,0.63,isänmaansa,0.646
66,kansallisuus,0.628,rallaus,0.645
67,tunto,0.628,isäumaan,0.645
68,murhe,0.628,kunnioitus,0.644
69,katumus,0.628,kansaasi,0.643
70,inmala,0.628,lansamme,0.642
71,kausa,0.628,tunnussanamme,0.642
72,jumalalle,0.627,ikuisesti,0.642
73,simistys,0.626,maanrakkaus,0.641
74,kirous,0.625,karjalamme,0.641
75,lemmitty,0.625,laupeus,0.64
76,elämämme,0.624,isänmaallisuus,0.638
77,armas,0.624,walistus,0.638
78,huokaa,0.624,nuoruus,0.638
79,rattanden,0.623,maallinen,0.637
80,henkemme,0.621,isänmaahan,0.637
81,synti,0.621,elomme,0.635
82,sydämestä,0.621,siunaus,0.635
83,äitimme,0.62,kansallisuus,0.634
84,hallitsijamme,0.619,weljeys,0.634
85,rattans,0.618,kansahan,0.634
86,suosio,0.617,rakkautta,0.633
87,suloinen,0.617,tulemaisuutemme,0.631
88,voimallinen,0.616,hyme,0.629
89,omatunto,0.615,simistyksemme,0.629
90,meidän,0.614,ihanteellisuuden,0.629
91,miehuus,0.614,perintömme,0.628
92,keisarimme,0.614,lunnioitus,0.628
93,olento,0.614,ihanteemme,0.628
94,rakastaja,0.613,elämämme,0.627
95,miisaus,0.613,veljeys,0.625
96,mielenlaatu,0.613,ihmiskunnan,0.625
97,lempeä,0.613,ylistys,0.625
98,luottamus,0.612,totuus,0.625
99,kristillisyys,0.612,ratkaus,0.624
