,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,lahjoittaa,0.648,jataa,0.843,jataa,0.913
1,lunastaa,0.64,hankkia,0.714,jalaa,0.831
2,kullekin,0.638,laittaa,0.672,suorittaa,0.745
3,koota,0.624,hanttia,0.672,koota,0.74
4,suorittaa,0.619,malmistaa,0.669,tarjota,0.736
5,hankkia,0.609,käyttää,0.663,hankkia,0.724
6,autaa,0.606,jaella,0.66,siirtää,0.715
7,hankkii,0.604,autaa,0.642,jaella,0.711
8,jokaiselle,0.596,koota,0.639,korottaa,0.697
9,lahjaksi,0.583,antaa,0.637,laskea,0.697
10,köyhille,0.581,jaettawaksi,0.62,käyttää,0.694
11,kustantaa,0.578,lähettää,0.619,malmistaa,0.692
12,rahoilla,0.575,koroiltaa,0.618,merkitä,0.691
13,omistaa,0.574,annettamaksi,0.616,jafaa,0.687
14,tarjota,0.573,asettaa,0.614,jakautua,0.686
15,omista,0.573,jakamaan,0.61,täyttää,0.68
16,kerätä,0.571,kustantaa,0.609,sijoittaa,0.678
17,perinnöksi,0.57,toimittaa,0.608,kustantaa,0.678
18,kasmattaa,0.569,tallettaa,0.606,hanttia,0.675
19,hankkimaan,0.569,kerätä,0.606,asettaa,0.673
20,lainata,0.568,palkita,0.604,mnöntää,0.671
21,antaa,0.568,ko'ota,0.603,supistaa,0.671
22,lainaa,0.565,täyttää,0.601,myöntää,0.67
23,rahoista,0.56,walmistaa,0.599,kerätä,0.67
24,yhdistyksen,0.553,jaettamaksi,0.597,hanktia,0.669
25,laittaa,0.547,merkitä,0.597,lumata,0.668
26,kehoitukseksi,0.546,järjestää,0.595,määrätä,0.667
27,malmistaa,0.541,laskea,0.593,maksaa,0.665
28,korottaa,0.536,suorittaa,0.592,järjestää,0.662
29,sotamiehille,0.535,määrätä,0.584,lähettää,0.66
30,malita,0.534,lahjoittaa,0.583,tehdä,0.659
31,täyttää,0.533,korottaa,0.581,meroittaa,0.658
32,hank,0.533,suoda,0.58,lisätä,0.658
33,suorastaan,0.532,valmistaa,0.576,ko'ota,0.656
34,jäsenille,0.531,teettää,0.571,malmiötaa,0.654
35,itselleen,0.531,maatia,0.568,painattaa,0.654
36,lapsillensa,0.528,palkata,0.567,jakaisi,0.652
37,waatia,0.527,esitellä,0.567,suoda,0.651
38,asettaa,0.527,tarjota,0.567,lorottaa,0.651
39,mahdollisesti,0.526,somittaa,0.567,lunastaa,0.651
40,muosittain,0.524,ehdotella,0.565,jättää,0.647
41,perustukseksi,0.524,panna,0.562,lahjoittaa,0.646
42,kukin,0.523,lvalmistaa,0.559,jakaantua,0.644
43,palkita,0.523,annettawaksi,0.557,malmislaa,0.643
44,lainaksi,0.517,supistaa,0.555,nyöntää,0.641
45,käyttää,0.515,malita,0.554,palkita,0.64
46,waroista,0.514,waatia,0.553,tallettaa,0.64
47,lahjoja,0.513,sijoittaa,0.551,tasata,0.64
48,lähettää,0.508,tehdä,0.549,antaa,0.639
49,annettaman,0.507,painattaa,0.549,koroiltaa,0.639
50,elatusta,0.507,kasmattaa,0.547,aniaa,0.639
51,lainoja,0.504,toimitella,0.546,jaettawaksi,0.638
52,antamaan,0.503,sowittaa,0.546,verottaa,0.636
53,ansaita,0.502,jättää,0.545,uhrata,0.633
54,laittamaan,0.502,lisätä,0.541,säästää,0.63
55,johtokunta,0.501,laajentaa,0.541,lainata,0.63
56,rehellisesti,0.501,toimeenpanna,0.541,hanklia,0.63
57,täydellisen,0.501,lainata,0.54,werottaa,0.628
58,maksotta,0.501,säästää,0.538,alentaa,0.628
59,walita,0.5,jaettawiksi,0.538,suuriltaa,0.627
60,haluamat,0.5,lunastaa,0.537,hanlkia,0.626
61,perustaa,0.498,alentaa,0.537,muodostaa,0.626
62,hoitaa,0.497,luettaa,0.533,tormata,0.625
63,määrätä,0.494,maksaa,0.533,kormata,0.624
64,kirjaston,0.491,lemittää,0.532,snorittaa,0.624
65,toimittaa,0.491,jaettamiksi,0.531,myödä,0.623
66,yhteisesti,0.49,siirtää,0.531,ryhmittää,0.623
67,kansoille,0.489,ylösottaa,0.53,jaettawatsi,0.623
68,näille,0.488,annettawiksi,0.53,kanttaa,0.623
69,varoista,0.487,ottaa,0.527,somittaa,0.622
70,osansa,0.487,kantaa,0.525,jaettaisiin,0.622
71,heillen,0.486,annettawatsi,0.524,uudistaa,0.621
72,talle,0.484,tilallisille,0.524,ulottaa,0.62
73,palkkansa,0.483,awata,0.52,sowittaa,0.62
74,esitellä,0.483,tebdä,0.519,valmistaa,0.62
75,tilin,0.479,merrata,0.518,köyttää,0.62
76,mille,0.477,maihtaa,0.517,tebdä,0.619
77,asetuksia,0.477,jaettaisiin,0.516,koroittaa,0.619
78,palkinnoksi,0.477,autamaan,0.512,malmisina,0.618
79,mukaau,0.475,lnkea,0.51,panna,0.618
80,lisätä,0.474,suurentaa,0.51,anlaa,0.618
81,johtokunnalle,0.474,esittää,0.508,jaettamaksi,0.618
82,taisiin,0.473,myöntää,0.508,lohkaista,0.617
83,kruunulta,0.471,myödyttää,0.508,myönnyttää,0.617
84,kantaa,0.471,myödä,0.507,loota,0.616
85,täyden,0.47,uhrata,0.506,laittaa,0.616
86,sääntöjä,0.47,lyhentää,0.505,korwata,0.614
87,makuuttaa,0.468,koroittaa,0.505,haukkia,0.612
88,kutsua,0.468,pauna,0.504,teettää,0.612
89,miehille,0.468,ehtiä,0.504,esittää,0.612
90,korkoa,0.467,elättää,0.502,walmistaa,0.611
91,antaisi,0.467,lakkauttaa,0.501,malita,0.611
92,valmistaa,0.466,kullekin,0.501,hanllia,0.61
93,joille,0.466,enentää,0.499,leimata,0.609
94,tuotteita,0.465,ehdoitella,0.499,veroiltaa,0.608
95,itsellensä,0.464,mähentää,0.498,jaettamatsi,0.608
96,ehdoilla,0.464,korjata,0.498,tehdii,0.608
97,ilmottaa,0.464,ruokkia,0.497,julkaista,0.607
98,anoo,0.464,aulaa,0.497,lvalmistaa,0.607
99,maksutta,0.463,aittaa,0.496,kantaa,0.607
